अफ़्रीका	África
सिनोप	Sinop (província)
मर्कज़ी प्रांत	Markazi
ताओ-ते-चिंग	Tao Te Ching
स्थलाकृति	Topografia
नाभिकीय ऊर्जा संयंत्र	Central nuclear
न्यूटन का सार्वत्रिक गुरुत्वाकर्षण का सिद्धान्त	Lei da gravitação universal
अजाक्स (प्रोग्रामिंग)	AJAX (programação)
बलख़श झील	Lago Balcache
पोर्ट सईद	Porto Said
भूटान का ध्वज	Bandeira do Butão
द ब्लैक आइड पिस	The Black Eyed Peas
लिप्यन्तरण	Transliteração
तुला	Balança
पम्प	Bomba hidráulica
टाल्क	Talco
परागण	Polinização
फ़िलीपीन्स का ध्वज	Bandeira das Filipinas
एरिक एक्सेल कार्लफेल्ट	Erik Axel Karlfeldt
विसेण्टि अलेक्ज़ान्द्रे	Vicente Aleixandre
डिप्थीरिया	Difteria
नाइयासिन	Niacina
जॉर्ज बूल	George Boole
मेसिना जलसन्धि	Estreito de Messina
मार्टिना हिंगिस	Martina Hingis
कुलीनवर्ग	Nobreza
रेशम कीट	Bicho-da-seda
फॉरेस्ट गंप	Forrest Gump
स्तरिकी	Estratigrafia
वैश्‍लेषिक ज्यामिति	Geometria analítica
टीका (वैक्सीन)	Vacina
फादर्स डे (पितृ दिवस)	Dia dos Pais
महाद्वीपीय जलसीमा	Plataforma continental
कार्बोक्सिलिक अम्ल	Ácido carboxílico
कुक्कुर खाँसी	Pertússis
डैनी बॉयल	Danny Boyle
बोलीविया का ध्वज	Bandeira da Bolívia
थाईलैंड का ध्वज	Bandeira da Tailândia
उरुग्वे राष्ट्रीय फुटबॉल टीम	Seleção Uruguaia de Futebol
सेनेगल का ध्वज	Bandeira do Senegal
तस्मानियाई डैविल	Diabo-da-tasmânia
डेविड लौय्ड जार्ज	David Lloyd George
पुखराज	Topázio
हिपोक्रीत्ज़ की शपथ	Juramento de Hipócrates
युद्ध अपराध	Crime de guerra
गैम्बिया का ध्वज	Bandeira da Gâmbia
उष्ट्रगण	Camelidae
नुबिया	Núbia
एंटीगुआ का ध्वज	Bandeira de Antígua e Barbuda
जॉन कॉर्नफोर्थ	John Cornforth
बिहारी भाषाएँ	Línguas biaris
चारी नदी	Rio Chari
गूगल अनुवाद	Google Translate
मुखजली	Drosera burmannii
उष्णकटिबन्धीय जलवायु	Clima tropical
जेड रूपान्तर	Transformada Z
पथरचटा (खरपतवार)	Trianthema
एबीवर्ड	AbiWord
उच्च शिक्षा	Ensino superior
व्यतिकरण (तरंगों का)	Interferência
गुलबकावली	Hedychium
संक्षारण	Corrosão
हेलो ३	Halo 3
फिलाडेल्फिया सेवेंटी सिक्सर्स	Philadelphia 76ers
जुब्बा नदी	Rio Juba
सेमर	Mafumeira
चित्रलिपि	Ideograma
ख्मेर	Khmer
मरतबन की खाड़ी	Golfo de Martaban
नैट जियो वाइल्ड	Nat Geo Wild
रेन-इन-द-फ़ेस	Itomagaju
बार्बी ऑफ़ स्वान लेक	Barbie of Swan Lake
त्रिपिटक कोरिया	Tripitaka Koreana
अटितट	Adithada
फ़ोर्स इंडिया	Force India
गंधराल	Breu (burseráceas)
सॅन फ्रेन्सिस्को क्रॉनिकल	San Francisco Chronicle
ज़ाबुल प्रान्त	Zabol
१,२५-डाईहाईड्रॉक्सीकॉलेकैल्सिफेरॉल	Calcitriol
एर्गोकैल्सिफेरॉल	Ergocalciferol
कॉलेकैल्सिफेरॉल	Colecalciferol
अकसूम राज्य	Império de Axum
फासिस्ट पार्टी	Partido Nacional Fascista
एकातेअर प्रान्त	Équateur
क्विन्वा	Quinoa
गोल्ड कोस्ट, क्वींसलैंड	Gold Coast (Queensland)
2008 ग्रीष्मकालीन ओलंपिक में ग्रेट ब्रिटेन	Grã-Bretanha nos Jogos Olímpicos de Verão de 2008
२००८ ग्रीष्मकालीन ओलम्पिक में भारत	Índia nos Jogos Olímpicos de Verão de 2008
ज़ाहेदान	Zahedan
काचीन राज्य	Kachin (estado)
अंक विद्या	Numerologia
आर्यभट्ट की संख्यापद्धति	Numeração Āryabhaṭa
भुगतान शेष	Balança de pagamentos
सैमसंग गैलेक्सी एस III	Samsung Galaxy S III
ग्रहण	Eclipse
एडवर्ड बर्नेट टाइलर	Edward Burnett Tylor
एन्क्रिप्शन	Encriptação
समता (भौतिकी)	Paridade (física)
इष्टतमकरण	Otimização
किमची	Kimchi
शेबेल्ले नदी	Rio Shebelle
रज्जुरेल	Funicular
महान इण्डोनेशिया	Indonesia Raya
ड्रॉपबॉक्स	Dropbox
इल्यूशिन आईएल-७६	Ilyushin Il-76
सूई	Agulha
पर्ल जैम	Pearl Jam
नेय्मर	Neymar
प्लवमान पिंड	Moscas volantes
पुर्तगाली तिमोर	Timor Português
मलय-पोलेनीशियाई भाषाएँ	Línguas malaio-polinésias
टेफ्लान	Politetrafluoretileno
पॉलीएथिलीन	Polietileno
स्टेरॉल	Esterol
दंत प्रत्यारोपण	Implantodontia
मधुमोम	Cera
संपीडित वायु	Ar comprimido
डेलावेअर नदी	Rio Delaware
नाइट्रोसेलूलोज	Trinitrocelulose
पीरु धारा	Corrente de Humboldt
फाकलैंण्ड धारा	Corrente das Malvinas
दंतवल्क	Esmalte dentário
दंत-लोमक	Fio dental
शीतोष्ण शंकुधारी वन	Floresta temperada de coníferas
हिस्टीरिया	Histeria
सहाय	Zahájí
मुद्रणालय	Prensa móvel
हरबर्ट स्पेंसर	Herbert Spencer
तमारीन तनासुगरन	Tamarine Tanasugarn
कील नहर	Canal de Kiel
ग्रेट विक्‍टोरिया	Grande Deserto de Vitória
रेज़िन	Resina
अर्यमन	Aryaman
मान्छु लोग	Manchu
इतालवी प्रायद्वीप	Península Itálica
दक्षिण एशियाई क्षेत्रीय सहयोग संगठन	Associação Sul-Asiática para a Cooperação Regional
यूनुस (सूरा)	José (filho de Jacob)
आईपैड मिनी	IPad mini
हरिणपदी कुल	Convolvulaceae
अधोबिंदु	Nadir
खरबानक	Burhinidae
रैननकुलेसी	Ranunculaceae
फली (लैग्यूम)	Legume
रूटेसी	Rutáceas
मिस्र का अठारहवां वंश	XVIII dinastia egípcia
पोलिप्रोपाइलिन	Polipropileno
पिताह	Ptah
पर्यावरण इंजीनियरिंग	Engenharia do ambiente
मोस्ट	Most (República Checa)
पॉलीविनाइल क्लोराइड	Policloreto de vinila
मकोय	Erva-moura
कृत्रिम रबर	Borracha de butadieno estireno
सिलिकोन	Silicone
ब्रांडी	Conhaque
दण्डविधि	Direito penal
विलायक	Solvente
छोटी दुद्धी	Euphorbia
बैकेलाइट	Baquelite
सेलुलॉइड	Celuloide
महावृत्त	Círculo máximo
ज़न्जान	Zanjan
ज़ंजन प्रांत	Zanjan (província)
पनचक्की	Roda de água
बेक्सलीहीथ	Bexleyheath
लिंगुआ फ़्रांका नोवा	Língua franca nova
2008 ग्रीष्मकालीन ओलंपिक में फ्रांस	França nos Jogos Olímpicos de Verão de 2008
वेम्बली	Wembley
सहस्वानिकी	Alofonia
उपभाषा विज्ञान	Dialetologia
थोथ	Tot
देवदार	Cedro-do-himalaia
प्रोसायोनिडाए	Procionídeos
स्वर सहयोग	Harmonia vocálica
२०१२ ग्रीष्मकालीन ओलम्पिक में भारत	Índia nos Jogos Olímpicos de Verão de 2012
हाउ आई मेट योर मदर	How I Met Your Mother
१९०० ग्रीष्मकालीन ओलंपिक में भारत	Índia nos Jogos Olímpicos de Verão de 1900
जादुई यथार्थवाद	Realismo mágico
शीतल पेय	Refrigerante
कूट फल	Pseudofruto
गेंदा	Tagetes
ज़रफ़शान	Zarafshan
१९२८ ग्रीष्मकालीन ओलंपिक में भारत	Índia nos Jogos Olímpicos de Verão de 1928
१९३६ ग्रीष्मकालीन ओलंपिक में भारत	Índia nos Jogos Olímpicos de Verão de 1936
१९९६ ग्रीष्मकालीन ओलम्पिक में भारत	Índia nos Jogos Olímpicos de Verão de 1996
पल्सेटिला निग्रिकेस	Pulsatilla
लीवर सिरोसिस	Cirrose hepática
आन्ना करेनिना	Anna Karenina
सुब्रह्मण्यन् चन्द्रशेखर	Subrahmanyan Chandrasekhar
एडगर राइस बरोज	Edgar Rice Burroughs
आचार्य रजनीश	Rajneesh
ताराघर	Planetário
ज़थुरा (फिल्म)	Zathura: A Space Adventure
जादू (भ्रमजाल/इंद्रजाल)	Ilusionismo
छुइमुइ पौधा	Mimosa pudica
स्पाइरोगाइरा	Espirogira
अप्सरा	Apsarás
सम्मिलन (भाषाविज्ञान)	Assimilação
मानव हत्या	Homicídio
अफ़्रीका की संस्कृति	Cultura da África
उत्तर अमेरिका का इतिहास	História da América do Norte
ज़िला	Distrito
गोल्डर्स ग्रीन	Golders Green
हेंडन	Hendon
अफ़्रीका का इतिहास	História da África
संचार उपग्रह	Satélite de comunicação
कलन	Cálculo
बॉक्सर विद्रोह	Levante dos boxers
आईपैड 2	IPad 2
आईपैड (तीसरी पीढ़ी)	IPad (3ª geração)
पेन्टेन	Pentano
हेक्सेन	Hexano
मिकोयान-गुरेविच मिग-21	Mikoyan-Gurevich MiG-21
जॉर्ज कार्लिन	George Carlin
हेप्टेन	Heptano
ऑक्टेन	Octano
एनिग्मा (मशीन)	Enigma (máquina)
तंग घाटी	Cânion
द पियानिस्ट (2002 फ़िल्म)	O Pianista
फ्रैंकनस्टाइन	Frankenstein
ज़ु अल-क़ादा	Dhu al-Qidah
कंप्यूटर ग्राफिक्स	Computação gráfica
अक्कदी सभ्यता	Acádia (cidade)
चोल राजवंश	Império Chola
आंद्रे मेलरॉक्स	André Malraux
इथिलीन	Etileno
टामस कार्लायल	Thomas Carlyle
फ्रेड्रिक सैंगर	Frederick Sanger
इजराइल-फिलिस्तीन संघर्ष	Conflito israelo-palestino
विकिपीडिया:लेख को कैसे बदलें?	Ajuda:Guia de edição/Formatação
क्रीक्समरीन	Kriegsmarine
फ्रांसोवा आंगलेया	François Englert
अवधारणा	Conceito
पेटा	People for the Ethical Treatment of Animals
काले धन को वैध बनाना (मनी लॉन्डरिंग)	Lavagem de dinheiro
कसिनो रोयाल (२००६ फ़िल्म)	Casino Royale (2006)
जोंस बर्जिलियस	Jöns Jacob Berzelius
यूरोपीय दक्षिणी वेधशाला	Observatório Europeu do Sul
माल्ट	Malte
२००८ सिचुआन भूकंप	Sismo de Sichuan de 2008
बायर	Bayer
यूसुफ रजा गिलानी	Yousuf Raza Gillani
डेनमार्क जलसन्धि	Estreito da Dinamarca
दिवाला	Falência
हम्बोल्ट बर्लिन विश्वविद्यालय	Universidade Humboldt de Berlim
फ्रेंच फ्राइज़	Batata frita
3753 क्रुथने	3753 Cruithne
पाल इल्यार	Paul Éluard
ग्ली (टीवी शृंखला)	Glee
ड्रॉप्सी	Edema
टाटा नैनो	Tata Nano
मूत्रालय	Mictório
स्लॅटवॉक	Marcha das Vadias
नरगिस (समुद्री तूफान)	Ciclone Nargis
द्विघात इंजन	Motor de dois tempos
आई टी आई एल	Information Technology Infrastructure Library
मोहम्मद नशीद	Mohamed Nasheed
जोआन मीरो	Joan Miró
मुंहपका-खुरपका रोग	Febre aftosa
अवतार (अभिकलन)	Avatar (realidade virtual)
एक्सा-	Exa
ज्या	Seno
यूजेन (सवाय का)	Eugénio de Saboia
जेरॉक्स	Xerox
अल्वा म्यर्दल	Alva Reimer Myrdal
दोस्त भालुओं का सम्मेलन	United Buddy Bears
गुन्नार म्यर्दल	Gunnar Myrdal
म्यूनिच (2005 फ़िल्म)	Munique (filme)
अति उच्च आवृति	Very High Frequency
वेनेरा 1	Venera 1
सैलिक क़ानून	Lei sálica
शत-	Hecto
हेनरी वाड्सवर्थ लांगफेलो	Henry Wadsworth Longfellow
दश-	Deca
एमिल नोल्डे	Emil Nolde
सूसन सानटाग	Susan Sontag
आसूस	ASUS
वोक्सवैगन बीटल	Volkswagen Fusca
मिग १७	Mikoyan-Gurevich MiG-17
जत्रोफा	Jatropha
मैक्सीमिलियन शेल	Maximilian Schell
ज्योर्जेस चर्पाक	Georges Charpak
एडवर्ड विक्टर एप्पलटन	Edward Appleton
जनसँख्या के आधार पर अफ्रीकी देशो की सूची	Lista de países africanos por população
अल्बर्ट फर्ट	Albert Fert
दालाँवेयर	Jean le Rond d’Alembert
क्लैमाइडिया संक्रमण	Clamídia
किंग अब्दुल अज़ीज़ अन्तर्राष्ट्रीय विमानक्षेत्र	Aeroporto Internacional Rei Abdulaziz
नेपाल के राष्ट्रपति	Lista de presidentes do Nepal
इलिनॉर ऑस्ट्रॉम	Elinor Ostrom
डॉयचे वेले	Deutsche Welle
सहस्रि-	Mili
सूक्ष्म (उपसर्ग)	Micro
सुंदा द्वीप समूह	Ilhas da Sonda
सर्वांगसमता	Congruência (geometria)
कैट स्टीवंस	Cat Stevens
क्रेग देविद	Craig David
मगलू	Muggle
पिको-	Pico (prefixo)
एमिल बोरेल	Émile Borel
अर्बि-	Nano
शीरा	Melaço
पाना	Chave (ferramenta)
चिंता	Ansiedade
2000 के दशक के उत्तरार्द्ध की आर्थिक मंदी	Grande Recessão
लेओपोल्ड सदर सेंघोर	Léopold Sédar Senghor
लेवोन एरोनियन	Levon Aronian
कोशिका कंकाल	Citoesqueleto
जर्मनी का एकीकरण	Unificação Alemã
स्वेन एंडर्स हेडिन	Sven Hedin
बंदर-ए-अब्बास	Bandar Abbas
श्रीलंका का ध्वज	Bandeira do Sri Lanka
नॉर्मन बोरलॉग	Norman Borlaug
माइकलसन मोर्ले प्रयोग	Experiência de Michelson-Morley
हेपाटाइटिस सी	Hepatite C
पीतज्वर	Febre amarela
निकलोडियन	Nickelodeon (canal de televisão)
51826 कल्पनाचावला	51826 Kalpanachawla
लेप्टोस्पाइरता	Leptospirose
मैराकाना स्टेडियम	Estádio do Maracanã
मध्य साइबेरियाई पठार	Planalto Central Siberiano
इण्डोनेशियाई विकिपीडिया	Wikipédia em indonésio
नेशनल बास्केटबॉल असोसिएशन	National Basketball Association
कारा दरिया	Kara Darya
वॉयजर कार्यक्रम	Programa Voyager
इसराइल की भूमि	Terra de Israel
हॉस्पिटल दे लॉस रेयेस कातोलिकोस	Hospital dos Reis Católicos
पौधशाला	Viveiro (plantas)
मार्क रावलोमनना	Marc Ravalomanana
मार्टिन शोंगावर	Martin Schongauer
मरमरा क्षेत्र	Região de Mármara
मील एमआई-8	Mil Mi-8
स्थितिज ऊर्जा	Energia potencial
रिचर्ड होलब्रूक	Richard Holbrooke
इच्छापत्र	Testamento
क्रिस ब्राउन	Chris Brown (cantor)
तनावशैथिल्य	Détente
इगोर वाइ टाम	Igor Tamm
रॉबर्ट ब्राउन (वनस्पतिशास्त्री)	Robert Brown
जोसेफ लिस्टर	Joseph Lister
मासातोशी कोशिबा	Masatoshi Koshiba
हिदेकी युकावा	Hideki Yukawa
लुइ नील	Louis Eugène Félix Néel
डैनिस गैबर	Dennis Gabor
यूजीन विग्नर	Eugene Paul Wigner
हांस बेथे	Hans Bethe
कनेर	Oleandro
साइपरेसी	Cyperaceae
चिनुआ अचेबे	Chinua Achebe
सुदर्शन कुल	Amaryllidaceae
करेल चपेक	Karel Čapek
अरण्डी	Mamona
आंखों के काले घेरे	Olheiras
भारी जल	Água pesada
बच्छनाभ	Aconitum
कंडाली	Urtica dioica
लार	Saliva
अल्मागेस्ट	Almagesto
टैबलेट कम्प्यूटर	Tablet
आबनूस	Ébano
यूरोस्टार	Eurostar
पिपरमिंट	Hortelã-pimenta
माल्टा ज्वर	Brucelose
जार्ज एफ केन्नन	George F. Kennan
आज़ाद हिन्द फ़ौज	Exército Nacional Indiano
रेसिडंट इविल: ऐक्स्टिन्क्शन	Resident Evil: Extinction
जेटिक्स	Jetix
ल'ओरल	L'Oréal
युलीसेस	Ulysses (sonda espacial)
एक्स ला चैपल संधि (१७४८)	Tratado de Aquisgrão (1748)
तक्षशिला	Taxila
हैमबर्ग मास्टर्स	ATP de Hamburgo
जठरांत्र शोथ	Gastroenterite
अल्फाल्फा	Medicago sativa
पॉलीगोनेसी	Polygonaceae
स्वयंसेवकों का कदमताल	Marcha dos Voluntários
कार्क	Sobreiro
पेंशन	Reforma pensionária
एके ७४	AK-74
एक्सॉन मोबिल	ExxonMobil
लिग्नाइट	Lignito
रसेल ए हल्से	Russell Alan Hulse
अरस्तु का विरेचन सिद्धांत	Catarse
पृथ्वी का इतिहास	História da Terra
रोग हेतुविज्ञान	Etiologia
चौलाई	Amaranto
लता मंगेशकर	Lata Mangeshkar
सर्वपल्ली राधाकृष्णन	Sarvepalli Radhakrishnan
क्लीशे	Clichê
तालमान	Metrônomo
गणितीय भौतिकी	Física matemática
प्रतिन्यूट्रॉन	Antinêutron
रबड़	Seringueira
फ़ैज़ाबाद, बदख़्शान	Feyzabad
एरण्ड कुल	Euphorbiaceae
नेओमी हैरिस	Naomie Harris
प्रायापिज़्म	Priapismo
मेन इन ब्लैक II	Men in Black II
द बॉर्न सुप्रमेसी (फ़िल्म)	The Bourne Supremacy
शून्य-संचय खेल	Soma-zero
पापारात्सी	Paparazzo
१९४८ ग्रीष्मकालीन ओलंपिक में भारत	Índia nos Jogos Olímpicos de Verão de 1948
स्विस इंटरनेशनल एयरलाइंस	Swiss International Air Lines
मिशेल विलियम्स	Michelle Williams (atriz)
येहुदी मेनुहिन	Yehudi Menuhin
पीयूष ग्रन्थि	Hipófise
ब्रैसिकेसी	Brassicaceae
एडवर्ड चार्ल्स पिकरिंग	Edward Charles Pickering
इंग्लिश विलो	Salgueiro-branco
सागौन	Tectona grandis
वर्बेनेसी	Verbenaceae
एपीजी-३ प्रणाली	Sistema APG III
बोगनवेलिया	Bougainvillea
समबाहु त्रिभुज	Triângulo equilátero
पशु महामारी	Peste bovina
गेटे संस्थान	Instituto Goethe
सैमुएल हैनीमेन	Samuel Hahnemann
प्यूमा एजी (Puma AG)	Puma SE
लुईस माउंटबेटन, बर्मा के पहले अर्ल माउंटबेटन	Louis Mountbatten, 1.º Conde Mountbatten da Birmânia
नैशनल ज्यॉग्रैफिक चैनल	National Geographic Channel
प्रदर्शक	Monitor
गुड़हल	Hibiscus
लीबेन्सरॉम	Espaço vital
प्रोटियेसीए	Proteaceae
रॉबर्ट औमान्न	Robert Aumann
जेड पौधा	Crassula ovata
आग्या	Orobanche
शहतूत	Morus alba
पंचेन लामा	Panchen Lama
गोल्डन स्टेट वॉरियर्स	Golden State Warriors
हास्य फ़िल्म	Comédia cinematográfica
नीलक	Syringa
साख (लेखा)	Patrimônio de marca
वाग्दान	Noivado
चार्ल्स लूसियन बोनापार्ट	Charles Lucien Bonaparte
जर्मन एकता दिवस	Dia da Unidade Alemã
अटलांटिक की लड़ाई	Batalha do Atlântico
ज़ुबिन मेहता	Zubin Mehta
हेपेटाइटिस ए	Hepatite A
घड़ीसाज़	Relojoeiro
गुण	Virtude
ग़बन (अपराध)	Apropriação indébita
थुतमोस तृतीय	Tutmés III
रीना रॉय	Reena Roy
सेती प्रथम	Seti I
मिस्र का उन्नीसवां वंश	XIX dinastia egípcia
बहुवर्षीय पौधा	Planta perene
अदनसोनिया	Baobá
स्मेन्खरे	Semencaré
बच	Açoro
माक्स लीबरमान	Max Liebermann
गुटेनबर्ग बाइबिल	Bíblia de Gutenberg
सूर्यानुवर्त	Heliotropium
चटगाँव विभाग	Chittagong (divisão)
बिपाशा बसु	Bipasha Basu
डाटदार पुल	Ponte em arco
आयशा टाकिया	Ayesha Takia
संरक्षित जैवमंडल	Reserva da biosfera
भेड़ाघाट	Bhedaghat
ज़ागान	Żagań
ग्वालियर	Gwalior
अगुंग पर्वत	Monte Agung
रज्जु कर्षण सेतु	Ponte estaiada
खट्टी मीठी घास	Oxalis acetosella
एनोफ़िलीज़	Anopheles
बथुआ	Chenopodium album
रैफ्लेशिया	Raflésia
अफ़ग़ानिस्तान के प्रांत	Províncias do Afeganistão
समकोण त्रिभुज	Triângulo retângulo
कपूर	Cânfora
गोरखचिंच	Adansonia digitata
राज़क	Humulus
सैन्य अभियान्त्रिकी	Engenharia militar
टीनेज म्यूटेंट निंजा टर्टल्स (२००३ टीवी श्रृंखला)	Teenage Mutant Ninja Turtles (desenho de 2003)
प्रियंका चोपड़ा	Priyanka Chopra
डायनथस कैरीओफ़िलस	Craveiro
द रीडर (फिल्म)	O Leitor
बरसीम	Trifolium alexandrinum
दीपिका पादुकोण	Deepika Padukone
आयाम	Amplitude
एल्काइन	Alcino
दिष्ट धारा	Corrente contínua
जान कांस्टेबल	John Constable
परपोषी	Heterotrofismo
.com	.com
मानक विचलन	Desvio padrão
भूराजनीति	Geopolítica
राथ्सचाइल्ड वंश	Família Rothschild
रेडियो संग्राही	Radiorreceptor
शीतनिष्क्रियता	Hibernação
३एम	3M
कमरख	Carambola
समाजवादी इंटरनेशनल	Internacional Socialista
खाद्य शृंखला	Cadeia alimentar
अजमान	Ajman
माउज़र पिस्तौल	Mauser C96
पान	Piper betle
षड्यन्त्र का सिद्धान्त	Teoria da conspiração
सोमालिया का ध्वज	Bandeira da Somália
योहानेस विल्हेल्म जेन्सेन	Johannes Vilhelm Jensen
निश्चेतनता	Coma
जेट ली	Jet Li
दूरस्थ शिक्षा	Educação a distância
अन्नपूर्णा १	Annapurna
जोज़ेफ़ प्रीस्टलि	Joseph Priestley
निरपेक्ष कांतिमान	Magnitude absoluta
हेक्टर	Heitor
उपनदी	Afluente
सिट्रिक अम्ल	Ácido cítrico
कांचबिंदु	Glaucoma
फीता कृमि	Cestoda
सैन एंटोनियो स्पर्स	San Antonio Spurs
मुख्तारनामा	Mandato (contrato)
नेपाल का ध्वज	Bandeira do Nepal
मोनाको का ध्वज	Bandeira de Mónaco
मौनालोआ	Mauna Loa
डच इस्ट इंडिया कंपनी	Companhia Holandesa das Índias Orientais
कापुचीनो	Cappuccino
ईसवी	Anno Domini
सिंह राशि	Leão (astrologia)
पैरामाउंट पिक्चर्स	Paramount Pictures
कैम्प नोऊ	Camp Nou
मोरोक्को का ध्वज	Bandeira de Marrocos
रैम्बो (फ़िल्म)	Rambo (filme)
कैमेरून का ध्वज	Bandeira dos Camarões
स्टेडियो ऑलिम्पिको	Estádio Olímpico de Roma
अटलांटा हॉक्स	Atlanta Hawks
डोवर जलसन्धि	Estreito de Dover
हिप्पारकस	Hiparco
रूस-जापान युद्ध	Guerra Russo-Japonesa
ज्वालामुख-कुण्ड	Caldeira vulcânica
अक्षर कला	Tipografia
जुड़वां	Gêmeos
ज़िंबाब्वे का ध्वज	Bandeira do Zimbabwe
लहरबाज़ी	Surfe
चतुष्फलकी	Tetraedro
संयुक्त राष्ट्र के सदस्य राष्ट्र	Estados-membros das Nações Unidas
छाया	Sombra
अर्थमिति	Econometria
मैग्लेव ट्रेन	Maglev
द किंग्स स्पीच	O Discurso do Rei
तृण	Palha
ट्वाइलाइट (2008 फ़िल्म)	Crepúsculo (filme)
मैन बुकर पुरस्कार	Prémio Man Booker
सिनकोना	Cinchona
मैदान (भूगोल)	Planície
सर्वाइकल कैंसर	Câncer cervical
प्रादो अजायबघर	Museu do Prado
दलाल	Broker
रजनीगन्धा	Polianthes tuberosa
तजिकिस्तान का ध्वज	Bandeira do Tajiquistão
बॉलपेन	Caneta esferográfica
आन (रूसी सम्राज्ञी)	Ana da Rússia
शैर्बूर	Cherbourg-Octeville
शूमाँ घोषणा-पत्र	Declaração Schuman
राम	Rama
स्टैफ़िनी मेईर	Stephenie Meyer
घृणा	Ódio
बोत्स्वाना का ध्वज	Bandeira do Botswana
दक्षिण अफ्रीका का ध्वज	Bandeira da África do Sul
पेरु का ध्वज	Bandeira do Peru
न्यूज़ीलैंड का ध्वज	Bandeira da Nova Zelândia
डेविड रिकार्डो	David Ricardo
दम्माम	Dammam
संवहन	Convecção
थिओफ्रेस्टस	Teofrasto
पोप कॅलिक्स्टस तृतीय	Papa Calisto III
क्रिस्टलकी	Cristalografia
बोध	Percepção
कोलंबिया का ध्वज	Bandeira da Colômbia
क्राइमियाई ख़ानत	Canato da Crimeia
टेलनेट	Telnet
ओडोसियस एलैटिस	Odysséas Elýtis
तेलेराँ	Charles-Maurice de Talleyrand-Périgord
गुस्टाफ डेलेन	Nils Gustaf Dalén
चार्ल्स ग्लोवर बार्क्ला	Charles Glover Barkla
जैक केरुयक	Jack Kerouac
मोहम्मद अली जिन्नाह	Muhammad Ali Jinnah
द डा विंची कोड (फ़िल्म)	O Código Da Vinci (filme)
भूकम्पमापी	Sismógrafo
कृष्ण नील	Anagallis arvensis
पुदीना	Mentha arvensis
उपयोगितावाद	Utilitarismo
व्यापारिक पवन	Alísio
मैक संख्या	Número de Mach
घाना का ध्वज	Bandeira do Gana
नेस्ले	Nestlé
चित्तविभ्रम	Delirium
गाम्बिया नदी	Rio Gâmbia
सार्कोप्टरिजियाए	Sarcopterygii
समनाम शब्द	Homónimo
समाजभाषाविज्ञान	Sociolinguística
हिदेकी तोजो	Hideki Tōjō
विलियम ग्लाडस्टोन	William Ewart Gladstone
स्लोवाकिया का ध्वज	Bandeira da Eslováquia
निकोलाई निकोलिएविश	Nicolau Nikolaevich
चिली का ध्वज	Bandeira do Chile
सऊदी अरब का ध्वज	Bandeira da Arábia Saudita
कलौंजी	Nigella
पेंचकस	Chave de fenda
कनकाऊवा	Commelina
शहरीकरण	Urbanização
अपस्फीति	Deflação
समुंदर के लुटेरे: मुर्दे का खज़ाना	Pirates of the Caribbean: Dead Man's Chest
कुश (घास)	Eragrostis
व्लादिमीर क्रैमनिक	Vladimir Kramnik
दार्दी भाषाएँ	Línguas dárdicas
नरकट	Cana-do-reino
अमलतास	Cássia-imperial
आस्ट्रिया की कम्युनिस्ट पार्टी	Partido Comunista da Áustria
पासवर्ड (पारण शब्द)	Senha
भाई-भतीजावाद	Nepotismo
वर्णक	Pigmento
सफ़वी वंश	Safávidas
कँगनी	Setaria italica
काइटिन	Quitina
फॉर्मिक अम्ल	Ácido metanoico
अधीन क्षेत्र	Lista de territórios dependentes
लास कॅचप​	Las Ketchup
लैक्टिक अम्ल	Ácido láctico
कोणीय संवेग	Momento angular
1,1,1-ट्राइक्लोरोइथेन	1,1,1-Tricloroetano
समाज मनोविज्ञान	Psicologia social
ओरलैंडो मैजिक	Orlando Magic
ह्यूस्टन रॉकेट्स	Houston Rockets
ब्रह्माण्ड सुन्दरी	Miss Universo
क्रेडिट कार्ड	Cartão de crédito
किबूत	Kibutz
रेसिडंट इविल: ऐपोकेलिप्स	Resident Evil: Apocalypse
ऐनिमैक्स	Animax
सहकर्मी-से-सहकर्मी	Peer-to-peer
रूस का इतिहास	História da Rússia
कृष्णिका	Corpo negro
नेत्रविज्ञान	Oftalmologia
आभूषण	Joalharia
गुलाग	Gulag
निजीकरण	Privatização
1,3-ब्यूटाडाइइन	1,3-Butadieno
क्रमचय	Permutação
1,4-डाइक्लोरोबेंजिन	1,4-Diclorobenzeno
युद्ध और शान्ति	Guerra e Paz
यूरोपीय कोयला और स्टील संगठन	Comunidade Europeia do Carvão e do Aço
कैलिफोर्निया इंस्टीट्यूट ऑफ टेक्नोलॉजी	Instituto de Tecnologia da Califórnia
1,8-बिस(डाइमिथाइलएमाइनो)नैप्थालिन	1,8-Bis(dimetilamino)naftaleno
भूजल	Água subterrânea
कोणीय वेग	Velocidade angular
हैरी पॉटर और हाफ़-ब्लड प्रिंस (फ़िल्म)	Harry Potter and the Half-Blood Prince (filme)
कर्क राशि	Câncer (astrologia)
संयुक्त राष्ट्र विकास कार्यक्रम	Programa das Nações Unidas para o Desenvolvimento
बहुराष्ट्रीय कम्पनी	Multinacional
अपराध शास्त्र	Criminologia
पामीर पर्वतमाला	Pamir
भूरसायन	Geoquímica
अस्पेर्गेर संलक्षण	Síndrome de Asperger
अकादमी फ्रंसेज	Academia Francesa
मनी प्लांट	Epipremnum aureum
एडवर्ड गिबन	Edward Gibbon
