আফ্রিকা	África
জ্যোতির্বিজ্ঞান	Astronomia
সিঙ্গাপুর	Singapura
বিজ্ঞান	Ciência
বিশ্বতত্ত্ব	Cosmologia
প্লুটো	Plutão
মন্ট্রিঅল	Montreal
ফ্রি সফটওয়্যার	Software livre
লিশটেনস্টাইন	Liechtenstein
ক্রীড়া	Desporto
ক্যামব্রিজ	Cambridge
ইয়েলোস্টোন জাতীয় উদ্যান	Parque Nacional de Yellowstone
আডলফ হিটলার	Adolf Hitler
ফেসবুক	Facebook
গুগল+	Google+
গুয়ানতানামো কারাগার	Prisão de Guantánamo
উইকিলিকস	WikiLeaks
জুলিয়ান অ্যাস্যাঞ্জ	Julian Assange
প্রথম বিশ্বযুদ্ধ	Primeira Guerra Mundial
দ্বিতীয় বিশ্বযুদ্ধ	Segunda Guerra Mundial
দুর্নীতি	Corrupção
উইকিবই	Wikilivros
আউগুস্তো পিনোচে	Augusto Pinochet
উইকিভ্রমণ	Wikivoyage
ভদকা	Vodca
ঘড়ি	Relógio
উবুন্টু (লিনাক্স ডিস্ট্রিবিউশন)	Ubuntu
লিনাক্স	Linux
বব ডিলন	Bob Dylan
গণিত	Matemática
ইউটু	U2
লাতিন ভাষা	Língua latina
বাহরাইন	Bahrein
আর্মেনিয়া	Arménia
কিউনিফর্ম	Escrita cuneiforme
হিগস বোসন	Bóson de Higgs
সার্বিয়া	Sérvia
চাঁদ	Lua
ইস্তানবুল	Istambul
অস্ট্রেলিয়া	Austrália
বব মার্লে	Bob Marley
কার্ল সেগান	Carl Sagan
জ্যোতির্জীববিজ্ঞান	Exobiologia
পদার্থবিজ্ঞান	Física
আর্জেন্টিনা	Argentina
টেলিযোগাযোগ	Telecomunicações
পেরু	Peru
জীববিজ্ঞান	Biologia
অশনাক্ত উড়ন্ত বস্তু	Objeto voador não identificado
উত্তর কোরিয়া	Coreia do Norte
কম্বোডিয়া	Camboja
কাইপার বেষ্টনী	Cintura de Kuiper
কুরআন	Alcorão
ডাইনোসর	Dinossauros
প্রাণিবিজ্ঞান	Zoologia
ইসলাম	Islão
নাশপাতি	Pera
আলেকজান্দ্রিয়ার প্রাচীন গ্রন্থাগার	Biblioteca de Alexandria
লিউব্লিয়ানা	Liubliana
সালবাদোর আইয়েন্দে	Salvador Allende
উদ্ভিদবিজ্ঞান	Botânica
লেখ ওয়ালেন্সা	Lech Wałęsa
চাকা	Roda
মন	Mente
শান্তি	Paz
এনসাইক্লোপিডিয়া ব্রিটানিকা	Encyclopædia Britannica
ইউরোপীয় ইউনিয়ন	União Europeia
রোন্‌-আল্প	Ródano-Alpes
ওয়ার্ল্ড ওয়াইড ওয়েব	World Wide Web
নারী	Mulher
সফিয়া	Sófia
এদুয়ার্দো ফ্রেই মোন্তাল্‌বা	Eduardo Frei Montalva
ডন কিহোতে	Dom Quixote
অলসতা	Preguiça
কম্পিউটার ভাইরাস	Vírus de computador
চেরনোবিলের বিপর্যয়	Acidente nuclear de Chernobil
হাসি	Riso
হিরোশিমা ও নাগাসাকিতে পারমাণবিক বোমাবর্ষণ	Bombardeamentos de Hiroshima e Nagasaki
মিলান	Milão
বন্ধুত্ব	Amizade
আর্তু র‍্যাঁবো	Arthur Rimbaud
তুরিন	Turim
মল	Fezes
লেবু	Limão
কলা (ফল)	Banana
এমিল জোলা	Émile Zola
৬৬৬	666
ফুল	Flor
গুগল (সংখ্যা)	Googol
মারিয়ানা খাত	Fossa das Marianas
মাউন্ট এভারেস্ট	Monte Everest
শারীরস্থান	Anatomia
শহর	Cidade
নেপোলিয়ন বোনাপার্ট	Napoleão Bonaparte
অলিম্পাস মন্‌স্‌	Monte Olimpo (Marte)
শারীরবিদ্যা	Fisiologia
তারা	Estrela
মাউন্ট ভিসুভিয়াস	Vesúvio
সূর্য	Sol
আকাশ	Céu
লুই পাস্তুর	Louis Pasteur
আলোক বর্ষ	Ano-luz
গ্রাম	Aldeia
ভিক্টর হুগো	Victor Hugo
ওশেনিয়া	Oceania
সৌরজগৎ	Sistema Solar
বাল্টিক সাগর	Mar Báltico
ত্রিয়েস্তে	Trieste
ভিস্তুলা নদী	Rio Vístula
সিয়ামিজ লড়াকু মাছ	Betta splendens
শঁজেলিজে	Champs-Élysées
ওডার নদী	Rio Oder
দাঁত	Dente
হাইড্রোজেন	Hidrogénio
হিলিয়াম	Hélio
উইকিমিডিয়া কমন্স	Wikimedia Commons
আঙ্গেলা মের্কেল	Angela Merkel
লিথিয়াম	Lítio
বেরিলিয়াম	Berílio
বই	Livro
দিন	Dia
পূর্ব তিমুর	Timor-Leste
রাত	Noite
হোর্হে আলেস্‌সান্দ্রি	Jorge Alessandri
বছর	Ano
মোঁ ব্লঁ	Monte Branco
রাইন নদী	Reno
কৃষ্ণ বিবর	Buraco negro
চেরেস	Ceres (planeta anão)
লিসবন	Lisboa
হাউমেয়া	Haumea
মানব যৌনাচার	Comportamento sexual humano
এরিস	Éris (planeta anão)
দুবাই	Dubai
লিওনেল মেসি	Lionel Messi
পাদোয়া	Pádua
বোরন	Boro
নিকোলাউস কোপের্নিকুস	Nicolau Copérnico
কার্বন	Carbono
আলেসান্দ্রো দেল পিয়েরো	Alessandro Del Piero
ভোলগা নদী	Rio Volga
নাইট্রোজেন	Azoto
অক্সিজেন	Oxigénio
ফুটবল ক্লাব ইন্তারনাজিওনালে মিলানো	Football Club Internazionale Milano
গ্রহ	Planeta
ক্লিওপেট্রা	Cleópatra
সঙ্গীত	Música
ভেনিস	Veneza
প (নদী)	Rio Pó
থার্মোমিটার	Termômetro
মস্কো	Moscovo
ফ্লুরিন	Flúor
ইতালীয় ভাষা	Língua italiana
নিয়ন	Néon
সেন্ট পিটার্সবার্গ	São Petersburgo
চাদ	Chade
সোডিয়াম	Sódio
ম্যাগনেসিয়াম	Magnésio
অ্যালুমিনিয়াম	Alumínio
নিউজিল্যান্ড	Nova Zelândia
ভারত	Índia
সিলিকন	Silício
ফ্রান্সিয়াম	Frâncio
টুভালু	Tuvalu
ফসফরাস	Fósforo
অঁদ্রে-মারি অম্পেয়্যার	André-Marie Ampère
গদ্য	Prosa
লোহা	Ferro
টোঙ্গা	Tonga
আলেসান্দ্রো ভোল্টা	Alessandro Volta
গন্ধক	Enxofre
সামোয়া	Samoa
সলোমন দ্বীপপুঞ্জ	Ilhas Salomão
ভানুয়াটু	Vanuatu
মলিয়ের	Molière
ক্লোরিন	Cloro
পাপুয়া নিউগিনি	Papua-Nova Guiné
উইলিয়াম শেকসপিয়র	William Shakespeare
পালাউ	Palau
আর্গন	Árgon
নাউরু	Nauru
মোজিলা ফায়ারফক্স	Mozilla Firefox
মাইক্রোনেশিয়া যুক্তরাজ্য	Estados Federados da Micronésia
পটাশিয়াম	Potássio
অলিম্পিক লিওনে	Olympique Lyonnais
ক্যালসিয়াম	Cálcio
সীসা	Chumbo
মার্শাল দ্বীপপুঞ্জ	Ilhas Marshall
কিরিবাস	Kiribati
মঙ্গোলিয়া	Mongólia
ফিজি	Fiji
স্ক্যানডিয়াম	Escândio
টাইটানিয়াম	Titânio
ভেনেজুয়েলা	Venezuela
দাবা	Xadrez
চেঙ্গিজ খান	Gengis Khan
ভ্যানাডিয়াম	Vanádio
মেইন	Maine
ক্রোমিয়াম	Crômio
ঘোড়া	Equus ferus caballus
আমস্টারডাম	Amesterdão
প্রাণী	Animalia
সুরিনাম	Suriname
ম্যাঙ্গানিজ	Manganês
প্যারাগুয়ে	Paraguai
গায়ানা	Guiana
শিল্প	Arte
ইকুয়েডর	Equador
রিনিয়াম	Rênio
কলম্বিয়া	Colômbia
কোবাল্ট	Cobalto
টাংস্টেন	Tungstênio
নিকেল	Níquel
বৌদ্ধ ধর্ম	Budismo
খ্রোনিঙেন	Groninga
বলিভিয়া	Bolívia
অসমিয়াম	Ósmio
তামা	Cobre
ত্রিনিদাদ ও টোবাগো	Trinidad e Tobago
পল ভের্লেন	Paul Verlaine
উদ্ভিদ	Plantae
সেন্ট ভিনসেন্ট ও গ্রেনাডাইন দ্বীপপুঞ্জ	São Vicente e Granadinas
দস্তা	Zinco
নিউ হ্যাম্প্‌শায়ার	Nova Hampshire
সেন্ট লুসিয়া	Santa Lúcia
লিওনার্দো দা ভিঞ্চি	Leonardo da Vinci
সেন্ট কিট্‌স ও নেভিস	São Cristóvão e Nevis
ছত্রাক	Fungi
জামাইকা	Jamaica
গ্রেনাডা	Granada (país)
ম্যাসাচুসেট্‌স	Massachusetts
গুয়াতেমালা	Guatemala
গুগল ক্রোম	Google Chrome
বাহামা দ্বীপপুঞ্জ	Bahamas
কানেটিকাট	Connecticut
মুরগি	Gallus gallus domesticus
অ্যান্টিগুয়া ও বার্বুডা	Antígua e Barbuda
হাওয়াই	Havaí
হন্ডুরাস	Honduras
ডোমিনিকা	Dominica
ডোমিনিকান প্রজাতন্ত্র	República Dominicana
শূকর	Sus domesticus
উত্তর মহাসাগর	Oceano Ártico
হাইতি	Haiti
এল সালভাদোর	El Salvador
ইরান	Irão
ইরাক	Iraque
আলাস্কা	Alasca
কোস্টা রিকা	Costa Rica
ইসরায়েল	Israel
পানামা	Panamá
ইয়েমেন	Iémen
লোজান	Lausana
ভাইরাস	Vírus
পোলীয় ভাষা	Língua polaca
জর্দান	Jordânia
নিকারাগুয়া	Nicarágua
ফ্লোরিডা	Flórida
কিরগিজিস্তান	Quirguistão
অ্যারিজোনা	Arizona
কুয়েত	Kuwait
লাওস	Laos
লেবানন	Líbano
অরেগন	Oregon
মালদ্বীপ	Maldivas
আমেরিকা অঞ্চল	América
ইউটা	Utah
গরু	Bos taurus
মালয়েশিয়া	Malásia
মায়ানমার	Myanmar
নেপাল	Nepal
ওমান	Omã
পাকিস্তান	Paquistão
কাতার	Catar
টেনিস	Ténis
আর্তুরো আলেস্‌সান্দ্রি	Arturo Alessandri
সৌদি আরব	Arábia Saudita
আন্দ্রেই তার্কভ্‌স্কি	Andrei Tarkovski
শ্রীলঙ্কা	Sri Lanka
ইওসিফ স্তালিন	Josef Stalin
সিরিয়া	Síria
প্লেটো	Platão
গ্যালিয়াম	Gálio
জোসেফ ব্রডস্কি	Joseph Brodsky
তাজিকিস্তান	Tajiquistão
পোকেমন	Pokémon
তাইওয়ান	República da China
ইউটিউব	YouTube
জার্মেনিয়াম	Germânio
এরিস্টটল	Aristóteles
থাইল্যান্ড	Tailândia
রেলগাড়ি	Trem
আর্সেনিক	Arsênio
বেতার	Rádio (telecomunicações)
মেরিল স্ট্রিপ	Meryl Streep
তুর্কমেনিস্তান	Turquemenistão
সেলেনিয়াম	Selênio
ইরিডিয়াম	Irídio
সংযুক্ত আরব আমিরাত	Emirados Árabes Unidos
ব্রোমিন	Bromo
প্লাটিনাম	Platina
ভিয়েতনাম	Vietname
চার্লি চ্যাপলিন	Charlie Chaplin
দক্ষিণ কোরিয়া	Coreia do Sul
দ্য সিম্পসন্‌স	Os Simpsons
ইয়েকাতেরিনবুর্গ	Ecaterimburgo
ক্রিপ্টন	Crípton
আফগানিস্তান	Afeganistão
গ্যাংনাম স্টাইল	Gangnam Style
জে. আর. আর. টলকিন	J. R. R. Tolkien
রুবিডিয়াম	Rubídio
সোনা	Ouro
সুয়েজ খাল	Canal de Suez
বিজ্ঞানী	Cientista
বাংলাদেশ	Bangladesh
ফ্রান্‌ৎস কাফকা	Franz Kafka
চেলিয়াবিন্‌স্ক	Cheliabinsk
হোর্হে লুইস বোর্হেস	Jorge Luis Borges
মালি	Mali
সক্রেটিস	Sócrates
অ্যাঙ্গোলা	Angola
ভূটান	Butão
টুইটার	Twitter
ব্রুনাই	Brunei
তানজানিয়া	Tanzânia
পারদ (মৌল)	Mercúrio (elemento químico)
রুয়াল আমুনসেন	Roald Amundsen
ফিলিপাইন	Filipinas
মধ্য আফ্রিকান প্রজাতন্ত্র	República Centro-Africana
থ্যালিয়াম	Tálio
দক্ষিণ মেরু	Polo Sul
উত্তর মেরু	Polo Norte
আইজাক নিউটন	Isaac Newton
আলবার্ট আইনস্টাইন	Albert Einstein
স্ট্রনশিয়াম	Estrôncio
ব্রাজিলের প্রথম পেদ্রো	Pedro I do Brasil
নেশাদায়ক পদার্থ	Narcótico
ইট্রিয়াম	Ítrio
বিসমাথ	Bismuto
হলুদ (বর্ণ)	Amarelo
কোয়ান্টাম বলবিজ্ঞান	Mecânica quântica
টোগো	Togo
তিউনিসিয়া	Tunísia
জন বারডিন	John Bardeen
জাম্বিয়া	Zâmbia
জিম্বাবুয়ে	Zimbabwe
বেইজিং	Pequim
দক্ষিণ সুদান	Sudão do Sul
বেনিন	Benim
বতসোয়ানা	Botswana
উইকিসংবাদ	Wikinotícias
বুর্কিনা ফাসো	Burkina Faso
বুরুন্ডি	Burundi
কোমোরোস	Comores
কঙ্গো প্রজাতন্ত্র	República do Congo
ওব নদী	Rio Ob
গণতান্ত্রিক কঙ্গো প্রজাতন্ত্র	República Democrática do Congo
স্যান অ্যান্টোনিও	San Antonio
জিবুতি	Djibouti
পোলোনিয়াম	Polônio
বাভারিয়া	Baviera
বিষুবীয় গিনি	Guiné Equatorial
বাডেন-ভুর্টেমবার্গ	Baden-Württemberg
ইরিত্রিয়া	Eritreia
নতুন দিল্লি	Nova Deli
ফিওদোর দস্তয়েভ্‌স্কি	Fiódor Dostoiévski
কামচাতকা উপদ্বীপ	Península de Kamchatka
তিবি‌লিসি	Tbilisi
আন্দ্রে শাখারভ	Andrei Sakharov
এস্টাটিন	Ástato
গাবন	Gabão
মোহনদাস করমচাঁদ গান্ধী	Mahatma Gandhi
গাম্বিয়া	Gâmbia
গিনি	Guiné
গিনি-বিসাউ	Guiné-Bissau
কোত দিভোয়ার	Costa do Marfim
ক্যামেরুন	Camarões
কেপ ভার্দ	Cabo Verde
লেসোথো	Lesoto
লাইবেরিয়া	Libéria
লিবিয়া	Líbia
মাদাগাস্কার	Madagáscar
মালাউই	Malawi
স্টুটগার্ট	Estugarda
মৌরিতানিয়া	Mauritânia
মরিশাস	Maurícia
মরোক্কো	Marrocos
মোজাম্বিক	Moçambique
নামিবিয়া	Namíbia
নাইজার	Níger
নাইজেরিয়া	Nigéria
চার্লস ডারউইন	Charles Darwin
উগান্ডা	Uganda
রুয়ান্ডা	Ruanda
জারকোনিয়াম	Zircônio
সাঁউ তুমি ও প্রিন্সিপি	São Tomé e Príncipe
সেনেগাল	Senegal
সেশেল	Seicheles
কার্ল লিনিয়াস	Carolus Linnaeus
সিয়েরা লিওন	Serra Leoa
সোমালিয়া	Somália
নাইওবিয়াম	Nióbio
জওহরলাল নেহ্‌রু	Jawaharlal Nehru
জুলিয়াস সিজার	Júlio César
সুদান	Sudão
সোয়াজিল্যান্ড	Suazilândia
রংধনু	Arco-íris
মলিবডিনাম	Molibdênio
টেকনিসিয়াম	Tecnécio
হামবুর্গ	Hamburgo
বিপাক	Metabolismo
নরেন্দ্র মোদী	Narendra Modi
গুজরাত	Gujarate
বিবর্তন	Evolução
জাতিসংঘ	Organização das Nações Unidas
লেক সুপিরিয়র	Lago Superior
দান্তে আলিগিয়েরি	Dante Alighieri
আহমেদাবাদ	Ahmedabad
ভূগোল	Geografia
হৃৎপিণ্ড	Coração
মস্তিষ্ক	Cérebro
ত্বক	Pele
রঙ	Cor
বিশেষ্য	Substantivo
প্রাগ	Praga
রুথেনিয়াম	Rutênio
রোহডিয়াম	Ródio
নীল (বর্ণ)	Azul
প্যালাডিয়াম	Paládio
রূপা	Prata
ক্যাডমিয়াম	Cádmio
স্টার ট্রেক	Star Trek
ইন্ডিয়াম	Índio (elemento químico)
টিন	Estanho
ইউরেনিয়াম	Urânio
অ্যান্টিমনি	Antimônio
টেলুরিয়াম	Telúrio
প্লুটোনিয়াম	Plutónio
আয়োডিন	Iodo
নেপচুনিয়াম	Neptúnio
জেনন	Xenônio
আনিমে	Anime
সিজিয়াম	Césio
প্রোটেক্টিনিয়াম	Protactínio
বৈদ্যুতিক আধান	Carga elétrica
বেরিয়াম	Bário
থোরিয়াম	Tório
হ্যাফনিয়াম	Háfnio
অ্যাক্টিনিয়াম	Actínio
ট্যানটালাম	Tântalo (elemento químico)
বিল ক্লিনটন	Bill Clinton
রেডিয়াম	Rádio (elemento químico)
রেডন	Rádon
লোরেন	Lorena (França)
আল্‌জাস	Alsácia
ইন্দিরা গান্ধী	Indira Gandhi
মারকিউরি	Mercúrio (mitologia)
ওভের্ন	Auvérnia
মুম্বই	Bombaim
আন্তর্জাতিক অ্যাথলেটিক্স ফেডারেশন	Associação Internacional de Federações de Atletismo
অন্ধ্রপ্রদেশ	Andra Pradexe
অরুণাচল প্রদেশ	Arunachal Pradesh
অসম	Assam
বিহার	Bihar
মিশিগান	Michigan
ছত্তীসগঢ়	Chhattisgarh
লেক মিশিগান	Lago Michigan
গোয়া	Goa
বুর্‌গোইন	Borgonha
হরিয়াণা	Haryana
হিমাচল প্রদেশ	Himachal Pradesh
আকিতেন	Aquitânia
জম্মু ও কাশ্মীর	Jammu e Caxemira
পুয়ের্তো রিকো	Porto Rico
ঝাড়খণ্ড	Jharkhand
কর্ণাটক	Karnataka
কেরল	Querala
মধ্যপ্রদেশ	Madhya Pradesh
উসেইন বোল্ট	Usain Bolt
মহারাষ্ট্র	Maharashtra
মণিপুর	Manipur
শ্লেসভিগ-হোলস্টাইন	Schleswig-Holstein
মেঘালয়	Meghalaya
মেকলেনবুর্গ-ভোপোমান	Mecklemburgo-Pomerânia Ocidental
নিডারজাখসেন	Baixa Saxônia
নর্থ রিনে-ভেস্টফালিয়া	Renânia do Norte-Vestfália
হেসে	Hesse
রিনেল্যান্ড-প্যালাটিনাটা	Renânia-Palatinado
জারল্যান্ড	Sarre
জ্যাক্সোনি	Saxônia
জন লেনন	John Lennon
ইলিনয়	Illinois
থুরিনগিয়া	Turíngia
জ্যাক্সোনি-আনহাল্ট	Saxônia-Anhalt
নর্থ ডাকোটা	Dakota do Norte
ব্র্যান্ডেনবুর্গ	Brandemburgo
সাউথ ডাকোটা	Dakota do Sul
মন্টানা	Montana
ওয়াইয়োমিং	Wyoming
জেরুসালেম	Jerusalém
জর্জো নেপোলিতানো	Giorgio Napolitano
আইডাহো	Idaho
ওয়াশিংটন (অঙ্গরাজ্য)	Washington
কার্লো আজেলিও চিয়াম্পি	Carlo Azeglio Ciampi
রাদারফোর্ডিয়াম	Rutherfórdio
নেভাডা	Nevada
ডুবনিয়াম	Dúbnio
সিবোরজিয়াম	Seabórgio
ভারত মহাসাগর	Oceano Índico
কসোভো	Kosovo
ক্যারিবীয় সাগর	Mar do Caribe
বোহরিয়াম	Bóhrio
হ্যাসিয়াম	Hássio
বান কি মুন	Ban Ki-moon
কোফি আন্নান	Kofi Annan
বুত্রোস বুত্রোস গালি	Boutros Boutros-Ghali
মিটনেরিয়াম	Meitnério
হাভিয়ের পেরেজ ডে কুয়েইয়ার	Javier Pérez de Cuéllar
কার্ট ওয়াল্ডহেইম	Kurt Waldheim
কলোরাডো	Colorado
উ থান্ট	U Thant
ডার্মস্টেটিয়াম	Darmstácio
দগ হামারহোল্ড	Dag Hammarskjöld
ফ্রেদেরিক শোপাঁ	Frédéric Chopin
ট্রিগভে হাভডেন লি	Trygve Lie
রন্টজেনিয়াম	Roentgênio
গ্লাডউইন জেব	Gladwyn Jebb
কোপার্নিসিয়াম	Copernício
বিষয়শ্রেণী:সূচীপত্র	Categoria:Conteúdo
আল্পস পর্বতমালা	Alpes
কার্পেথীয় পর্বতমালা	Cárpatos
গ্রনোবল	Grenoble
