非洲	África
Thap-kit-khiet-sṳ̂-thán	Tajiquistão
中華民國	República da China
YouTube	YouTube
Châ	Germânio
Thai-koet	Tailândia
Sṳ̂n	Arsênio
Thú-khû-man-sṳ̂-thán	Turquemenistão
Abakan	Abakan
Sî	Selênio
Yî	Irídio
Â-lâ-pak Lièn-ha̍p Thai-kûng-koet	Emirados Árabes Unidos
Tshiù (溴)	Bromo
Pha̍k (鉑)	Platina
Ye̍t-nàm	Vietname
Thai-hòn Mìn-koet	Coreia do Sul
Khiet	Crípton
Â-fu-hon	Afeganistão
J. R. R. Tolkien	J. R. R. Tolkien
Lù	Rubídio
Kîm	Ouro
Men-kâ-lâ-koet	Bangladesh
Ufa	Ufa
Ôn-kô-lâ	Angola
Vùn-lòi	Brunei
Kúng	Mercúrio (elemento químico)
Fî-li̍t-pîn	Filipinas
Thò	Tálio
Ngie-sat-khiet Ngiù-tun	Isaac Newton
Albert Einstein	Albert Einstein
Sṳ̂	Estrôncio
Yet	Ítrio
Pit	Bismuto
Vòng-set	Amarelo
Tsan-pí-â	Zâmbia
Sîn-pâ-pu-vî	Zimbabwe
北京	Pequim
Tuva Khiung-fò-koet	Tuva
Pok-tshṳ-ngá-na̍p	Botswana
Pho (釙)	Polônio
Bayern	Baviera
Baden-Württemberg	Baden-Württemberg
Ngo (砈)	Ástato
Lòi-sò-thok	Lesoto
Mâ-tha̍t-kâ-sṳ̂-kâ	Madagáscar
Mâ-là-vî	Malawi
Stuttgart	Estugarda
Màu-li-thap-nì-â	Mauritânia
Pô-làn-ngìn	Polacos
Mo̍k-sông-pí-khiet	Moçambique
Na̍p-mí-pí-â	Namíbia
Nai-khi̍p-li-â	Nigéria
Ko	Zircônio
Nì	Nióbio
Yû-li-vû-sṳ̂ Khái-sat	Júlio César
Sṳ̂-vî-sṳ-làn	Suazilândia
Muk	Molibdênio
Thap	Tecnécio
Hamburg	Hamburgo
Thoi-chhia	Metabolismo
Miên-yi̍t Hì-thúng	Sistema imunitário
Lièn-ha̍p-koet	Organização das Nações Unidas
Sîm-chhong	Coração
Thèu-nó	Cérebro
Phì-fû	Pele
Ló	Ródio
Làm-set	Azul
Pâ	Paládio
Ngiùn	Prata
Kak	Cádmio
Yîn	Índio (elemento químico)
Siak	Estanho
Yu	Urânio
Thi (銻)	Antimônio
Ti	Telúrio
Pu	Plutónio
Tièn	Iodo
Nai	Neptúnio
Set	Césio
Phù	Protactínio
Pi	Bário
Thú	Tório
Kap (鉿)	Háfnio
Than (鉭)	Tântalo (elemento químico)
Luì	Rádio (elemento químico)
Tûng	Rádon
Alsace	Alsácia
Auvergne	Auvérnia
Ôn-tet-là-pâng	Andra Pradexe
Me̍t-hiet-kîn	Michigan
Burgundy	Borgonha
Aquitaine	Aquitânia
Schleswig-Holstein	Schleswig-Holstein
Hâ Saxony	Baixa Saxônia
Pet Rhine-Westphalia	Renânia do Norte-Vestfália
Saxony	Saxônia
Yî-li-nò	Illinois
Thuringia	Turíngia
Saxony-Anhalt	Saxônia-Anhalt
Pet Tha̍t-khô-thâ	Dakota do Norte
Brandenburg	Brandemburgo
Bremen-chû	Bremen (estado)
Nàm Tha̍t-khô-thâ	Dakota do Sul
Mùng-thai-nâ	Montana
Fài-ngò-mìn	Wyoming
Yâ-lu-sat-lâng	Jerusalém
Oi-tha̍t-hòt	Idaho
Fà-sṳn-tun	Washington
Lù (鑪)	Rutherfórdio
Nui-fà-tha̍t	Nevada
Hàn (𨧀)	Dúbnio
Hí (𨭎)	Seabórgio
Yin-thu-yòng	Oceano Índico
Khô-sò-vok	Kosovo
Kâ-le̍t-pí-hói	Mar do Caribe
Pô (𨨏)	Bóhrio
Het (𨭆)	Hássio
Phan Kî-vùn	Ban Ki-moon
Ma̍k (䥑)	Meitnério
Khô-lò-là-tô	Colorado
Tha̍t	Darmstácio
Siau-pâng	Frédéric Chopin
Lùn	Roentgênio
Kô (鎶)	Copernício
分類:Chú-yeu fûn-lui	Categoria:Conteúdo
Chi-kâ-kô	Chicago
Arnhem	Arnhem
Tûng-kui	Inverno
Sî-pân-ngà-ngî	Língua castelhana
Fî-là-thiet-fî	Filadélfia
Tî-tû	Aranha
Hèu-è	Macaco
Kîm-tshièn	Dinheiro
Vì-kit-nì-â	Virgínia
Sî Vì-kit-nì-â	Virgínia Ocidental
Tshiâng-tséu	Capsicum annuum
Néu-yok-chû	Nova Iorque (estado)
Sṳ (鈰)	Cério
Phú	Praseodímio
Lò-tet-tó	Rhode Island
Ńg	Neodímio
Khûn-chhùng	Insetos
Mâ-lî-làn	Maryland
Thi̍t-lâ-ngá	Delaware
Yû (銪)	Európio
Ngò-hài-ngò	Ohio
Vì-kit-ngì	Virgílio
Machiavelli	Nicolau Maquiavel
Pîn-sé-fap-nì-â	Pensilvânia
Uetersen	Uetersen
O-kú-sṳ̂-tû	Augusto
Néu Chhe̍t-sî-chû	Nova Jérsia
Fûn-làn-ngî	Língua finlandesa
Yin-thi-ôn-na̍p	Indiana
Vì-sṳ̂-pha-siên	Vespasiano
Thù-là-chṳ̂n	Trajano
Hâ-tet-liòng	Adriano
Khièu-tshṳ-â	Geórgia (Estados Unidos)
Mâ-khù-sṳ̂ O-lie̍t-lî-vû-sṳ̂	Marco Aurélio
Zagreb	Zagreb
Tet-khiet-sat-sṳ̂	Texas
Thai-mí-ngì-na̍p-tet-pâng	Tamil Nadu
Pet Khà-lò-lòi-na̍p	Carolina do Norte
Nàm Khà-lò-lòi-na̍p	Carolina do Sul
Loire-sén	Rio Loire
Pâ-set-lò-nâ	Barcelona
Vòng-lî	Ananás
Me̍t-sî-sî-pí	Mississippi
Thièn-na̍p-sî	Tennessee
Néu Me̍t-sî-kô	Novo México
Mìn-nì-sû-tha̍t	Minnesota
