Африк	África
Компьютерын вирус	Vírus de computador
Чернобылийн осол	Acidente nuclear de Chernobil
Милан	Milão
Артюр Рембо	Arthur Rimbaud
Турин	Turim
Нимбэг	Limão
Гадил	Banana
Марианы хонхор	Fossa das Marianas
Владимир Высоцкий	Vladimir Vysotsky
Жомолунгма	Monte Everest
Хот	Cidade
Наполеон I Бонапарт	Napoleão Bonaparte
Од	Estrela
Нар	Sol
Луи Пастер	Louis Pasteur
Гэрлийн жил	Ano-luz
Виктор Гюго	Victor Hugo
Нарны аймаг	Sistema Solar
Балтын тэнгис	Mar Báltico
Висла мөрөн	Rio Vístula
Устөрөгч	Hidrogénio
Викимедиа Коммонс	Wikimedia Commons
Ангела Меркель	Angela Merkel
Ном	Livro
Хоног	Dia
Зүүн Тимор	Timor-Leste
Шөнө	Noite
Жил	Ano
Зуун	Século
Лодзь	Łódź
Рейн мөрөн	Reno
Осло	Oslo
Бонн	Bona
Хар нүх	Buraco negro
Луис Камоэнс	Luís de Camões
Гэй	Gay
Церера	Ceres (planeta anão)
Лиссабон	Lisboa
Хаумеа	Haumea
Макемаке	Makemake
Эрида	Éris (planeta anão)
Лионель Месси	Lionel Messi
Николай Коперник	Nicolau Copérnico
Нүүрстөрөгч	Carbono
Алессандро Дель Пьеро	Alessandro Del Piero
Ижил	Rio Volga
Азот	Azoto
Хүчилтөрөгч	Oxigénio
Интернационале	Football Club Internazionale Milano
Гариг	Planeta
VII Клеопатра	Cleópatra
Хөгжим	Música
Венец	Veneza
Нарүто	Naruto
Нева мөрөн	Rio Neva
Москва	Moscovo
Фтор	Flúor
Итали хэл	Língua italiana
Санкт-Петербург	São Petersburgo
Натри	Sódio
Магни	Magnésio
Хөнгөн цагаан	Alumínio
Шинэ Зеланд	Nova Zelândia
Энэтхэг	Índia
Цахиур	Silício
Тувалу	Tuvalu
Уан Пийс	One Piece
Фосфор (химийн элемент)	Fósforo
Андре Мари Ампер	André-Marie Ampère
Хүүрнэл зохиол	Prosa
Төмөр (химийн элемент)	Ferro
Тонга	Tonga
Хүхэр	Enxofre
Дорно	Leste
Вануату	Vanuatu
Мольер	Molière
Уильям Шекспир	William Shakespeare
Өмнө Холланд	Holanda do Sul
Палау	Palau
Аргон	Árgon
Науру	Nauru
Умар Холланд	Holanda do Norte
Микронезийн Холбооны Улс	Estados Federados da Micronésia
Лионы Олимпик	Olympique Lyonnais
Кальци	Cálcio
Хар тугалга	Chumbo
Маршаллын арлууд	Ilhas Marshall
Кирибати	Kiribati
Монгол Улс	Mongólia
Фижи	Fiji
Венесуэл	Venezuela
Шатар	Xadrez
Чингис хаан	Gengis Khan
Мэн	Maine
Хром	Crômio
Адуу	Equus ferus caballus
Амстердам	Amesterdão
Амьтан	Animalia
Суринам	Suriname
Манган	Manganês
Парагвай	Paraguai
Гайана	Guiana
Урлаг	Arte
Эквадор	Equador
Рени	Rênio
Колумб	Colômbia
Кобальт	Cobalto
Гүзээлзгэнэ	Morangueiro
Буддын шашин	Budismo
Гронинген хот	Groninga
Боливи	Bolívia
Зэс	Cobre
Тринидад ба Тобаго	Trinidad e Tobago
Ургамал	Plantae
Цайр	Zinco
Нью-Хэмпшир	Nova Hampshire
Леонардо да Винчи	Leonardo da Vinci
Сент-Китс ба Невис	São Cristóvão e Nevis
Ямайк	Jamaica
Гренад улс	Granada (país)
Массачусеттс	Massachusetts
Гватемал	Guatemala
Гелдерланд	Guéldria
Коннектикут	Connecticut
Хавай	Havaí
Гондурас	Honduras
Умард мөсөн далай	Oceano Ártico
Гаити	Haiti
Иран улс	Irão
Ирак	Iraque
Аляска	Alasca
Коста-Рика	Costa Rica
Израиль	Israel
Утрехт хот	Utrecht
Панам	Panamá
Йемен	Iémen
Вирус	Vírus
Польш хэл	Língua polaca
Иордан	Jordânia
Никарагуа	Nicarágua
Флорида	Flórida
Кыргызстан	Quirguistão
Аризона	Arizona
Кувейт	Kuwait
Лаос	Laos
Ливан	Líbano
Орегон	Oregon
Мальдив	Maldivas
Америк тив	América
Юта	Utah
Малайз	Malásia
Михаил Булгаков	Mikhail Bulgákov
Мьянмар	Myanmar
Балба	Nepal
Оман	Omã
Пакистан	Paquistão
Катар	Catar
Теннис	Ténis
MySQL	MySQL
Саудын Араб	Arábia Saudita
Шри-Ланка	Sri Lanka
Иосиф Сталин	Josef Stalin
Шугаман код	Código de barras
Сири	Síria
Платон	Platão
Тажик улс	Tajiquistão
Бүгд Найрамдах Хятад Улс	República da China
Германи	Germânio
Аристотель	Aristóteles
Тайланд	Tailândia
Галт тэрэг	Trem
Радио	Rádio (telecomunicações)
Мерил Стрип	Meryl Streep
Туркменистан	Turquemenistão
Абакан	Abakan
Арабын Нэгдсэн Эмирт Улс	Emirados Árabes Unidos
Вьетнам	Vietname
Чарльз Спенсер Чаплин	Charlie Chaplin
Новосибирск	Novosibirsk
Өмнөд Солонгос	Coreia do Sul
Екатеринбург	Ecaterimburgo
Афганистан	Afeganistão
Доод Новгород	Níjni Novgorod
Жон Толкин	J. R. R. Tolkien
Самар хот	Samara (Rússia)
Алт	Ouro
Омск	Omsk
Суэцийн суваг	Canal de Suez
Казань	Cazã
Бангладеш	Bangladesh
Блич	Bleach (mangá)
Франц Кафка	Franz Kafka
Челябинск	Cheliabinsk
Донын Ростов	Rostov do Don
Уфа	Ufa
Мали	Mali
Сократ	Sócrates
Волгоград	Volgogrado
Ангол	Angola
Пермь	Perm
Бутан	Butão
Твиттер	Twitter
Красноярск	Krasnoyarsk
Бруней	Brunei
Танзани	Tanzânia
Мөнгөн ус	Mercúrio (elemento químico)
Филиппин	Filipinas
Үзүмаки Нарүто	Naruto Uzumaki
Өмнөд туйл	Polo Sul
Умард туйл	Polo Norte
Исаак Ньютон	Isaac Newton
Альберт Эйнштейн	Albert Einstein
Иттри	Ítrio
Висмут	Bismuto
Квант механик	Mecânica quântica
Дональд Туск	Donald Tusk
Тунис	Tunísia
Жон Бардин	John Bardeen
Замби	Zâmbia
Зимбабве	Zimbabwe
Бээжин	Pequim
Владивосток	Vladivostok
Бүгд Найрамдах Тува Улс	Tuva
Бенин	Benim
Ботсвана	Botswana
Бурунди	Burundi
Бүгд Найрамдах Конго Улс	República do Congo
Обь	Rio Ob
Бүгд Найрамдах Ардчилсан Конго Улс	República Democrática do Congo
Полони	Polônio
Бавар	Baviera
Баден-Вюртемберг	Baden-Württemberg
Эритрей	Eritreia
Шинэ Дели	Nova Deli
II Иоанн Павел	Papa João Paulo II
Фёдор Достоевский	Fiódor Dostoiévski
Камчаткын хойг	Península de Kamchatka
Тбилис	Tbilisi
Андрей Сахаров	Andrei Sakharov
Астат	Ástato
Габон	Gabão
Махатма Ганди	Mahatma Gandhi
Чукотын хойг	Península de Chukotka
Комикс	Banda desenhada
Гамби	Gâmbia
Гвиней	Guiné
Кот д'Ивуар	Costa do Marfim
Камерун	Camarões
Лесото	Lesoto
Ливи	Líbia
Ахен	Aquisgrano
Мадагаскар	Madagáscar
Малави	Malawi
Штутгарт	Estugarda
Мавритан	Mauritânia
Марокко	Marrocos
Мозамбик	Moçambique
Намиби	Namíbia
Нигер	Níger
Нигери	Nigéria
Чарльз Дарвин	Charles Darwin
Уганда	Uganda
Руанда	Ruanda
Циркони	Zircônio
Карлсруэ	Karlsruhe
Сенегал	Senegal
Карл Линней	Carolus Linnaeus
Сьерра-Леоне	Serra Leoa
Сомали	Somália
Жавахарлал Неру	Jawaharlal Nehru
Юлий Цезарь	Júlio César
Судан	Sudão
Свазиланд	Suazilândia
Солонго	Arco-íris
Молибден	Molibdênio
Бодисын солилцоо	Metabolismo
Онтарио нуур	Lago Ontário
Эволюци	Evolução
Нэгдсэн Үндэстний Байгууллага	Organização das Nações Unidas
Данте Алигери	Dante Alighieri
Геологи	Geologia
Ахмадабад	Ahmedabad
Газарзүй	Geografia
Зүрх	Coração
Тархи	Cérebro
Арьс	Pele
Өнгө	Cor
Нэр үг	Substantivo
Прага	Praga
Роди	Ródio
Мөнгө (химийн элемент)	Prata
Уран (химийн элемент)	Urânio
Умар Брабант	Brabante do Norte
Плутони	Plutónio
Анимэ	Anime
Цахилгаан цэнэг	Carga elétrica
Бари	Bário
Тори	Tório
Актини	Actínio
Билл Клинтон	Bill Clinton
Индира Ганди	Indira Gandhi
Гектор Берлиоз	Hector Berlioz
Мумбай	Bombaim
Андра Прадеш	Andra Pradexe
Бихар	Bihar
Мичиган	Michigan
Аквитан муж	Aquitânia
Жарканд	Jharkhand
Карнатака	Karnataka
Мадхья-Прадеш	Madhya Pradesh
Усэйн Болт	Usain Bolt
Лимузен	Limusino
Махараштра	Maharashtra
Мекленбург – Өрнө Померан	Mecklemburgo-Pomerânia Ocidental
Доор Саксон	Baixa Saxônia
Хессен	Hesse
Жон Леннон	John Lennon
Иллиной	Illinois
Саксон-Анхальт	Saxônia-Anhalt
Хойд Дакота	Dakota do Norte
Бранденбург	Brandemburgo
Бремен муж	Bremen (estado)
Ломбард муж	Lombardia
Өмнөд Дакота	Dakota do Sul
Вайоминг	Wyoming
Иерусалим	Jerusalém
Жиоржио Наполитано	Giorgio Napolitano
Айдахо	Idaho
Вашингтон Муж Улс	Washington
Невада	Nevada
Энэтхэгийн далай	Oceano Índico
Энрико Де Никола	Enrico De Nicola
Косово	Kosovo
Карибын тэнгис	Mar do Caribe
Хасси	Hássio
Кофи Аннан	Kofi Annan
Колорадо	Colorado
У Тант	U Thant
Колорадо мөрөн	Rio Colorado
Даг Хаммаршёлд	Dag Hammarskjöld
Фредерик Шопен	Frédéric Chopin
Леонард Коэн	Leonard Cohen
Ангилал:Тулгуур	Categoria:Conteúdo
Лацио муж	Lácio
Альпийн нуруу	Alpes
Блез Паскаль	Blaise Pascal
Зуун буудалт даам	Damas
Дортмунд	Dortmund
Гент	Gante
Чикаго	Chicago
The Beatles	The Beatles
Маастрихт	Maastricht
Арнем	Arnhem
Өвөл	Inverno
Зун	Verão
Осама бен Ладен	Osama bin Laden
Испани хэл	Língua castelhana
Фридрих Хаек	Friedrich Hayek
Иоганн Себастьян Бах	Johann Sebastian Bach
Антонио Вивальди	Antonio Vivaldi
Тольятти	Togliatti
Дуурь	Ópera
Филадельфия	Filadélfia
Калькутта	Calcutá
Ченнай	Chennai
Дели	Deli
Дакка	Daca
Үет хөлтөн	Artrópode
Исламабад	Islamabad
Трипура	Tripura
Жимс	Fruto
Сармагчин	Macaco
Мөнгө	Dinheiro
Виржини	Virgínia
Баруун Виржини	Virgínia Ocidental
Нью-Йорк Муж Улс	Nova Iorque (estado)
Рөүд-Айленд	Rhode Island
Шавьж	Insetos
Мэрилэнд	Maryland
Делавар	Delaware
Владимир Ильич Ленин	Lenin
Охайо	Ohio
Вергилий	Virgílio
Пеннсилвани	Pensilvânia
Итерзен	Uetersen
Август Цезарь	Augusto
Windows	Microsoft Windows
Тибериус	Tibério
Калигула	Calígula
Гибралтар	Gibraltar
Клавдий	Cláudio
Индиана муж	Indiana
Автомашин	Automóvel
Ювентус	Juventus Football Club
Траян	Trajano
Рожер Федерер	Roger Federer
Жоржиа	Geórgia (Estados Unidos)
Антонини Пи	Antonino Pio
Марк Аврелий	Marco Aurélio
Загреб	Zagreb
Техас	Texas
Каракалла	Caracala
Генуя	Génova
Зүлэгний хоккей	Hóquei em campo
Дэлдэн зараа	Hemiechinus auritus
Манила (Манил)	Manila
Себу	Cebu (cidade)
Давао	Davao
Кесон	Cidade Quezon
Калоокан	Caloocan
Корасон Акино	Corazón Aquino
Буэнос-Айрес	Buenos Aires
Мехико	Cidade do México
Токио	Tóquio
Барселон	Barcelona
Хан боргоцой	Ananás
Миссиссиппи	Mississippi
Фернан Магеллан	Fernão de Magalhães
Миссисипи мөрөн	Rio Mississippi
Уттар Прадеш	Uttar Pradesh
Теннесси	Tennessee
Рихард Вагнер	Richard Wagner
Абижан хот	Abidjã
Абу-Даби хот	Abu Dhabi
Астана	Astana
Нью-Мексико	Novo México
Афин	Atenas
Миннесота	Minnesota
Багдад	Bagdá
Каракас	Caracas
Висконсин	Wisconsin
Милан (хөлбөмбөгийн баг)	Associazione Calcio Milan
Айова	Iowa
Небраска	Nebraska
Канзас	Kansas
Гавана	Havana
Хинди хэл	Língua hindi
Янжуур	Cigarro
Миссури	Missouri
Георг Ом	Georg Simon Ohm
Луйзиана	Luisiana
Кентакки	Kentucky
Арканзас	Arkansas
Нил Армстронг	Neil Armstrong
Урдү хэл	Língua urdu
Чарльз Линдберг	Charles Lindbergh
Замбоанга	Zamboanga
Антиполо	Antipolo
Тагиг	Taguig
Оклахома	Oklahoma
Иохан Блэйк	Yohan Blake
Жастин Гэтлин	Justin Gatlin
Дунай мөрөн	Rio Danúbio
Кирани Жеймс	Kirani James
Тауфик Махлуфи	Taoufik Makhloufi
Мо Фарах	Mo Farah
Эзекиль Кембой	Ezekiel Kemboi
Жейсон Ричардсон	Jason Richardson
Хойд тэнгис	Mar do Norte
Москва муж	Oblast de Moscou
Неста Картер	Nesta Carter
Стивен Кипротич	Stephen Kiprotich
Подстам	Potsdam
Ишлэл	Citação
Ханновер	Hanôver
Висбаден	Wiesbaden
Мюнхен	Munique
Дрезден	Dresden
Волейбол	Voleibol
Инсбрук	Innsbruck
Мутаз Эсса Баршим	Mutaz Essa Barshim
Вена	Viena
Рено Лавиллени	Renaud Lavillenie
Мадонна (дуучин)	Madonna
Копенхаген	Copenhaga
Калининград муж	Oblast de Kaliningrado
Уилл Клэй	Will Claye
Стокгольм	Estocolmo
Мурманск муж	Oblast de Murmansk
Дублин	Dublin
Рига	Riga
Герд Кантер	Gerd Kanter
Кристиан Парш	Krisztián Pars
Братислав	Bratislava
Будапешт	Budapeste
Эштон Итон	Ashton Eaton
Майн дахь Франкфурт	Frankfurt am Main
Вроцлав	Breslávia
Одон орны нэгж	Unidade astronômica
Аче	Achém
Калининград	Kaliningrado
Зинедин Зидан	Zinédine Zidane
Католик	Catolicismo
Люксембург (хот)	Luxemburgo (cidade)
Вадуц	Vaduz
Библи	Bíblia
Пномпень	Phnom Penh
Архангельск	Arcangel
Хо Ши Мин хот	Cidade de Ho Chi Minh
Иттерби	Itérbio
Ханой	Hanói
Есүс Христийн Жинхэнэ Сүм	Verdadeira Igreja de Jesus
Англи хэл	Língua inglesa
Бангкок	Banguecoque
Андорра-ла-Велья	Andorra-a-Velha
Куала Лумпур	Kuala Lumpur
Тайбэй	Taipé
Америци	Amerício
Одесс	Odessa
Архангельск муж	Oblast de Arkhangelsk
Донгхой	Dong Hoi
Консепшон	Concepción (Chile)
Беркли	Berquélio
Мемфис Депай	Memphis Depay
Петрозаводск	Petrozavodsk
Кальяри	Cagliari
Киев	Kiev
Онтарио	Ontário
Уго Льорис	Hugo Lloris
Матьё Дебюши	Mathieu Debuchy
Адиль Рами	Adil Rami
Йоан Кабай	Yohan Cabaye
Оливье Жиру	Olivier Giroud
Карим Бензема	Karim Benzema
Флоран Малуда	Florent Malouda
Бүгд Найрамдах Карель Улс	República da Carélia
Лоран Косельни	Laurent Koscielny
Патрис Эвра	Patrice Evra
Филипп Мексес	Philippe Mexès
Фрэнк Рибери	Franck Ribéry
Матьё Вальбуэна	Mathieu Valbuena
Самир Насри	Samir Nasri
Блез Матюиди	Blaise Matuidi
Антони Ревейер	Anthony Réveillère
Жереми Менез	Jérémy Ménez
Стив Манданда	Steve Mandanda
Хатем Бен Арфа	Hatem Ben Arfa
Гаэль Клиши	Gaël Clichy
Оттава	Ottawa
Эрик Абидаль	Éric Abidal
Жибриль Сиссе	Djibril Cissé
Вильям Галлас	William Gallas
Бакари Санья	Bacary Sagna
Андре-Пьер Жиньяк	André-Pierre Gignac
Себастьен Скиллачи	Sébastien Squillaci
Абу Диаби	Abou Diaby
Жереми Тулалан	Jérémy Toulalan
Жуба	Juba (Sudão do Sul)
Манитоба	Manitoba
Альберта	Alberta
Нова Скоша	Nova Escócia
Ереван	Erevan
Вологда	Vologda
Фрэни Шнайдер	Vreni Schneider
Консковол (хот)	Końskowola
Нью-Брансвик	Nova Brunswick
Бритиш Коламбиа	Colúmbia Britânica
Принс Эдвардын Арал	Ilha do Príncipe Eduardo
2000 он	2000
2003 он	2003
2002 он	2002
2001 он	2001
Саскачеван	Saskatchewan
2012 он	2012
Кишимото Масаши	Masashi Kishimoto
2011 он	2011
2010 он	2010
2009 он	2009
2013 он	2013
2014 он	2014
2015 он	2015
Ньюфаундленд ба Лабрадор	Terra Nova e Labrador
2008 он	2008
JavaScript	JavaScript
Баруун Хойд Нутаг Дэвсгэр	Territórios do Noroeste
Юкон	Yukon
2004 он	2004
2005 он	2005
2006 он	2006
Нунавут	Nunavut
2007 он	2007
1900 он	1900
1901 он	1901
Шарль де Голль	Charles de Gaulle
1902 он	1902
Флоренц	Florença
1903 он	1903
1904 он	1904
1905 он	1905
1907 он	1907
1906 он	1906
Жамби	Jambi
Фиорентина	ACF Fiorentina
1908 он	1908
1909 он	1909
1992 он	1992
1991 он	1991
1990 он	1990
1993 он	1993
Эссен	Essen
1994 он	1994
1995 он	1995
1996 он	1996
Дэвид Линч	David Lynch
Коми	República de Komi
1910 он	1910
1911 он	1911
1912 он	1912
Лайпциг	Leipzig
1913 он	1913
1914 он	1914
1915 он	1915
1916 он	1916
1997 он	1997
1998 он	1998
Нюрнберг	Nuremberga
1999 он	1999
1917 он	1917
1918 он	1918
Хоол	Alimento
Дуйсбург	Duisburgo
Бохум	Bochum
Вупперталь	Wuppertal
Лампун	Lampung
Гэрлийн хурд	Velocidade da luz
Билефельд	Bielefeld
XML	XML
Манхайм	Mannheim
Боде Миллер	Bode Miller
Умар Суматра	Sumatra Setentrional
1 сарын 1	1 de janeiro
1 сарын 2	2 de janeiro
1920 он	1920
1 сарын 3	3 de janeiro
1919 он	1919
1921 он	1921
1922 он	1922
Лөнд	Lund (Suécia)
1 сарын 4	4 de janeiro
1923 он	1923
Лэнс Армстронг	Lance Armstrong
1924 он	1924
Риау	Riau (província)
Ленинград муж	Oblast de Leningrado
1 сарын 5	5 de janeiro
Мальмё	Malmö
1 сарын 6	6 de janeiro
Риау арлуудын муж	Ilhas Riau
Электрон	Elétron
1 сарын 7	7 de janeiro
1 сарын 8	8 de janeiro
1 сарын 9	9 de janeiro
1 сарын 10	10 de janeiro
Нижегород муж	Oblast de Níjni Novgorod
1 сарын 11	11 de janeiro
1 сарын 12	12 de janeiro
Колумб мөрөн	Rio Columbia
Африкийн Сципион	Cipião Africano
1 сарын 13	13 de janeiro
Бирмингем	Birmingham
1 сарын 14	14 de janeiro
1 сарын 15	15 de janeiro
1 сарын 16	16 de janeiro
Том Хэнкс	Tom Hanks
1 сарын 17	17 de janeiro
1 сарын 18	18 de janeiro
1 сарын 19	19 de janeiro
1 сарын 20	20 de janeiro
Аж үйлдвэрийн хувьсгал	Revolução Industrial
Өмнө Суматра	Sumatra Meridional
1 сарын 21	21 de janeiro
1 сарын 22	22 de janeiro
1 сарын 23	23 de janeiro
Ромын эзэнт гүрэн	Império Romano
1 сарын 24	24 de janeiro
1 сарын 25	25 de janeiro
Минск	Minsk
1 сарын 26	26 de janeiro
Microsoft	Microsoft
1 сарын 27	27 de janeiro
1 сарын 28	28 de janeiro
1 сарын 29	29 de janeiro
1 сарын 30	30 de janeiro
1 сарын 31	31 de janeiro
Тверь муж	Oblast de Tver
Протон	Próton
12 сарын 2	2 de dezembro
12 сарын 1	1 de dezembro
12 сарын 3	3 de dezembro
12 сарын 7	7 de dezembro
12 сарын 5	5 de dezembro
12 сарын 8	8 de dezembro
12 сарын 10	10 de dezembro
12 сарын 6	6 de dezembro
12 сарын 9	9 de dezembro
Пинк Флойд	Pink Floyd
12 сарын 4	4 de dezembro
2 сарын 1	1 de fevereiro
2 сарын 2	2 de fevereiro
2 сарын 3	3 de fevereiro
Куров	Kurów
2 сарын 4	4 de fevereiro
2 сарын 5	5 de fevereiro
2 сарын 6	6 de fevereiro
2 сарын 7	7 de fevereiro
2 сарын 8	8 de fevereiro
2 сарын 9	9 de fevereiro
2 сарын 10	10 de fevereiro
Хими	Química
2 сарын 14	14 de fevereiro
2 сарын 13	13 de fevereiro
2 сарын 15	15 de fevereiro
2 сарын 11	11 de fevereiro
2 сарын 12	12 de fevereiro
Робин ван Перси	Robin van Persie
2 сарын 19	19 de fevereiro
2 сарын 17	17 de fevereiro
2 сарын 16	16 de fevereiro
2 сарын 18	18 de fevereiro
2 сарын 20	20 de fevereiro
Нейтрон	Nêutron
2 сарын 21	21 de fevereiro
2 сарын 22	22 de fevereiro
2 сарын 23	23 de fevereiro
2 сарын 24	24 de fevereiro
2 сарын 25	25 de fevereiro
2 сарын 26	26 de fevereiro
2 сарын 27	27 de fevereiro
2 сарын 28	28 de fevereiro
12 сарын 11	11 de dezembro
2 сарын 29	29 de fevereiro
12 сарын 12	12 de dezembro
12 сарын 13	13 de dezembro
12 сарын 14	14 de dezembro
12 сарын 15	15 de dezembro
3 сарын 2	2 de março
3 сарын 3	3 de março
3 сарын 5	5 de março
3 сарын 1	1 de março
3 сарын 7	7 de março
3 сарын 8	8 de março
3 сарын 4	4 de março
3 сарын 10	10 de março
3 сарын 11	11 de março
3 сарын 6	6 de março
3 сарын 13	13 de março
3 сарын 9	9 de março
3 сарын 12	12 de março
3 сарын 15	15 de março
3 сарын 14	14 de março
C++	C++
12 сарын 16	16 de dezembro
