阿非利加洲	África
尿素	Ureia
平假名	Hiragana
波斯文維基大典	Wikipédia em persa
質數	Número primo
五七二年	572
南北朝	Dinastias do Norte e do Sul
吾世	Minecraft
罷工	Greve
李舜臣汝諧	Yi Sun-sin
泰國地方	Subdivisões da Tailândia
中華人民共和國地方	Subdivisões da República Popular da China
日本都道府縣	Prefeituras do Japão
氧化物	Óxido
合數	Número composto
因數	Divisor
口琴	Harmónica (instrumento musical)
朝鮮灣	Golfo da Coreia
Template:Taxobox	Predefinição:Info/Taxonomia
繩文時代	Período Jomon
魔法少女小圓	Puella Magi Madoka Magica
平行	Retas paralelas
極品飛車	Need for Speed
海鳥	Ave oceânica
琉球語	Línguas ryukyuanas
閩語	Línguas min
莆仙語	Língua putian
江西省	Jiangxi
阿卜杜拉·本·阿卜杜勒-阿齊茲·沙特	Abdullah da Arábia Saudita
寧夏回族自治區	Ningxia
揚州市	Yangzhou
鎮江市	Zhenjiang
哈薩克文維基大典	Wikipédia em cazaque
嘉興市	Jiaxing
石家莊市	Shijiazhuang
亞當與夏娃	Adão e Eva
卡金納答	Kakinada
珠海	Zhuhai
韶關市	Shaoguan
東莞市	Dongguan
維吾爾文維基大典	Wikipédia em uigure
俄羅斯正教會	Igreja Ortodoxa Russa
鯢	Salamandra-gigante-da-china
空師	Força aérea
大名	Daimiô
色盲檢測圖	Teste de cores de Ishihara
威氏鷸	Gallinago delicata
哈布斯堡氏	Casa de Habsburgo
中央銀行	Banco central
福州市	Fucheu
南平市	Nanping
莆田市	Putian
三明市	Sanming
泉州市	Quanzhou
廈門市	Xiamen
漳州市	Zhangzhou
龍岩市	Longyan
西寧市	Xining
西遊記	Jornada ao Oeste
三國演義	Romance dos Três Reinos
福島縣	Fukushima
豬油	Banha
鞍山市	Anshan (China)
羅馬治世	Pax Romana
克羅內克	Leopold Kronecker
康托爾	Georg Cantor
戴德金	Richard Dedekind
寒武紀	Cambriano
十六元數	Sedeniões
神聖羅馬皇帝腓特烈一世	Frederico I da Germânia
前三八七年	387 a.C.
盲文	Braille
千葉縣	Chiba
賽珍珠	Pearl S. Buck
聯合國秘書長	Secretário-geral das Nações Unidas
龐加萊	Henri Poincaré
西北水道	Passagem do Noroeste
十進制	Sistema de numeração decimal
烯烴	Alceno
皇祚	Kimi ga Yo
氣壓	Pressão atmosférica
箸	Hashi
標點符號	Pontuação
英格蘭王表	Lista de monarcas da Inglaterra
片假名	Katakana
民之旨	Jana Gana Mana
臺北一零一	Taipei 101
化學式	Fórmula química
波斯	Pérsia
群 (代數)	Grupo (matemática)
天安門	Porta de Tiannamen
水星領航員	Aria (mangá)
三角函數	Função trigonométrica
六四事件	Protesto na Praça da Paz Celestial em 1989
趙紫陽	Zhao Ziyang
胡耀邦	Hu Yaobang
安樂死	Eutanásia
姓氏	Sobrenome
醛	Aldeído
規	Compasso (geometria)
物質之量	Quantidade de substância
平安北道	Pyongan Norte
咸鏡南道	Hamgyong Sul
島國	País insular
尺規作圖	Construções com régua e compasso
京都府	Quioto (província)
絕對值	Função modular
羅賓漢	Robin Hood
表數法	Sistema de numeração
大阪府	Osaka
瑪瑙	Ágata
愛媛縣	Ehime
圓錐曲線	Cónica
海平面	Nível médio do mar
玄武	Tartaruga Negra
羅馬皇帝表	Lista de imperadores romanos
矢量空間	Espaço vetorial
距	Distância
臺灣海峽	Estreito de Taiwan
山口縣	Yamaguchi
市盈率	Índice Preço/Lucro
神奈川縣	Kanagawa
中國地方	Região de Chugoku
長野縣	Nagano
殷商	Dinastia Shang
色諾芬	Xenofonte
兵庫縣	Hyōgo
廣州恆大淘寶蹴鞠會	Guangzhou Evergrande Football Club
關係 (數學)	Relação binária
等價	Relação de equivalência
主格	Caso nominativo
泰國灣	Golfo da Tailândia
螳螂	Louva-a-deus
維基大典:書海	Wikipédia:Fontes bibliográficas
征夷大將軍	Xogum
春節	Ano-novo chinês
切腹	Seppuku
色盲	Daltonismo
阿什莫爾島與卡捷島	Ilhas Ashmore e Cartier
農曆	Calendário chinês
可樂	Bebida de cola
高知縣	Kōchi
道德經	Tao Te Ching
萬有引力	Lei da gravitação universal
坐標幾何	Geometria analítica
芬瑟島	Ilha Fraser
蹴鞠	Cuju
與格	Caso dativo
摩爾質量	Massa molar
滿洲族	Manchu
義大利半島	Península Itálica
汽水	Refrigerante
天象館	Planetário
微積分	Cálculo
岳陽市	Yueyang
李斯	Lǐ Sī
碗	Tigela
全等	Congruência (geometria)
義勇軍進行曲	Marcha dos Voluntários
數理物理	Física matemática
紅花	Carthamus tinctorius
大正天皇	Imperador Taishō
毛納洛峰	Mauna Loa
富牌國際機場	Aeroporto Internacional de Phu Bai
修道院	Abadia
符節	Senha
環 (代數)	Anel (matemática)
環球小姐	Miss Universo
香川縣	Kagawa
曲線	Curva
平面幾何	Geometria euclidiana
葉問	Yip Man
基數	Número cardinal
二元運算	Operação binária
餘弦定理	Lei dos cossenos
新幹線	Shinkansen
雙曲線	Hipérbole
星際爭霸	StarCraft
反射	Reflexão (física)
形意拳	Hsing-i chuan
近視	Miopia
代數數	Número algébrico
夏后氏	Dinastia Xia
連續	Função contínua
教廷諸屬國	Estados Papais
濟南市	Jinan
十一月革命	Revolução Alemã de 1918-1919
中國抗日戰爭	Segunda Guerra Sino-Japonesa
青島市	Qingdao
PSP	PlayStation Portable
葛利斯五八一丙	Gliese 581 c
官能團	Funções orgânicas
世氣公會	Organização Meteorológica Mundial
見即所得	WYSIWYG
新西班牙代王領	Vice-Reino da Nova Espanha
織田信長	Oda Nobunaga
向日葵	Girassol
南昌市	Nanchang
玫瑰之名	O Nome da Rosa
幾何原本	Os Elementos
米高·哥連斯	Michael Collins
金本位	Padrão-ouro
直積	Produto cartesiano
艾狄胥	Paul Erdős
四元數	Quaterniões
長沙市	Changsha
有機化合物	Composto orgânico
明治天皇	Imperador Meiji
源實朝	Minamoto no Sanetomo
蜉蝣	Ephemeroptera
伊藤博文	Ito Hirobumi
絞刑	Forca
門:史	Portal:História
電極	Eletrodo
阿拉伯數字	Algarismos indo-arábicos
股骨	Fêmur
子集	Subconjunto
海東青	Falcão-gerifalte
日文維基大典	Wikipédia em japonês
繁體字	Chinês tradicional
甲午戰爭	Primeira Guerra Sino-Japonesa
克里希那穆提	Jiddu Krishnamurti
宦官	Eunuco
選擇公理	Axioma da escolha
行星環	Anel planetário
青藏高原	Planalto do Tibete
拓撲空間	Espaço topológico
古文書	Paleografia
數學符表	Tabela de símbolos matemáticos
錫克金廟	Harmandir Sahib
卡奔塔利亞灣	Golfo de Carpentária
度量空間	Espaço métrico
千分比	Por mil
交換群	Grupo abeliano
高雄市	Kaohsiung
華盛頓歐文	Washington Irving
易經	I Ching
弩	Besta (arma)
渤海	Mar de Bohai
甑帶瘡	Herpes-zóster
西楚霸王	Xiang Liang
戰艦	Couraçado
海倫公式	Teorema de Herão
昆明市	Kunming
天氣預報	Previsão do tempo
人蔘	Panax ginseng
回族	Hui (povo)
蘭州市	Lanzhou
期貨	Contrato de futuros
鰂	Choco
三國	Três Reinos
春秋時代	Período das Primaveras e Outonos
戰國	Período dos Reinos Combatentes
名偵探柯南	Detective Conan
區間	Intervalo (matemática)
清宣統帝	Imperador Pu Yi
併集	União (matemática)
簡化字	Chinês simplificado
合肥市	Hefei
交集	Interseção
常染色體	Autossomo
簡歷	Curriculum vitæ
蝴蝶效應	Efeito borboleta
豐臣秀吉	Toyotomi Hideyoshi
假名	Kana (escrita)
民律大全	Corpus Juris Civilis
白鱀豚	Lipotes vexillifer
弦	Corda (geometria)
平昌郡	Pyeongchang
泰國國際航空	Thai Airways International
北九州市	Kitakyushu
匈奴	Xiongnu
孟子	Mêncio
桂林市	Guilin
海口市	Haikou
無機化合物	Composto inorgânico
域 (代數)	Corpo (matemática)
海拔	Altitude
挪威廣播公司	NRK
道	Tao
世界語維基大典	Wikipédia em esperanto
刺身	Sashimi
中泰國	Região Central (Tailândia)
高錳酸鉀	Permanganato de potássio
鴉片戰爭	Primeira Guerra do Ópio
魔鬼之詩篇	The Satanic Verses
有序對	Par ordenado
金屬鍵	Ligação metálica
書面挪威語維基大典	Wikipédia em norueguês
序數	Número ordinal
南京大屠殺	Massacre de Nanquim
吳廷琰	Ngo Dinh Diem
複式記帳	Método das partidas dobradas
路易斯安那購地案	Compra da Luisiana
扇	Leque
平安時代	Período Heian
旦	Nascer do sol
韓信點兵	Teorema chinês do resto
梅涅勞斯定理	Teorema de Menelaus
無窮小	Infinitesimal
單鏡筒反光相機	Câmera reflex monobjetiva
張飛	Zhang Fei
張郃	Zhang He
張角	Zhang Jiao
張衡	Zhang Heng
張居正	Zhang Juzheng
憲法十七條	Constituição dos dezassete artigos
張遼	Zhang Liao
張三丰	Chang San Feng
趙 (釋義)	Zhao
趙	Zhao (Estado)
趙雲	Zhao Yun
鄭成功	Koxinga
鍾會	Zhong Hui
周泰	Zhou Tai
周瑜	Zhou Yu
帝顓頊	Zhuanxu
諸葛亮	Zhuge Liang
壯學	Zhuangologia
烏克蘭語維基大典	Wikipédia em ucraniano
阿拉伯文維基大典	Wikipédia em árabe
金孟加拉	Amar Shonar Bangla
希伯來文維基大典	Wikipédia em hebraico
洞里薩湖	Tonle Sap
賈姆謝德布爾	Jamshedpur
越南文維基大典	Wikipédia em vietnamita
負數	Número negativo
中醫	Medicina tradicional chinesa
高松市	Takamatsu
提格兰二世	Tigranes, o Grande
珠江	Rio das Pérolas
泰西格致史	História da ciência
五帝	Três Augustos e os Cinco Imperadores
瑪格麗特一世	Margarida I da Dinamarca
日本國會	Dieta do Japão
先哥倫布	Era pré-colombiana
英聯邦王國	Reinos da Comunidade de Nações
彼得一世島	Ilha de Pedro I
墓碑	Lápide
十二銅表法	Lei das Doze Tábuas
漢魏武王	Cao Cao
斬首	Decapitação
垂直	Perpendicularidade
無窮集合	Conjunto infinito
冪集	Conjunto de partes
魚鉤	Anzol
齊齊哈爾市	Qiqihar
椰蟹	Caranguejo-dos-coqueiros
俄文維基大典	Wikipédia em russo
平行公理	Postulado das paralelas
春武里府	Chon Buri (província)
西線無戰事	Im Westen nichts Neues
嘧啶	Pirimidina
泰王國歌	Phleng Chat
冬至	Solstício de inverno
中國中央電視臺	Televisão Central da China
圖蘭朵	Turandot
巴列維王朝	Dinastia Pahlavi
天皇	Imperador do Japão
熱帶雨林氣候	Clima equatorial
袁世凱	Yuan Shikai
北海市	Beihai
袋鼠島	Ilha Kangaroo
阮世祖	Gia Long
君士坦丁堡普世宗主教區	Patriarcado Ecumênico de Constantinopla
辛普生沙漠	Deserto de Simpson
雷曼兄弟公司	Lehman Brothers
娜塔莎·北鼎斐	Natasha Bedingfield
開集	Conjunto aberto
測地線	Geodésica
塞瓦定理	Teorema de Ceva
健陀羅	Gandara
愛爾蘭共和國總統	Presidente da Irlanda
內積空間	Produto interno
金奎植	Kim Kyu-sik
江戶	Edo
金九	Kim Gu
泰山	Monte Tai
九江市	Jiujiang
反氫	Anti-hidrogênio
占婆	Champa
倒數	Inverso multiplicativo
黃道兇賊	Assassino do Zodíaco
陰陽五行	Cinco elementos (filosofia chinesa)
盧溝橋事變	Incidente da Ponte Marco Polo
關羽	Guan Yu
龜	Testudinata
阮福晪	Bao Dai
空集	Conjunto vazio
祖沖之	Tsu Ch'ung Chih
羅馬 (釋義)	Roma (desambiguação)
連通	Conectividade (teoria dos grafos)
瀨戶內海	Mar Interior de Seto
自由民主黨	Partido Liberal Democrata (Japão)
環	Loop
利瑪竇	Matteo Ricci
原富	A Riqueza das Nações
技術分析	Análise técnica
哆啦A夢	Doraemon
宋卡府	Songkhla (província)
甲米府	Krabi (província)
拉廊府	Ranong (província)
伏羲	Fu Xi
法家	Legalismo (filosofia chinesa)
九龍	Kowloon
瑪麗·安·尼科爾斯	Mary Ann Nichols
素叻府	Surat Thani (província)
成本	Custo
桐艾府	Trat (província)
五代	Período das Cinco Dinastias e dos Dez Reinos
瑪麗·簡·凱利	Mary Jane Kelly
森理世	Riyo Mori
補集	Complementar
靖國神社	Santuário Yasukuni
博他侖府	Phatthalung (província)
鹽田	Salina
班武里府	Prachuap Khiri Khan (província)
洛坤府	Nakhon Si Thammarat (província)
春蓬府	Chumphon (província)
新北市	Nova Taipé
臺中市	Taichung
漢昭烈皇帝	Liu Bei
邁克學搖滾	Michael Learns to Rock
金門縣	Kinmen
基隆市	Keelung
從眾	Argumentum ad populum
牢不可破之聯盟	Hino nacional da União Soviética
相似	Semelhança
年號	Nome de era
語序	Ordem dos constituintes
摩托羅拉	Motorola
丁汝昌	Ding Ruchang
伊麗莎白·史泰德	Elizabeth Stride
安妮·查普曼	Annie Chapman
聖德太子	Shōtoku Taishi
沈括	Shen Kuo
貴金屬	Metal precioso
懿德天皇	Imperador Itoku
史記	Registros do Historiador
早稻田大學	Universidade de Waseda
孫吳	Wu Oriental
論語	Analectos de Confúcio
尚眞王	Shō Shin
平清盛	Taira no Kiyomori
創意公用授權條款	Licenças Creative Commons
澳洲聯邦銀行	Commonwealth Bank
拉臘·杜塔	Lara Dutta
小野田寬郎	Hiroo Onoda
清太宗	Huang-Taiji
漢高皇后	Lu Hou
推古天皇	Imperatriz Suiko
清德宗	Guangxu
鎖國	Isolacionismo
戈登	Charles George Gordon
清世祖	Shunzhi
清太祖	Nurhachi
進數	Número p-ádico
卡拉卡拉敕令	Édito de Caracala
明智光秀	Akechi Mitsuhide
綏靖天皇	Imperador Suizei
阮攸	Nguyễn Du
白居易	Bai Juyi
吳大帝	Sun Quan
魏世祖文皇帝	Cao Pi
神農	Shennong
小淵惠三	Keizō Obuchi
帝舜	Shun (imperador chinês)
安寧天皇	Imperador An'nei
發勃耳	Jean-Henri Casimir Fabre
張國榮	Leslie Cheung
蔣經國	Chiang Ching-kuo
王維	Wang Wei
後醍醐天皇	Go-Daigo
桓武天皇	Imperador Kammu
林彪	Lin Biao
清世宗	Yongzheng
呂布	Lü Bu
鴨脷洲	Ap Lei Chau
清穆宗	Tongzhi
韓愈	Han Yu
王安石	Wang Anshi
德川吉宗	Tokugawa Yoshimune
拓撲閉包	Fecho
閉集	Conjunto fechado
曹魏	Cao Wei
作格	Caso ergativo
尖竹汶府	Chanthaburi (província)
陳省身	Shiing-Shen Chern
第十五屆亞洲運動會	Jogos Asiáticos de 2006
覆蓋	Cobertura aberta
竭澤而漁	Sobrepesca
廢藩置縣	Abolição do sistema han
通格	Caso absolutivo
清仁宗	Jiaqing
正親町天皇	Imperador Ogimachi
董卓	Dong Zhuo
林語堂	Lin Yutang
孫臏	Sun Pin
杜牧	Du Mu
孫堅	Sun Jian
石田三成	Ishida Mitsunari
婆羅多舞	Bharatanatyam
朝鮮世祖	Sejo de Joseon
歐陽脩	Ouyang Xiu
清宣宗	Daoguang
岳飛	Yue Fei
清文宗	Xianfeng
北柳府	Chachoengsao (província)
羅勇府	Rayong (província)
袁紹	Yuan Shao
柳宗元	Liu Zongyuan
司馬懿	Sima Yi
福澤諭吉	Fukuzawa Yukichi
安慶市	Anqing
安祿山	An Lushan
呂不韋	Lü Buwei
陳獨秀	Chen Duxiu
蒂邁歐篇	Timeu (diálogo)
魏 (釋義)	Wei
藤原定家	Fujiwara no Teika
夏侯惇	Xiahou Dun
曹仁	Cao Ren
坂本龍馬	Sakamoto Ryoma
朝鮮太祖	Taejo de Joseon
陸遜	Lu Xun
夏侯淵	Xiahou Yuan
李鴻章	Li Hongzhang
魏延	Wei Yan
黃忠	Huang Zhong
顧愷之	Gu Kaizhi
康托爾悖論	Paradoxo de Cantor
中秋	Festival da Lua
李珥	Yi I
光中帝	Nguyen Hue
尹鑴	Yun Hyu
孫策	Sun Ce
沙繳府	Sa Kaeo (província)
緊集	Espaço compacto
依善	Região Nordeste (Tailândia)
龐統	Pang Tong
高順	Gao Shun
成都雙流國際機場	Aeroporto Internacional de Chengdu Shuangliu
發翔羽	Penas de voo
赤腹蠑螈	Cynops pyrrhogaster
南陽市	Nanyang
臺南	Tainan
秋葉原	Akihabara
徐光啟	Xu Guangqi
虹吸	Sifão
北條時宗	Hōjō Tokimune
藤原道長	Fujiwara no Michinaga
戚繼光	Qi Jiguang
托勒密定理	Teorema de Ptolomeu
丸龜市	Marugame
鄧麗君	Teresa Teng
北條政子	Hōjō Masako
明成皇后	Myeongseong da Coreia
殷墟	Yin Xu
詩經	Clássico da Poesia
秋瑾	Qiu Jin
自斷	Autotomia
戈公省	Koh Kong
效用	Utilidade (economia)
甘寧	Gan Ning
嵇康	Xi Kang
典韋	Dian Wei
龐德	Pang De
馬超	Ma Chao
太史慈	Taishi Ci
徐晃	Xu Huang
吳景帝	Jing de Wu
淩統	Ling Tong
漢後主	Liu Chan
山口二矢	Otoya Yamaguchi
興宣獻懿大院君	Heungseon Daewongun
吳末帝	Modi
吳會稽王亮	Feidi
呂蒙	Lü Meng
潘清簡	Phan Thanh Gian
噌汁	Sopa de missô
偏序	Conjunto parcialmente ordenado
康托爾定理	Teorema de Cantor
長島區	Ko Yao
新山一國際機場	Aeroporto Internacional Tan Son Nhat
朝鮮半島	Península da Coreia
電車	Trem unidade elétrico
和服	Quimono
遜尼派	Sunismo
白翎島	Baengnyeong
汝矣島純福音教會	Igreja do Evangelho Pleno
哥德巴赫猜想	Conjetura de Goldbach
朝鮮漢字	Hanja
李埈鎔	Yi Junyong
國會議員	Deputado
摩爾體積	Volume molar
傲遊瀏覽器	Maxthon
矢圖	Quiver
竹島 (鬱陵郡)	Jukdo
可居島	Gageodo
馬羅島	Marado
萌	Moe (gíria)
韓國放送公社	Korean Broadcasting System
涼宮春日系列	Suzumiya Haruhi no Yūutsu
莎阿南	Shah Alam
玉山	Yu Shan
大嶼山	Lantau
楚	Império Chu
梅爾維爾島	Ilha Melville (Austrália)
新	Dinastia Xin
北太平洋露脊鯨	Baleia-franca-do-pacífico
蒼龍	Dragão azul
中國禮儀之爭	Controvérsia dos ritos na China
鳳凰	Fenghuang
宋教仁	Song Jiaoren
吳清源	Go Seigen
真言宗	Shingon
初音未來	Hatsune Miku
餛飩	Wonton
星期四島	Ilha Thursday
滿寵	Man Chong
超濾法	Ultrafiltração
賈詡	Jia Xu
馬騰	Ma Teng
許褚	Xu Zhu
吉田松陰	Yoshida Shōin
嚴復	Yan Fu
帕覺柯	José Emilio Pacheco
泰文維基大典	Wikipédia em tailandês
猫眼林克	Link (The Legend of Zelda)
尼奧寵物	Neopets
包頭市	Baotou
大化革新	Reformas Taika
壬辰倭亂	Guerra Imjin
小行星三千	3000 Leonardo
軍曹	Sgt. Keron
出雲國	Província de Izumo
原口證	Akira Haraguchi
新界	Novos Territórios
武漢天河國際機場	Aeroporto Internacional de Wuhan Tianhe
午餐肉	Spam (alimento)
呂底亞	Lídia
自焚	Autoimolação
廬山	Monte Lu
老撾之歌	Pheng Xat Lao
夏禹	Yu o Grande
藤原氏	Clã Fujiwara
漢 (釋義)	Han
杭思朗	Armstrong
刀	Dao (sabre)
水龍頭	Torneira
子拓撲	Subespaço topológico
廣州地鐵	Metrô de Guangzhou
車裂	Desmembramento
泰國小姐	Miss Tailândia
性染色體	Cromossomo sexual
算術基本定理	Teorema fundamental da aritmética
存活期	Time to Live
稠密	Conjunto denso
崑曲	Ópera de Kunqu
流亡政府	Governo no exílio
古魯特島	Groote Eylandt
中文數字	Numeração chinesa
天主教輔仁大學	Universidade Católica Fu Jen
武器貿易條約	Tratado de Comércio de Armas Convencionais
龜船	Navios Tartaruga
永樂大典	Enciclopédia Yung-lo Ta-tien
諡	Nome póstumo
大東諸島	Ilhas Daitō
曹休	Cao Xiu
周文王	Conde Wen
劉基	Liu Ji
張勳	Zhang Xun (República da China)
杭州灣	Baía de Hangzhou
高雄捷運	Metrô de Kaohsiung
韓服	Hanbok
朝香鳩彥	Asaka Yasuhiko
劉伯承	Liu Bocheng
魏忠賢	Wei Zhongxian
段祺瑞	Duan Qirui
臺灣問題	Estatuto da República da China
黃興	Huang Xing
于謙	Yu Qian
裴秀	Pei Xiu
世界新七大奇蹟	Sete maravilhas do mundo moderno
鑒真	Jianzheng
臺北捷運	Metrô de Taipé
延邊州	Prefeitura Autônoma de Yanbian
桃園區	Taoyuan (cidade)
太陽餅	Torta do Sol
日本雅樂	Gagaku
墨家	Moísmo
帝嚳	Ku (imperador)
印地文維基大典	Wikipédia em hindi
琴	Guqin
範空間	Espaço normado
有界	Conjunto limitado
蘇我入鹿	Soga no Iruka
平知盛	Taira no Tomomori
倫敦東隅	East End (Londres)
申 (地支)	Macaco (zodíaco)
歐羅巴	Europa (desambiguação)
性	Natureza humana
八元數	Octoniões
春秋	Os Anais de Primavera e Outono
地級市	Prefeitura com nível de cidade
泰北	Região Norte (Tailândia)
迴文數	Capicua
水墨畫	Sumi-ê
威爾斯親王島	Ilha do Príncipe de Gales (Queensland)
銀魂	Gintama
沖繩縣	Okinawa
香港城市大學	Universidade da Cidade de Hong Kong
百度大典	Baidu Baike
基 (拓撲)	Base (topologia)
帝堯	Yao (imperador)
二虎歌	Frère Jacques
南越	Nanyue
超複數	Número hipercomplexo
奧海鎮	Ojai (Califórnia)
天下通言	Língua auxiliar
博者之謬	Falácia do apostador
古雅典	Atenas Antiga
藤原清河	Fujiwara no Kiyokawa
閩東語維基大典	Wikipédia em min oriental
漢傳佛教	Budismo na China
渭水	Rio Wei
阿巴諾湖	Lago Albano
康熙字典	Dicionário de Kangxi
證明論	Teoria da prova
石	Koku
坂出市	Sakaide
族 (數學)	Família indexada
李賀	Li He
仡佬族	Gelao (etnia)
中華民國元首	Lista de presidentes da República da China
整除	Critérios de divisibilidade
光圈	Abertura (óptica)
禮記	Clássico dos Ritos
內點	Interior
州際三十五號公路大橋	Ponte I-35W do rio Mississippi
萬葉假名	Man'yōgana
會計等式	Equação contábil básica
姣童	Bishōnen
元朗區	Yuen Long (distrito)
錦衣親軍都指揮使司	Jinyi Wei
北魏	Dinastia Wei do Norte
尚書	Shujing
雲隙光	Raios crepusculares
康威數	Número surreal
常用漢字	Jōyō kanji
天命	Mandato do céu
周界	Fronteira (matemática)
漢水	Rio Han (afluente do rio Yangtzé)
窮奇	Kamaitachi
太甲	Tai Jia
陸奧國	Província de Mutsu
東方計劃	Touhou Project
分液漏斗	Funil separador
魏	Wei (Estado)
吳	Wu (estado)
藁人之謬	Falácia do espantalho
地球之年歲	Idade da Terra
弗林德斯島 (塔斯曼尼亞)	Ilha Flinders
坂上田村麻呂	Sakanoue no Tamuramaro
孫叔敖	Sunshu Ao
景教	Igreja do Oriente
兼六園	Kenroku-en
代數 (代數)	Álgebra sobre um corpo
羅勇市	Rayong
儋州市	Danzhou
江陰市	Jiangyin
馬達納帕利	Madanapalle
大都	Khanbaliq
倉頡	Cangjie
凌遲	Morte por mil cortes
美洲殖民	Período colonial dos Estados Unidos
日本新字體	Shinjitai
朱鳥	Pássaro Vermelho
元維基	Wikimedia Meta-Wiki
去衣馳騁	Streaking
燭線	Candlestick
後漢	Dinastia Han Posterior (cinco dinastias)
泰南	Região Sul (Tailândia)
閣帕岸島	Ko Pha Ngan
積拓撲	Topologia produto
縣級市	Cidade administrativa
夢蓮湖	Lago Moraine
祁連山	Montanhas Qilian
西班牙小姐	Miss Espanha
中國共產黨中央政治局	Politburo do Partido Comunista da China
吳語維基大典	Wikipédia em chinês wu
三垣二十八宿	Três Caixas
尚灝王	Sho Ko
亞米利加蝲蛄	Procambarus clarkii
源義仲	Minamoto no Yoshinaka
少皞	Shaohao
訓讀	Kun'yomi
子思	Zisi
日本舊字體	Kyujitai
人民公社	Comuna popular (China)
伊多文維基大典	Wikipédia em ido
麻貴	Ma Gui
中國茉莉花革命	Protestos na China em 2011
粵文維基大典	Wikipédia em cantonês
蘇我馬子	Soga no Umako
小篆	Xiaozhuan
後周恭帝	Kung-ti
朱然	Zhu Ran
關門大橋	Ponte Kanmon
五畿七道	Gokishichidō
六朝	Seis Dinastias
維基大典:大使館	Wikipédia:Embaixada
太鼓達人	Taiko no Tatsujin
平將門	Taira no Masakado
曾子	Zengzi
分數	Número racional
曾鞏	Zeng Gong
有司足下之函	Dear Boss (carta)
蘇我蝦夷	Soga no Emishi
PSYCHO-PASS	Psycho-Pass
泰國日報	Thai Rath
恆山	Monte Heng (Shanxi)
洞爺湖	Lago Tōya
古丁尼柏國家公園	Parque Nacional Quttinirpaaq
漢服	Hanfu
乾燥氣候	Clima árido
富勞里友半島	Península de Fleurieu
內閣情報調查室	Naicho
尚泰王	Sho Tai
後樂園	Kōraku-en
文言維基大典	Wikipédia em chinês clássico
動物莊園	Animal Farm
藤原忠平	Fujiwara no Tadahira
Category:德國史	Categoria:Alemanha
Category:俄羅斯聯邦書	Categoria:Rússia
Category:大韓民國書	Categoria:Coreia do Sul
Category:羅馬帝國書	Categoria:Império Romano
Category:鳥	Categoria:Aves
Category:植物	Categoria:Plantas
Category:物理	Categoria:Física
Category:自然科學	Categoria:Ciências naturais
Category:化學	Categoria:Química
Category:史部	Categoria:História
Category:群	Categoria:Sociedade
Category:宗教	Categoria:Religião
Category:運動	Categoria:Desportos
Category:經部	Categoria:Ciência
Category:聯合國	Categoria:Nações Unidas
Category:地球	Categoria:Terra
玉龍雪山	Shanzidou
盈不足術	Método da posição falsa
道路連通	Conexidade
摩靈頓島	Ilha Mornington
精	Jing
桂宮宜仁親王	Príncipe Katsura
古羅馬	Roma Antiga
物部氏	Clã Mononobe
克拉拉·奧斯瓦爾德	Clara Oswald
古今圖書集成	Gujin Tushu Jicheng
聖火降魔錄	Fire Emblem
局部	Localmente (matemática)
不寐	Insônia
生肖	Horóscopo chinês
Category:釋義	Categoria:Desambiguação
Category:哲學	Categoria:Filosofia
Category:心理	Categoria:Psicologia
Category:佛教	Categoria:Budismo
Category:基督教	Categoria:Cristianismo
Category:回教	Categoria:Islamismo
Category:猶太教	Categoria:Judaísmo
洋油貓弔詭	Paradoxo do gato e pão com manteiga
嘉當矩陣	Matriz de Cartan
華東師範大學	East China Normal University
汝有二牯	Você tem duas vacas
藏文維基大典	Wikipédia em tibetano
吳 (釋義)	Wu
小豆島	Shōdoshima
陸機	Lu Ji
阿拉伯文維基大典(埃及地區)	Wikipédia em árabe egípcio
物部守屋	Mononobe no Moriya
兒島明子	Akiko Kojima
鄰域	Vizinhança (matemática)
羅馬共和官制	Constituição da República Romana
梵文維基大典	Wikipédia em sânscrito
華夏	Huaxia
陸秀夫	Lu Xiufu
Category:殘章	Categoria:!Esboços
Category:維基分類	Categoria:!Categorização da Wikipedia
Category:維基事	Categoria:!Administração da Wikipédia
Category:行星	Categoria:Planetas
Category:地質	Categoria:Geologia
每日新聞 (泰國)	Daily News (Tailândia)
明治	Era Meiji
維基大典:陳年今誌	Wikipédia:Efemérides
正數	Número positivo
Help:凡例	Ajuda:Tutorial/Edição
Template:太陽系	Predefinição:Sistema Solar
霍英東	Henry Fok
閩南語維基大典	Wikipédia em min nan
門:子	Portal:Filosofia
壯語維基大典	Wikipédia em zhuang
各地治世一覽	Lista de períodos de paz regional
國際語維基大典	Wikipédia em interlíngua
門:集	Portal:Arte
Category:小行星帶天體	Categoria:Asteroides da cintura principal
Category:美國列傳	Categoria:Estado-unidenses
Template:Tl	Predefinição:Ligação para predefinição
Template:Userbox	Predefinição:Userbox
Category:網頁瀏覽器	Categoria:Navegadores web
Template:世事	Predefinição:Eventos atuais
Category:律法	Categoria:Direito
Category:計學	Categoria:Economia
維基大典:有秩選舉	Wikipédia:Pedidos de administração
Category:醫學	Categoria:Medicina
Category:政治	Categoria:Política
Category:教育	Categoria:Educação
Category:藝術	Categoria:Arte
會計	Contabilidade
密思兒	Egito
國務院總理	Primeiro-ministro da República Popular da China
Category:統計	Categoria:Estatística
Template:Bot	Predefinição:Robô
加拿大	Canadá
Category:卓著	Categoria:!Artigos destacados
維	Dimensão (matemática)
