अफ्रीका	África
मेष राशि	Áries
मुक्केबाजी	Boxe
डोगरी	Língua dogri
मलाला युसफजई	Malala Yousafzai
संवैधानिक अदालत	Tribunal constitucional
जेब्रा	Zebra
मस्जिद	Mesquita
एकन	Akon
जोङ्खा भाषा	Língua butanesa
ड्रेक (गायक)	Drake (artista)
भोजपुरी भाषा	Língua bhojpuri
मुगल साम्राज्य	Império Mogol
जलंधर	Jalandar
हुबली	Hubli
सेतो गिद्ध	Abutre-do-egito
संग्रहालय	Museu
पाण्डा	Ailuropoda melanoleuca
केशा (गायिका)	Kesha
कन्नड भाषा	Língua canaresa
चट्याङ्	Raio (meteorologia)
बर्टेण्ड रसेल	Bertrand Russell
अरब क्रान्ति	Primavera Árabe
हात	Mão
डु फु	Du Fu
एडमण्ड हिलारी	Edmund Hillary
नेपाली भाषा	Língua nepali
जनसंख्या	População
थियोडोर रूजवेल्ट	Theodore Roosevelt
मणिपुरी भाषा	Língua manipuri
उलरू	Uluru
कागते घाँस	Capim-limão
चेकोस्लोभाकिया	Checoslováquia
नेपाल भाषा	Língua neuari
अभिनेता	Ator
हलिउड	Hollywood
काजु	Cajueiro
अक्षांश	Latitude
जस्टिन बीबर	Justin Bieber
चरेस	Bronze
होस्नी मुबारक	Hosni Mubarak
नौनी	Manteiga
जिउस	Zeus
नायगरा फल्स	Cataratas do Niágara
सांकेतिक भाषा	Língua de sinais
तिब्बती भाषा	Língua tibetana
अलेक्ज्याण्डर ग्राहम बेल	Alexander Graham Bell
ज्योतिष	Astrologia
ट्याज्मानिया	Tasmânia
राजहंस	Cisne
विटनी हृयूस्टन	Whitney Houston
साबुन	Sabonete
बेनजिर भुट्टो	Benazir Bhutto
सकिरा	Shakira
अक्सफोर्ड विश्वविद्यालय	Universidade de Oxford
सडक	Estrada
गेनिथ पाल्ट्रो	Gwyneth Paltrow
सघन चक्र	Compact Disc
हिरोहितो	Hirohito
हेलिकोप्टर	Helicóptero
अल कायदा	Al-Qaeda
मोटरसाइकल	Motocicleta
औंला (हात)	Dedo
जे.के. रोलिङ	J. K. Rowling
गुलाफ	Rosa
कम्पास	Bússola
फ्रेडरिक एंगेल्स	Friedrich Engels
नयाँ वर्ष	Ano-Novo
क्याथरिन बिगलो	Kathryn Bigelow
एलिजाबेथ टेलर	Elizabeth Taylor
मेवा	Mamão
ब्रिसबेन	Brisbane
भिटामिन	Vitamina
बन्दागोभी	Repolho
अमेरिकाका राष्ट्रपतिह‍रूको सूची	Lista de presidentes dos Estados Unidos
वेबसाईट	Site
दर्पण	Espelho
व्युत्पत्तिशास्त्र	Etimologia
ई.पू. ४४	44 a.C.
तत्त्वज्ञान	Metafísica
ब्राड पिट	Brad Pitt
टिटीकाका ताल	Lago Titicaca
कोलम्बो	Colombo
एटी एन्ड टी	AT&T
एलिना प्लुगारु	Alina Plugaru
मदिना	Medina
एलिसिया रोडेस	Alicia Rhodes
एन्जेलिना भ्यालेन्टाइन	Angelina Valentine
ई.पू. २४२	242 a.C.
ई.पू. २४८	248 a.C.
ई.पू. २५८	258 a.C.
ई.पू. २५७	257 a.C.
ई.पू. २५३	253 a.C.
ह्वाइट हाउस	Casa Branca
ई.पू. २४६	246 a.C.
ई.पू. २४५	245 a.C.
ई.पू. २४९	249 a.C.
ई.पू. २५२	252 a.C.
ई.पू. २४०	240 a.C.
ई.पू. २५४	254 a.C.
ई.पू. २५६	256 a.C.
यूरोपीय फुटबल संघहरुको संघ	União das Federações Europeias de Futebol
ई.पू. २५१	251 a.C.
ई.पू. २५०	250 a.C.
ई.पू. २४४	244 a.C.
ई.पू. २४३	243 a.C.
ई.पू. २५५	255 a.C.
शान्तिमा नोबेल पुरस्कार	Nobel da Paz
हिमनदी	Geleira
एभी स्कट	Avy Scott
एमी स्वीट	Aimee Sweet
एन्नेट्टे स्क्वार्ज	Annette Schwarz
एभा डिभाइन	Ava Devine
एलेक्ट्रा ब्लु	Alektra Blue
निबन्ध	Ensaio
ई.पू. २४७	247 a.C.
क्याम्ब्रिज विश्वविद्यालय	Universidade de Cambridge
खोकी	Tosse
ई.पू. २५९	259 a.C.
बप्तिस्मा	Batismo
डुङ्गा	Barco
इपिल	Leucena
कंगो	Congo
एश्लिन ब्रुक	Ashlynn Brooke
एलेक्सिस टेक्सास	Alexis Texas
एलेट्टा ओसन	Aletta Ocean
सौन्दर्यशास्त्र	Estética
एरिया जिओभानी	Aria Giovanni
कोकोस टापु	Ilhas Cocos (Keeling)
पिस्ता	Pistache
क्विन्सल्याण्ड	Queensland
मैथिली भाषा	Língua maithili
हसना फूल	Jasmim-da-noite
ध्वाँसे चितुवा	Neofelis nebulosa
मिजो भाषा	Língua mizo
बेयोन्से नोल्स	Beyoncé Knowles
ब्राम स्टोकर	Bram Stoker
लोककथा	Folclore
मार्क जुकरबर्ग	Mark Zuckerberg
मलयालम	Língua malaiala
एन्नी क्रुज	Annie Cruz
जीवनी	Biografia
रेसम मार्ग	Rota da Seda
इग्वासु झरना	Cataratas do Iguaçu
सपना	Sonho
मुसा	Rattus
राजनीति विज्ञान	Ciência política
देशान्तर	Longitude
द लायन किंग	O Rei Leão
सहश्राब्दि	Milênio
फ्रान्सिस ड्रेक	Francis Drake
रासायनिक प्रतिक्रिया	Reação química
चुल्हो	Forno
वेश्यावृत्ति	Prostituição
भिक्टोरिया (अस्ट्रेलिया)	Vitória (Austrália)
पाली भाषा	Língua páli
आङ सान सुकी	Aung San Suu Kyi
चतुर्भुज	Quadrilátero
रिहाना	Rihanna
मातृभाषा	Língua materna
पर्वतारोही	Alpinismo
ओजोन	Ozônio
उखु	Cana-de-açúcar
कुष्ठरोग	Lepra
शिकार	Caça
ज्याकी च्यान	Jackie Chan
फिल्मफेयर पुरस्कार	Filmfare Awards
बिष्णुप्रिया मणिपुरी	Bishnupriya Manipuri
होजे सारामागो	José Saramago
अलेक्जेन्डर फ्लेमिङ	Alexander Fleming
टम क्रूज	Tom Cruise
बाल दिवस	Dia Mundial da Criança
जैतुन	Oliveira
याहू	Yahoo!
फ्लोरेन्स नाइटिङ्गेल	Florence Nightingale
जोनी डेप	Johnny Depp
रोबर्ट कोच	Robert Koch
गिजाको विशाल पिरामिड	Pirâmide de Quéops
सिन्ध	Sind
व्यास(ज्यामिती)	Diâmetro
शिक्षक	Professor
भानुभक्तीय रामायण	Ramáiana
इन्टरनेट चलचित्र डेटाबेस	Internet Movie Database
एपोलो	Apolo
दलाइ लामा	Dalai Lama
क्लाउस एब्नर	Klaus Ebner
बदाम	Amendoim
फ्रान्सिस बेकन	Francis Bacon
घुँडा	Joelho
खुर्पानी	Damasqueiro
संयुक्त राष्ट्र सुरक्षा परिषद	Conselho de Segurança das Nações Unidas
कुहिरो	Nevoeiro
महाकाव्य	Poesia épica
चश्मा	Óculos
बहुभुज	Polígono
प्रणय दिवस	Dia dos Namorados
असिना	Granizo
मिला कुनिज	Mila Kunis
ई.पू. ४३	43 a.C.
अपरेसन डेजर्ट शिल्ड	Guerra do Golfo
बजार	Mercado
पल गोगे	Paul Gauguin
हाइकु	Haiku
क्रोमोसोम	Cromossomo
साहित्यमा नोबेल पुरस्कार	Nobel de Literatura
हुलाक टिकट	Selo postal
सखरखण्ड	Batata-doce
ग्रेगर जोन मेन्डल	Gregor Mendel
अकिहितो	Akihito
रङ्गुन	Rangum
ई.पू. ६३	63 a.C.
भौतिक शास्त्रमा नोबेल पुरस्कार	Nobel de Física
लियोनार्दो डि र्कापियो	Leonardo DiCaprio
ई.पू. ३१	31 a.C.
अटिज्म	Autismo
देवनागरी लिपि	Devanágari
खरबुजा	Melancia
बाबरी	Manjericão-de-folha-larga
रोमन संख्या	Numeração romana
ज्वरो	Febre
ई.पू. ४	4 a.C.
अन्तर्राष्ट्रिय महिला दिवस	Dia Internacional da Mulher
भोरालबर्ग	Vorarlberg
मानव विकास सूचकांक	Índice de Desenvolvimento Humano
पिसाको लेनिङ टावर	Torre de Pisa
ई.पू. १००	100 a.C.
खुल्ला श्रोत	Código aberto
ई.पू. ८	8 a.C.
रेबिज	Raiva (doença)
भोटे कुकुर	Mastim tibetano
बन्चरो	Machado
रोनाल्डिन्हो	Ronaldinho Gaúcho
ट्रयाक्टर	Trator
ब्लुटूथ	Bluetooth
औजार	Ferramenta
चाप	Pressão
माइकल फ्लेप्स	Michael Phelps
रेनडियर	Rena
अर्थविज्ञान	Semântica
स्टोनहेज	Stonehenge
ई.पू. १४	14 a.C.
ई.पू. २७	27 a.C.
गाजा पट्टी	Faixa de Gaza
ई.पू. १९	19 a.C.
बजारशास्त्र	Marketing
उपत्यका	Vale
ई.पू. ३	3 a.C.
राष्ट्रिय जनगणना	Censo demográfico
स्टीफन किङ	Stephen King
रेडियो स्टुडियो ५४ नेटवर्क	Rádio Studio 54 Network
प्यान्ट	Calça
दशक	Década
मधेशी बदाम	Amendoeira
वेद	Vedas
ई.पू. ५८	58 a.C.
ई.पू. ५२	52 a.C.
पेयपदार्थ	Bebida
कम्प्युटर प्रोग्राम	Programa de computador
ई.पू. ६	6 a.C.
ई.पू. ३४	34 a.C.
ई.पू. ५९	59 a.C.
ई.पू. ५७	57 a.C.
अक्टोपस	Polvo
अम्ल वर्षा	Chuva ácida
निर्वाचन	Eleição
केन्द्रक	Núcleo celular
अधिवक्ता	Advogado
कारागार	Prisão
ई.पू. ५	5 a.C.
ई.पू. २३	23 a.C.
परवेज मुशर्रफ	Pervez Musharraf
राशि-चक्र	Zodíaco
जीवावशेष	Fóssil
माइस्पेस	Myspace
जेनिफर लोपेज	Jennifer Lopez
डिलमा रौसेफ	Dilma Rousseff
ई.पू. ६५	65 a.C.
सान्ड्रा बुलक	Sandra Bullock
गँगटो	Caranguejo
शल्यक्रिया	Cirurgia
ई.पू. २९	29 a.C.
ई.पू. ५३	53 a.C.
ई.पू. ९०	90 a.C.
पखाला	Diarreia
अण्डमान र निकोबार द्वीप समूह	Andamão e Nicobar
ई.पू. ७	7 a.C.
ई.पू. ९	9 a.C.
ई.पू. ३२	32 a.C.
ई.पू. ९१	91 a.C.
ईटानगर	Itanagar
ई.पू. ८४	84 a.C.
ई.पू. ४८	48 a.C.
ई.पू. २६	26 a.C.
ई.पू. ७०	70 a.C.
ई.पू. ५५	55 a.C.
ई.पू. ११	11 a.C.
जेजु प्रान्त	Jeju
डेमी लोभाटो	Demi Lovato
सुवर्ण महाचील	Águia-real
सिक्का	Moeda (peça)
दक्षिणी गोलार्ध	Hemisfério sul
ई.पू. ६९	69 a.C.
ई.पू. १६	16 a.C.
ई.पू. ३५	35 a.C.
ई.पू. १३	13 a.C.
ओपेरा ब्राउजर	Opera
परिवेग	Momento linear
जोन डाल्टन	John Dalton
रकेट	Foguete espacial
ई.पू. १७	17 a.C.
ई.पू. ६७	67 a.C.
ई.पू. ८८	88 a.C.
ई.पू. ९६	96 a.C.
ई.पू. ५४	54 a.C.
ई.पू. ८७	87 a.C.
शङ्खेत्रो	Toranja
ई.पू. २४	24 a.C.
ई.पू. ७७	77 a.C.
हर्सा	Hemorroida
अदालत	Tribunal
विलियम ब्लेक	William Blake
ई.पू. ६०	60 a.C.
ई.पू. ५६	56 a.C.
ई.पू. ९८	98 a.C.
ई.पू. ५१	51 a.C.
रोडेसको कोलोसस	Colosso de Rodes
हरितगृह प्रभाव	Efeito estufa
जुलिया गिलार्ड	Julia Gillard
ह्याम्लेट	Hamlet
छारे रोग	Epilepsia
छाता	Guarda-chuva
धनियाँ	Coentro
हाइफा	Haifa
ई.पू. ८१	81 a.C.
ई.पू. ६२	62 a.C.
ई.पू. ९५	95 a.C.
ई.पू. ७१	71 a.C.
ई.पू. ९७	97 a.C.
भारतको झण्डा	Bandeira da Índia
गिनिज बुक अफ वर्ल्ड रेकर्डस	Guinness World Records
परिकल्पना	Hipótese
ई.पू. ८६	86 a.C.
ई.पू. ८०	80 a.C.
ई.पू. ७४	74 a.C.
ई.पू. ६४	64 a.C.
ई.पू. ९९	99 a.C.
ई.पू. ७६	76 a.C.
ई.पू. ७९	79 a.C.
ई.पू. ६१	61 a.C.
मनमोहन सिंह	Manmohan Singh
रोजा पार्क्स	Rosa Parks
बेबीलोनको झुलन बगैंचा	Jardins Suspensos da Babilónia
ई.पू. ५०	50 a.C.
हाब्रे	Panda-vermelho
अन्तर्राष्ट्रिय परमाणु ऊर्जा अभिकरण	Agência Internacional de Energia Atómica
कालो मृत्यु	Peste negra
आग्नेय चट्टान	Rocha ígnea
हुँडार	Hiena
ई.पू. ३९९	399 a.C.
हुयान साङ	Xuanzang
गोबी मरुभूमि	Deserto de Gobi
नागरिकता	Cidadania
पुट्ठा	Nádegas
ओच्छ्यान	Cama
बकिंघम प्यालेस	Palácio de Buckingham
ई.पू. ८२	82 a.C.
निलो व्हेल	Baleia-azul
ई.पू. १४९	149 a.C.
ई.पू. १०१	101 a.C.
हँसिया	Foice
अनुसन्धान	Pesquisa
राइबोसोम	Ribossoma
सुली प्रुधोमे	Sully Prudhomme
स्पेन राष्ट्रिय फुटबल टिम	Seleção Espanhola de Futebol
बुट्यान	Arbusto
मलेवा	Columba livia
राजमा	Feijão
ई.पू. ८३	83 a.C.
ई.पू. ९२	92 a.C.
ई.पू. ९३	93 a.C.
ई.पू. ९४	94 a.C.
ई.पू. ७८	78 a.C.
नीहारिका	Nebulosa
अङ्ग्रेज	Ingleses
ई.पू. ६६	66 a.C.
ई.पू. ८५	85 a.C.
ई.पू. ८९	89 a.C.
ई.पू. ७२	72 a.C.
ई.पू. ७३	73 a.C.
ई.पू. ६८	68 a.C.
ई.पू. ७५	75 a.C.
क्याटी पेरी	Katy Perry
खरानी (रङ्ग)	Cinza
सिन्धु घाटी सभ्यता	Civilização do Vale do Indo
बेसार	Açafrão-da-terra
कुहिना	Cotovelo
वन बिरालो	Gato-da-selva
चरी बाघ	Gato-leopardo
भैँसी	Búfalo-asiático
फर्नान्डो टोरेस	Fernando Torres
अड्रे हेपबर्न	Audrey Hepburn
बहालवाला	Incumbente
डिप्रेसन	Depressão nervosa
चङ्गा	Pipa (brinquedo)
निकोलस केज	Nicolas Cage
सवारी साधन	Veículo
कृष्ण	Krishna
ई.पू. २०१	201 a.C.
ई.पू. २०२	202 a.C.
उत्परिवर्तन	Mutação
आगरा	Agra (Índia)
मनसून	Monção
ई.पू. १४६	146 a.C.
जुका	Sanguessuga
आर्टेमिसको मन्दिर	Templo de Ártemis
ई.पू. ३५६	356 a.C.
विद्युतीय अभियान्त्रिकी (इन्जिनियरिङ)	Engenharia elétrica
डेमी मुर	Demi Moore
अनिकाल	Seca
मरिच	Pimenta-preta
मूलभूत कण	Partícula elementar
केभिन रुड	Kevin Rudd
भान्सा	Cozinha
गोही	Crocodilo
ई.पू. ११०	110 a.C.
द्वीलैङ्गिकता	Bissexualidade
ई.पू. १०६	106 a.C.
ई.पू. ४८०	480 a.C.
एलेक्जेन्ड्रियाको प्रकाशघर	Farol de Alexandria
ई.पू. ३३१	331 a.C.
टाइम (पत्रिका)	Time (revista)
ई.पू. २००	200 a.C.
जर्मनी राष्ट्रिय फुटबल टिम	Seleção Alemã de Futebol
काग	Corvo
पहान बिरालो	Lince-euroasiático
रोबर्ट बोइल	Robert Boyle
ई.पू. ३२२	322 a.C.
ई.पू. ३३६	336 a.C.
जस्टिन टिम्बरलेक	Justin Timberlake
चण्डीगढ	Chandigarh
पोथी	Fêmea
पाखुरा	Braço
अंकोरवाट	Angkor Wat
प्राकृतिक चयन	Seleção natural
पधेँरो	Poço (água)
सुप	Funcho
के२ हिमाल	K2
सापेक्षता सिद्धान्त	Teoria da relatividade
जंगली बिरालो	Gato-bravo
मम्मी	Múmia
कोलेस्टेरोल	Colesterol
मोजा	Meia
थोमस मुलर	Thomas Müller
फिलिप लाम	Philipp Lahm
बरमुडा त्रिभुज	Triângulo das Bermudas
आन्ड्रेस इनिएस्टा	Andrés Iniesta
आँखीभुईं	Sobrancelha
टर्की (चरा)	Peru (ave)
नाइटो	Umbigo
राहदानी	Passaporte
आर्जेन रोबेन	Arjen Robben
मुहम्मद युनूस	Muhammad Yunus
ई.पू. ३८४	384 a.C.
ई.पू. २६४	264 a.C.
ई.पू. १८५	185 a.C.
जेस्सिका अल्बा	Jessica Alba
ई.पू. १६९	169 a.C.
ई.पू. ११९	119 a.C.
ई.पू. १९५	195 a.C.
ई.पू. ११५	115 a.C.
ई.पू. १२०	120 a.C.
भाले	Macho
ई.पू. १५६	156 a.C.
ई.पू. १२९	129 a.C.
ब्राम्टन	Brampton
ई.पू. १०४	104 a.C.
चन्द्रग्रहण	Eclipse lunar
ई.पू. १३९	139 a.C.
ई.पू. १२२	122 a.C.
ई.पू. २०६	206 a.C.
ई.पू. ३२३	323 a.C.
सलमान रुशदी	Salman Rushdie
ई.पू. २०३	203 a.C.
मेट्रिक्स	Matriz (matemática)
ई.पू. १०२	102 a.C.
भ्यालेन्तिना तेरेस्कोभा	Valentina Tereshkova
क्यामरुन डियाज	Cameron Diaz
ताप	Calor
ई.पू. १५९	159 a.C.
ई.पू. १४१	141 a.C.
मन्दिर	Templo
ई.पू. १८३	183 a.C.
टाइटानिक (१९९७ चलचित्र)	Titanic (1997)
रसायन शास्त्रमा नोबेल पुरस्कार	Nobel de Química
उपवास	Jejum
ई.पू. २४१	241 a.C.
ई.पू. २०९	209 a.C.
द स्टार–स्प्याङ्गल्ड ब्यानर	The Star-Spangled Banner
ई.पू. २१०	210 a.C.
ई.पू. १०३	103 a.C.
ई.पू. १४५	145 a.C.
ई.पू. ३४७	347 a.C.
ई.पू. १४२	142 a.C.
किम्बु	Morus
ई.पू. १०९	109 a.C.
ई.पू. २१५	215 a.C.
ई.पू. १४८	148 a.C.
लिन्ड्से लोहन	Lindsay Lohan
विन्दु	Ponto (matemática)
ई.पू. १२१	121 a.C.
ई.पू. १८९	189 a.C.
ई.पू. १७९	179 a.C.
ई.पू. १८६	186 a.C.
यमराज	Yama
ई.पू. १९०	190 a.C.
ई.पू. १५२	152 a.C.
ई.पू. १६८	168 a.C.
सिड्नी ओपेरा हाउस	Ópera de Sydney
कोल्डप्ले	Coldplay
ज्याक एफ्रन	Zac Efron
ई.पू. ३३३	333 a.C.
ई.पू. २३५	235 a.C.
हरात	Herat
द डोर्स	The Doors
ह्यालिकार्नाससको मौसोलियम	Mausoléu de Halicarnasso
ई.पू. २२२	222 a.C.
ई.पू. २३६	236 a.C.
ई.पू. २३७	237 a.C.
ब्रह्मपुत्र नदी	Rio Bramaputra
ई.पू. २३८	238 a.C.
ई.पू. २३९	239 a.C.
ई.पू. २३३	233 a.C.
ई.पू. २३१	231 a.C.
ई.पू. १७७	177 a.C.
ई.पू. २२९	229 a.C.
ई.पू. १७१	171 a.C.
ई.पू. २२५	225 a.C.
ई.पू. १३३	133 a.C.
ई.पू. २२६	226 a.C.
ई.पू. १३७	137 a.C.
ई.पू. २२३	223 a.C.
ई.पू. १८४	184 a.C.
ई.पू. १४४	144 a.C.
ई.पू. १४७	147 a.C.
भूत	Fantasma
ई.पू. २३२	232 a.C.
कन्दाहार	Candaar
ई.पू. १५१	151 a.C.
ई.पू. ११२	112 a.C.
रूख कटहर	Artocarpus heterophyllus
ई.पू. ३५०	350 a.C.
ओखल र मुसल	Almofariz
सत्येन्द्र नाथ बोस	Satyendra Nath Bose
दाइजो	Dote
ई.पू. १९७	197 a.C.
ई.पू. २०७	207 a.C.
ई.पू. १०५	105 a.C.
ई.पू. १८८	188 a.C.
ई.पू. १८०	180 a.C.
ई.पू. १३१	131 a.C.
ई.पू. १९१	191 a.C.
दादरा र नगर हवेली	Dadrá e Nagar-Aveli
ई.पू. २७५	275 a.C.
ई.पू. २१२	212 a.C.
राष्ट्रिय निकुञ्ज	Parque nacional
ई.पू. १९९	199 a.C.
ओलम्पियाको जिउजको मूर्ति	Estátua de Zeus em Olímpia
ई.पू. १९६	196 a.C.
ई.पू. १८७	187 a.C.
ई.पू. १९८	198 a.C.
ई.पू. १९२	192 a.C.
ई.पू. १९३	193 a.C.
टाइनी टेम्पा	Tinie Tempah
ई.पू. १९४	194 a.C.
ई.पू. २०५	205 a.C.
टाइपराइटर	Máquina de escrever
ई.पू. १५५	155 a.C.
ई.पू. १७६	176 a.C.
ई.पू. १८१	181 a.C.
कछुवा	Testudinidae
अफिम	Ópio
ई.पू. १६७	167 a.C.
ई.पू. १६६	166 a.C.
ई.पू. १७४	174 a.C.
ई.पू. १६५	165 a.C.
ई.पू. २०८	208 a.C.
ई.पू. १६०	160 a.C.
ई.पू. १६१	161 a.C.
ई.पू. १६४	164 a.C.
ई.पू. १८२	182 a.C.
ई.पू. १७३	173 a.C.
ई.पू. १७२	172 a.C.
ई.पू. १७८	178 a.C.
ई.पू. १७५	175 a.C.
फिजी हिन्दी	Hindi fijiano
सम्पत्ति	Ativo
वाङ्गारी माथाई	Wangari Maathai
श्रीमद्भगवद गीता	Bagavadguitá
हिमश्रृङ्खला	Cordilheira
वासलात	Balanço patrimonial
लेना नदी	Rio Lena (Rússia)
औंठी	Anel
तिब्बती लिपि	Alfabeto tibetano
ओखर	Nogueira-comum
ई.पू. १५४	154 a.C.
ई.पू. १३२	132 a.C.
ई.पू. १७०	170 a.C.
ई.पू. १५७	157 a.C.
ई.पू. १११	111 a.C.
ई.पू. ११४	114 a.C.
ई.पू. २२०	220 a.C.
ई.पू. १६३	163 a.C.
ई.पू. १६२	162 a.C.
ई.पू. २८०	280 a.C.
ई.पू. १३४	134 a.C.
जैविक विविधता	Biodiversidade
नेदरल्याण्ड राष्ट्रिय फुटबल टिम	Seleção Neerlandesa de Futebol
ऐश्वर्या राय	Aishwarya Rai
परिवर्तित चट्टान	Rocha metamórfica
खैरो	Marrom
बलात्कार	Estupro
बाल्टिन	Balde
एनरिक इग्लेसियस	Enrique Iglesias
यजुर्वेद	Iajurveda
श्रुति	Shruti
अर्थशास्त्रमा नोबेल पुरस्कार	Prémio de Ciências Económicas em Memória de Alfred Nobel
ई.पू. २१८	218 a.C.
ई.पू. ११८	118 a.C.
ई.पू. १३८	138 a.C.
ई.पू. १३५	135 a.C.
ई.पू. १२८	128 a.C.
ई.पू. २७०	270 a.C.
कामसूत्र	Kama Sutra
ई.पू. २८७	287 a.C.
ई.पू. २१६	216 a.C.
ई.पू. ३००	300 a.C.
संयुक्त राष्ट्र महासभा	Assembleia Geral das Nações Unidas
ई.पू. १५८	158 a.C.
ई.पू. १२७	127 a.C.
ई.पू. ११७	117 a.C.
ई.पू. १५३	153 a.C.
ई.पू. १२५	125 a.C.
ई.पू. १०८	108 a.C.
ई.पू. १२४	124 a.C.
स्वामी विवेकानन्द	Swami Vivekananda
गाजा शहर	Gaza
अन्तर्राष्ट्रिय श्रमिक दिवस	Dia do Trabalhador
मातृ दिवस	Dia das Mães
कम्पाइलर	Compilador
खोला	Córrego
ई.पू. २२१	221 a.C.
भिक्टर भ्यालडेस	Víctor Valdés
बिजुली बत्ती	Lâmpada incandescente
ई.पू. २३०	230 a.C.
ई.पू. २९५	295 a.C.
ई.पू. २७६	276 a.C.
ई.पू. २०४	204 a.C.
ई.पू. २८८	288 a.C.
भेनस (देवी)	Vênus (mitologia)
कालाहारी मरुभूमि	Kalahari
डाउन सिन्ड्रोम	Síndrome de Down
इङ्ल्यान्ड राष्ट्रिय फुटबल टिम	Seleção Inglesa de Futebol
फ्रान्स राष्ट्रिय फुटबल टिम	Seleção Francesa de Futebol
प्रतिभा पाटिल	Pratibha Patil
ग्रीन डे	Green Day
तास (खेल)	Baralho
एकसिंगे गैंडा	Rinoceronte-indiano
फोक्सो क्यान्सर	Câncer de pulmão
लखनऊ	Lucknow
ढाँचा:Commonscat	Predefinição:Commonscat
ई.पू. २९७	297 a.C.
ई.पू. ३३०	330 a.C.
अलेक्सान्दार केरेन्स्की	Alexander Kerensky
ई.पू. २९३	293 a.C.
फेडोरा परियोजना	Fedora Linux
अन्तर्राष्ट्रिय प्रकृति संरक्षण संघ	União Internacional para a Conservação da Natureza e dos Recursos Naturais
ई.पू. ३२०	320 a.C.
विद्यार्थी	Aluno
सिएनएन	CNN
महायान	Maaiana
ई.पू. ३१०	310 a.C.
ई.पू. ३२६	326 a.C.
ई.पू. ४९०	490 a.C.
ई.पू. २८५	285 a.C.
अमृतसर	Amritsar
अङ्ग	Cadáver
१९३० फिफा विश्वकप	Copa do Mundo FIFA de 1930
क्युरिओसिटी रोभर	Rover Curiosity
सखारोभ पुरस्कार	Prémio Sakharov
पर्दा	Cortina
गया जिल्ला	Gaya (distrito da Índia)
पेन्टी	Calcinha
पर्यटन	Turismo
सन् २०२५	2025
सन् २०२४	2024
सन् २०२३	2023
सन् २०२२	2022
सन् २०२१	2021
जर्मन सामाजिक-जनवादी पार्टी	Partido Social-Democrata da Alemanha
राष्ट्रपतीय शासन प्रणाली	Presidencialismo
सन् २०४३	2043
सन् २०४९	2049
सन् २०५१	2051
सन् २०५२	2052
सन् २०५३	2053
इलोना स्टालर	Cicciolina
गिनी रोमेटी	Ginni Rometty
रातो दानव तारा	Gigante vermelha
चीनिया प्रान्त	Subdivisões da República Popular da China
म्यानचेस्टर सिटी	Manchester City Football Club
पार्क जि-सुङ	Park Ji-Sung
वर्ग फलन	Função quadrática
जोन हवार्ड	John Howard
एम्पीयरको नियम	Lei de Ampère
माक्सवेल समीकरण	Equações de Maxwell
एयर चाइना	Air China
इबोला	Doença por vírus Ébola
बुर्जुवा	Burguesia
शेख हसिना	Sheikh Hasina
ढाँचा:Chembox	Predefinição:Info/Química
ढाँचा:Infobox element	Predefinição:Info/Elemento
ढाँचा:Infobox mineral	Predefinição:Info/Mineral
ढाँचा:Taxobox	Predefinição:Info/Taxonomia
रक्तदान	Doação de sangue
यालमार ब्रांतिंग	Karl Hjalmar Branting
भ्यागुतो	Anura
सामी केडिरा	Sami Khedira
अन्तर्राष्ट्रिय श्रम संगठन	Organização Internacional do Trabalho
लङ्ग मार्च ३बि	Longa Marcha 3B
क्रिस हेम्सवर्थ	Chris Hemsworth
कण्ठे ढुकुर	Rola-turca
जाँठा	Pelos púbicos
सुनिता विलियम्स	Sunita Williams
मोजिला फाउन्डेसन	Mozilla Foundation
अल्बाट्रोस	Diomedeidae
श्रेणी:सेनाको पद-संरचना	Hierarquia militar
किम जोङ उन	Kim Jong-un
बान्तवा भाषा	Língua bantawa
चाँदीपंखे हिउँचरी	Montifringilla adamsi
महिन्दा राजपाक्ष	Mahinda Rajapaksa
जिग्मे खेसर नामग्याल वाङचुक	Jigme Khesar Namgyal Wangchuck
रामवरण यादव	Ram Baran Yadav
प्रणब मुखर्जी	Pranab Mukherjee
इबे	EBay
लियाम निसन	Liam Neeson
पञ्जाबी भाषा	Língua panjabi
बँदेल	Javali
मृत्युदर	Taxa de mortalidade
अरब सागर	Mar Arábico
धर्म इतर	Irreligião
दक्षिण अमेरिकी फुटबल संघ	Confederação Sul-Americana de Futebol
सतना	Satna
जलरङ्क	Pilrito-de-temminck
श्वेत जलरङ्क	Pilrito-das-praias
काकीनाड़ा	Kakinada
माइकल बे	Michael Bay
गोदावरी फूल	Chrysanthemum
नेपालका राजाहरूको सूची	Lista de reis do Nepal
भारतीय उपमहाद्वीप	Subcontinente indiano
रिले स्टील	Riley Steele
इक्थ्योलोजी	Ictiologia
चन्द्रशेखर वेङ्कट रामन	Chandrasekhara Venkata Raman
नमस्ते	Namastê
छद्मनाम	Pseudónimo
नेल्लोर	Nellore
आइफोन फाइभ	IPhone 5
भारतिय निलो मयूर	Pavão-indiano
आँसीठुँडे जलरङ्क	Pilrito-de-bico-comprido
जे–जी (गायक)	Jay-Z
हल्क	Hulk (futebolista)
ब्यारेन्क्विला	Barranquilla
ड्रु ब्यारिमोर	Dru Berrymore
मौर्य साम्राज्य	Império Máuria
आयात	Importação
