ܐܦܪܝܩܐ	África
ܡܘܪܐ	Mirra
ܐܠܝܫܥ	Eliseu
ܗܟܐܪܝ (ܡܕܝܢܬܐ)	Hakkâri
ܣܢܚܪܝܒ	Senaqueribe
ܩܘܪܝܐܠܝܣܘܢ	Kyrie eleison
ܟܢܘܫܝܐ ܕܐܣܪܐܝܠ ܕܝܘܠܦܢܐ ܘܐܢܫܝܬܐ	Academia de Ciências e Humanidades de Israel
ܣܘܟܢܐ	Leme (navegação)
ܥܕܬܐ ܣܘܪܝܝܬܐ ܐܪܬܘܕܟܣܝܬܐ	Igreja Ortodoxa Síria
ܟܣܬܐ	Forragem animal
ܩܡܫܠܝ	Al-Qamishli
ܡܘܬܢܐ (ܗܘܦܪܟܝܐ)	Al-Muthanna
ܡܝܫܢ (ܗܘܦܪܟܝܐ)	Maysan
ܣܘܠܝܡܐܢܝܐ (ܗܘܦܪܟܝܐ)	As-Sulaymaniyah (província)
ܐܪܒܝܠ (ܗܘܦܪܟܝܐ)	Arbil (província)
ܚܠܒ (ܗܘܦܪܟܝܐ)	Alepo (distrito)
ܟܪܒܠܐܐ (ܗܘܦܪܟܝܐ)	Karbala (província)
ܦܪܨܘܦܐ	Pessoa (filosofia)
ܕܝ ܩܐܪ (ܗܘܦܪܟܝܐ)	Dhi Qar
ܐܢܕܪܢܝܩ ܡܐܪܓܐܪܝܐܢ	Andranik Margaryan
ܡܡܠܠܘܬ ܐܠܗܘܬܐ	Teologia cristã
ܓܘܙܐ	Juglandaceae
ܕܝܐܠܐ (ܗܘܦܪܟܝܐ)	Diyala
ܟܒܒ	Khabab
ܩܪܫܬܐ	Teto
ܐܡܬܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Antebraço
ܣܝܢܝ	Sinai (desambiguação)
ܬܐܘܡܐ	Thomas
ܐܝܒܪܝܐ	Ibéria (desambiguação)
ܚܡܬ (ܗܘܦܪܟܝܐ)	Hama (distrito)
ܟܢܘܢܬܐ ܕܐܝܕܐ	Carpo
ܐܝܣܪܐܝܠ (ܬܘܚܡܐ ܐܚܪܢܐ)	Israel (desambiguação)
ܡܠܐܟܐ	Anjo
ܫܢܬܐ ܦܫܝܛܬܐ	Ano comum
ܡܣܘܪܩܐ ܕܐܝܕܐ	Metacarpo
ܡܠܟܘܬܐ ܕܒܝܬ ܥܣܪ ܥܝܢܐ	Osroena
ܕܪܥܐ (ܡܕܝܢܬܐ)	Daraa (cidade)
ܣܘܣܝܐ ܐܝܣܠܢܕܝܐ	Cavalo islandês
ܩܠܐ	Nota
ܛܘܘܝܐ	Grelhado
ܓܪܡܐ	Osso
ܒܪܝܐܢܝ	Biryani
ܠܒܠܒܬܐ	Úvula
ܙܓܐ ܕܣܦܝܢܬܐ	Sino de navio
ܥܪܒܝܐ	Árabe
ܓܝܕܐ ܕܓܢܫܝܐ	Nervo ciático
ܗܪܗܪܐ	Miragem
ܒܝܬ ܢܗܪܝܢ ܥܠܝܬܐ	Mesopotâmia Superior
ܛܐܪܩ ܥܙܝܙ	Tariq Aziz
ܡܣܘܪܩܐ ܕܪܓܠܐ	Metatarso
ܥܪܩ	Arak
ܫܠܦܐ	Lâmina (ferramenta de corte)
ܛܘܪ ܠܒܢܢ	Monte Líbano
ܐܘܛܪܝܟܛ	Utrecht (desambiguação)
ܩܪܕܘܝܐ	Curdo
ܟܝܢܐ	Natureza (desambiguação)
ܩܕܠܐ	Nuca
ܥܡܐ ܐܬܘܪܝܐ/ܣܘܪܝܝܐ	Assírios
ܛܘܪܐ ܕܣܝܢܝ	Monte Sinai
ܦܘܪܬܥܢܐ	Siphonaptera
ܟܪܘܙܘܬܐ ܕܡܬܝ	Evangelho segundo Mateus
ܡܕܝܢܬܐ ܡܝܬܬܐ	Cidades Mortas (Síria)
ܐܓܪܬܐ ܕܠܘܬ ܐܦܣܝܐ	Epístola aos Efésios
ܚܡܬ	Hama (desambiguação)
10000 (ܡܢܝܢܐ)	Dez mil
ܒܢܦܫܐ	Violeta (cor)
ܢܨܪܬ	Nazaré
ܟܬܒܐ ܕܡܘܪܡܘܢ	Livro de Mórmon
ܐܝܓܢܐܛܝܘܣ ܡܘܫܐ ܩܕܡܝܐ ܕܐܘܕ	Ignace Moussa I Daoud
ܒܫܐܪܐ ܦܛܪܘܣ ܐܠܪܐܥܝ	Béchara Pierre Raï
ܥܡܢܘܐܝܠ ܬܠܝܬܝܐ ܕܠܝ	Emmanuel III Delly
ܥܡܘܕܐ ܦܩܪܝܐ	Coluna vertebral
ܒܝܬ ܫܥܝܐ	Estádio
ܓܘܕ ܫܪܠܘܛ	Good Charlotte
ܒܪ ܨܘܪܐ	Gola
ܚܣܚܘܣܐ	Tecido cartilaginoso
ܡܪܝ ܩܘܪܝܩܘܣ ܣܗܕܐ ܘܕܝܘܠܝܛܐ ܝܡܗ	Santa Julita e São Ciro
ܐܝܣܛܢܒܘܠ (ܗܘܦܪܟܝܐ)	Istambul (província)
ܝܘܢܝܐ	Gregos
ܓܗܢܐ	Geena
ܐܓܢܛܝܘܣ ܝܘܣܦ ܬܠܝܬܝܐ ܝܘܢܢ	Inácio José III Younan
ܡܪܝ ܕܢܚܐ ܪܒܝܥܝܐ	Mar Dinkha IV
ܬܐܓܘܪܬܐ	Comércio
ܫܝܪܢܐܟ (ܗܘܦܪܟܝܐ)	Şırnak (província)
ܟܗܢܘܬܐ	Ordem (sacramento)
ܚܒܘܪ	Rio Khabur
ܗܕܡܐ ܓܘܝܐ	Órgão (anatomia)
ܚܡܬܐ (ܒܝܬܝܘܬܐ)	Sogra
ܡܥܠܘܠܐ	Maalula
ܐܘܪܘܦܐ	Europa (desambiguação)
ܐܣܝܪܝܣܩܐ	Assyriska Fotbollförening
ܥܕܬܐ ܣܘܪܝܝܬܐ ܩܬܘܠܝܩܝܬܐ	Igreja Católica Siríaca
ܥܨܘܒܐ	Cirurgião
ܐܘܣܛܪܠܝܐ	Austrália (desambiguação)
ܡܦܩܬܐ ܦܫܝܛܬܐ	Peshitta
ܐܪܚܘܬܐ	Hospitalidade
ܫܪܓܐ ܕܢܦܛܐ	Lâmpada a óleo
ܗܘܦܪܟܝܣ ܕܥܝܪܐܩ	Províncias do Iraque
ܩܛܠܥܡܐ ܐܬܘܪܝܐ	Genocídio assírio
ܒܝܬ ܟܬܒܐ ܕܐܫܘܪ ܒܢܐܦܠ	Biblioteca de Nínive
ܣܪܦܝܘܢ	Serapião de Tmuis
ܒܕܘܩܐ	Escotismo
ܥܘܕܪܢܐ:ܚܒܝܫܬ̈ܐ	Ajuda:Página principal
ܡܝܟܐܝܠ	Michael
ܣܢܐܓܪܘܬܐ ܕܩܕܝܫܐ	Intercessão
ܐܝܓܢܐܛܝܘܣ ܙܟܝ ܩܕܡܝܐ ܥܝܘܐܨ	Inácio Zakka I Iwas
ܐܣܛܘܡܟܐ	Estômago
ܟܢܘܢܬܐ ܕܪܓܠܐ	Tarso (pé)
ܓܢܬܐ	Jardim
ܒܪܐ (ܐܠܗܐ)	Deus, o Filho
ܐܘܪܗܝ	Edessa (Mesopotâmia)
ܘܝܩܝܦܕܝܐ:ܐܝܙܓܕܘܬܐ	Wikipédia:Embaixada
ܫܠܝܬܐ	Placenta
ܕܘܢܝ ܓܘܪܓ ܝܘܚܢܢ	Donny George Youkhanna
ܒܝܬ ܛܘܣܐ	Aeroporto
ܒܝܬ ܫܡܪܝܐ	Samaria
ܐܓܢܣ ܡܘ	Agnes Monica
ܣܕܪܐ:ܓܪܡܢ	Categoria:Alemanha
ܣܕܪܐ:ܐܝܛܠܝܐ	Categoria:Itália
ܣܕܪܐ:ܐܬܪܘܬܐ ܡܚܝܕܐ ܕܐܡܪܝܩܐ	Categoria:Estados Unidos
ܣܕܪܐ:ܪܘܣܝܐ	Categoria:Rússia
ܣܕܪܐ:ܩܢܕܐ	Categoria:Canadá
ܣܕܪܐ:ܐܝܣܪܐܝܠ	Categoria:Israel
ܣܕܪܐ:ܛܘܪܩܝܐ	Categoria:Turquia
ܣܕܪܐ:ܡܨܪܝܢ	Categoria:Egito
ܣܕܪܐ:ܐܝܪܐܢ	Categoria:Irão
ܥܐܕܐ	Feriado
ܣܕܪܐ:ܥܝܪܐܩ	Categoria:Iraque
ܣܕܪܐ:ܗܘܠܢܕܐ	Categoria:Países Baixos
ܣܕܪܐ:ܦܘܠܢܕ	Categoria:Polónia
ܣܕܪܐ:ܛܝܪܐ	Categoria:Aves
ܣܕܪܐ:ܝܥܝܬܐ	Categoria:Plantas
ܣܕܪܐ:ܬܘܕܝܬܐ	Categoria:Religião
ܣܕܪܐ:ܝܕܥܬܐ	Categoria:Ciência
ܩܘܠ ܬܘܪܗ	Kol Torá
ܦܪܡܬܐ ܕܣܡܠܐ	Massacre de Simele
ܨܘܒܐ	Nusaybin
ܕܪܥܐ (ܗܘܦܪܟܝܐ)	Daraa (distrito)
ܣܕܪܐ ܕܦܛܪܝܪܟܐ ܕܥܕܬܐ ܕܡܕܢܚܐ	Patriarca da Igreja do Oriente
ܩܠܒܐ:Box-footer	Predefinição:Box-footer
ܢܩܘܕ	Niqqud
ܡܪܝܡ (ܚܬܗ ܕܡܘܫܐ)	Miriã
ܣܕܪܐ:ܬܘܚܡܐ ܐܚܪܢܐ	Categoria:Desambiguação
ܣܕܪܐ:ܡܫܝܚܝܘܬܐ	Categoria:Cristianismo
ܣܕܪܐ:ܐܣܠܐܡ	Categoria:Islamismo
ܣܕܪܐ:ܝܗܘܕܝܘܬܐ	Categoria:Judaísmo
ܠܩܐ ܕܣܦܝܢܬܐ	Remo (navegação)
ܬܪܢܓܠܐ	Galo
ܙܚܘܪܝܬܐ (ܓܘܢܐ)	Escarlate
ܐܢܩܪܐ (ܗܘܦܪܟܝܐ)	Ancara (província)
ܐܢܕܪܐܘܣ	André
ܐܝܪܠܢܕ	Irlanda (desambiguação)
ܝܘܢܢ	Jonas (profeta)
ܫܡܐ ܕܝܠܝܕܘܬܐ	Nome de batismo
ܐܨܪܐ	Condimento
ܫܘܫܡܬܐ	Gergelim
ܣܕܪܐ:ܘܝܩܝܦܕܝܐ	Categoria:Categorias
ܣܕܪܐ:ܝܒܫܬܐ	Categoria:Continentes
ܝܙܦܬܐ	Débito
ܟܠܕܝܐ	Cristãos caldeus
ܦܨܝܕܐ	Lagoa
ܐܪܓܘܢܐ	Púrpura
ܢܘܪܢܝܐ	Pirâmide
ܘܝܩܝܦܕܝܐ:HotCat	Wikipédia:Scripts/HotCat
ܒܛܐ	Pato
ܗܝܟܠܐ ܕܫܠܝܡܘܢ	Templo de Jerusalém
ܩܠܒܐ:ܓܕܫܐ ܗܫܝܐ	Predefinição:Eventos atuais
ܣܕܪܐ:ܡܟܬܒܢܘܬܐ ܕܐܬܪܘܬܐ	Categoria:Países
ܘܝܩܝܦܕܝܐ:ܡܕܒܪܢܐ	Wikipédia:Administradores
ܣܕܪܐ:ܫܕܬܐ	Categoria:Ocupações
ܘܝܩܝܦܕܝܐ:ܒܘܬ̈ܐ	Wikipédia:Robôs
ܣܕܪܐ:ܙܒܢܐ	Categoria:Tempo
ܣܕܪܐ:ܙܘܙܐ	Categoria:Dinheiro
ܣܕܪܐ:ܝܘܠܦܢ ܨܪܘܝܘܬܐ	Categoria:Anatomia
ܣܕܪܐ:ܐܣܝܘܬܐ	Categoria:Medicina
ܡܨܪܝܢ	Egito
ܩܠܒܐ:Bot	Predefinição:Robô
ܩܢܕܐ	Canadá
ܣܕܪܐ:ܝܘܢ	Categoria:Grécia
ܣܕܪܐ:ܣܘܝܕ	Categoria:Suécia
ܩܠܒܐ:ܐܫܛܪܘܬܐ	Predefinição:Documentação
ܣܕܪܐ:User languages	Categoria:!Wikipedistas por idioma
ܦܘܠܚܢܐ	Negócio
ܩܠܒܐ:Softredirect	Predefinição:Pseudorredirecionamento
ܩܠܒܐ:Delete	Predefinição:ER
ܡܓܕܠܐ (ܩܪܝܬܐ)	Magdala
ܣܕܪܐ:ܛܟܢܘܠܘܓܝܐ	Categoria:Tecnologia
ܓܒܪܐܝܠ (ܫܡܐ)	Gabriel
ܣܕܪܐ:ܠܫܢܐ	Categoria:Línguas
ܣܕܪܐ:ܩܢܘܢܐ ܕܠܥܙܐ	Categoria:Gramática
ܘܝܩܝܦܕܝܐ:General disclaimer	Wikipédia:Aviso geral
ܣܕܪܐ:Noindexed pages	Categoria:!Páginas não indexadas
ܘܝܩܝܦܕܝܐ:ܕܘܒܪܐ	Wikipédia:Livro de estilo
ܩܠܒܐ:Navbox	Predefinição:Navbox
ܣܕܪܐ:ܩܠܒܐ ܐܬܘܬܐ ܕܐܝܣܘ	Categoria:!Predefinições sobre bandeiras
ܩܠܒܐ:ܡܦܐܬܐ ܩܠܒܐ	Predefinição:Tnavbar
ܩܠܒܐ:Clear	Predefinição:Limpar
ܘܝܩܝܦܕܝܐ:ܡܟܬܒܘܬܐ ܕܡܓܠܐ ܠܟܠ ܘܝܩܝܦܕܝܐ	Wikipédia:Artigos essenciais
ܣܕܪܐ:ܐܠܝܩܛܪܘܢܝܘܬܐ	Categoria:Eletrônica
ܣܕܪܐ:ܝܪܚܐ ܕܫܢܬܐ	Categoria:Meses
ܩܠܒܐ:Babel	Predefinição:Babel
ܩܠܒܐ:Commons	Predefinição:Commons
ܩܠܒܐ:Reflist	Predefinição:Referências
ܩܠܒܐ:User ar-1	Predefinição:User ar-1
ܩܠܒܐ:User az	Predefinição:User az
ܩܠܒܐ:See also	Predefinição:VT
ܩܠܒܐ:User de	Predefinição:User de
ܩܠܒܐ:User es	Predefinição:User es
ܩܠܒܐ:User en-3	Predefinição:User en-3
ܩܠܒܐ:User en-1	Predefinição:User en-1
ܩܠܒܐ:User en-2	Predefinição:User en-2
ܩܠܒܐ:User en-4	Predefinição:User en-4
ܩܠܒܐ:User en-0	Predefinição:User en-0
ܩܠܒܐ:User en	Predefinição:User en
ܩܠܒܐ:User fa	Predefinição:User fa
ܩܠܒܐ:User fr-1	Predefinição:User fr-1
ܩܠܒܐ:User he-2	Predefinição:User he-2
ܩܠܒܐ:User he-1	Predefinição:User he-1
ܩܠܒܐ:User sk	Predefinição:User sk
ܩܠܒܐ:User tr	Predefinição:User tr
ܩܠܒܐ:User ja	Predefinição:User ja
ܩܠܒܐ:User fr	Predefinição:User fr
ܩܠܒܐ:User he	Predefinição:User he
ܣܕܪܐ:ܐܣܝܐ	Categoria:Ásia
ܣܕܪܐ:ܕܪܐ ܕܥܣܪܝܢ ܘܚܕ	Categoria:Século XXI
ܩܠܒܐ:Mod	Predefinição:Mod
ܩܠܒܐ:User sv	Predefinição:User sv
ܩܠܒܐ:Infobox language/codelist	Predefinição:ISO639-3Documentação
ܩܠܒܐ:User it	Predefinição:User it
ܣܕܪܐ:ܝܘܡܐ ܕܫܒܘܥܐ	Categoria:Dias da semana
ܣܕܪܐ:ܐܨܪܐ	Categoria:Condimentos
ܩܠܒܐ:ܝܗܘܝܬܐ Peru	Predefinição:Country data Peru
ܩܠܒܐ:ܝܗܘܝܬܐ Paraguay	Predefinição:Country data Paraguai
ܩܠܒܐ:ܝܗܘܝܬܐ French Guiana	Predefinição:Country data Guiana
ܩܠܒܐ:ܝܗܘܝܬܐ Argentina	Predefinição:Country data Argentina
ܩܠܒܐ:Navbox suite	Predefinição:Navbox suite
ܩܠܒܐ:ܡܟܬܒܢܘܬܐ ܕܝܦܬܐ	Predefinição:Collapsible list
ܩܠܒܐ:Sidebar	Predefinição:Sidebar
ܩܠܒܐ:Ambox	Predefinição:Ambox
ܩܠܒܐ:Navigation templates	Predefinição:Modelo de navegação
ܩܠܒܐ:ܐܬܪܐ	Predefinição:Info/País
ܩܠܒܐ:ܝܬܝܪ	Predefinição:Catmore
ܩܠܒܐ:/box-header	Portal:Box-header
ܣܕܪܐ:User en	Categoria:Usuários en
ܣܕܪܐ:User zh	Categoria:Usuários zh
ܣܕܪܐ:User zh-N	Categoria:Usuário zh
ܩܠܒܐ:ܨܢܕܘܩ ܪܡܙܐ2	Predefinição:Info
ܩܠܒܐ:User zh	Predefinição:User zh
ܩܠܒܐ:Navbox/core	Predefinição:Navbox/core
ܩܠܒܐ:ܩܠܒܐ ܐܚܪܝܢܐ	Predefinição:Template other
ܩܠܒܐ:ܐܠܦܒܝܬ ܠܐܛܝܢܝܐ	Predefinição:A-Z
ܣܕܪܐ:ܦܐܦܐ	Categoria:Papas
ܩܠܒܐ:Pp-template	Predefinição:Pp-template
ܩܠܒܐ:User nl-1	Predefinição:User nl-1
ܩܠܒܐ:User nl-2	Predefinição:User nl-2
ܣܕܪܐ:ܪܝܫܝ ܩܘܛܢܝܘܬܐ	Categoria:Presidentes
ܩܠܒܐ:User ru	Predefinição:User ru
ܩܠܒܐ:IPA	Predefinição:AFI
ܣܕܪܐ:ܗܪܘܡܐ	Categoria:Especiarias
ܣܕܪܐ:ܦܠܫܬ	Categoria:Palestina
ܣܕܪܐ:ܡܠܐܟܐ	Categoria:Anjos
ܣܕܪܐ:ܢܒܝܐ	Categoria:Profetas
ܩܠܒܐ:Rellink	Predefinição:Rellink
ܩܠܒܐ:Category redirect	Predefinição:Redirecionamento de categoria
ܩܠܒܐ:ܝܗܘܝܬܐ Venezuela	Predefinição:Country data Venezuela
ܩܠܒܐ:ܨܢܕܘܩ ܡܕܒܪܢܐ	Predefinição:Info/Político
ܩܠܒܐ:Sortname	Predefinição:Sortname
ܩܠܒܐ:Border	Predefinição:Borda
ܩܠܒܐ:ܡܢܝܢܐ ܕܝܪܚܐ	Predefinição:MONTHNUMBER
ܩܠܒܐ:ܪܕ	Predefinição:Fmbox
ܩܠܒܐ:ܝܗܘܝܬܐ Chile	Predefinição:Country data Chile
ܩܠܒܐ:GUA	Predefinição:GTM
ܩܠܒܐ:User nl	Predefinição:User nl
ܩܠܒܐ:Navbox years	Predefinição:NavboxAnos
ܩܠܒܐ:ܡܣܦܩ ܩܐܫ	Predefinição:Purgar
ܩܠܒܐ:ܨܢܕܘܩ ܐܡܢܐ	Predefinição:Info/Artista
ܩܠܒܐ:ܡܦܠܚܢܐ	Predefinição:Usuário2
ܣܕܪܐ:ܬܘܢܣ	Categoria:Tunísia
ܩܠܒܐ:Sec link auto	Predefinição:Sec link auto
ܩܠܒܐ:Cmbox	Predefinição:Cmbox
ܩܠܒܐ:Mbox	Predefinição:Mbox
ܩܠܒܐ:Oppose	Predefinição:Discordo
ܩܠܒܐ:COL	Predefinição:COL
ܩܠܒܐ:PER	Predefinição:PER
ܩܠܒܐ:ܨܢܕܘܩ ܡܕܥܐ ܕܝܒܫܬܐ	Predefinição:Info/Território geográfico
ܩܠܒܐ:User ar-2	Predefinição:User ar-2
ܩܠܒܐ:User ar-3	Predefinição:User ar-3
ܩܠܒܐ:User ar	Predefinição:User ar
ܩܠܒܐ:ܝܘܡܐ ܕܫܒܘܥܐ	Predefinição:Dias da semana
ܣܕܪܐ:ܡܕܝܢܬܐ ܒܐܘܚܕܢܐ ܡܚܝܕܐ	Categoria:Cidades dos Estados Unidos
ܩܠܒܐ:ܬ.ܐ.	Predefinição:Desambiguação
ܩܠܒܐ:No	Predefinição:Negado
ܣܕܪܐ:ܩܠܒܐ ܨܢܕܘܩܐ	Categoria:!Predefinições de caixas de informação
ܩܠܒܐ:Partial	Predefinição:Partial
ܩܠܒܐ:ܩܘܕܝܟܘܣ ܕܣܕܪܐ	Predefinição:CategoriaTOC
ܩܠܒܐ:?	Predefinição:?
ܩܠܒܐ:ܝܗܘܝܬܐ Colombia	Predefinição:Country data Colômbia
ܩܠܒܐ:ܐܠܦܒܝܬ ܥܒܪܝܐ	Predefinição:Alfabeto hebraico
ܣܕܪܐ:User az	Categoria:Usuários az
ܣܕܪܐ:User sk	Categoria:Usuários sk
ܣܕܪܐ:User fr	Categoria:Usuários fr
ܣܕܪܐ:User ja	Categoria:Usuários ja
ܣܕܪܐ:User la	Categoria:Usuários la
ܣܕܪܐ:User pt	Categoria:Usuários pt
ܣܕܪܐ:User ro	Categoria:Usuários ro
ܣܕܪܐ:User sv	Categoria:Usuários sv
ܣܕܪܐ:User ko-N	Categoria:Usuário ko
ܣܕܪܐ:ܗܘܦܪܟܝܣ ܕܥܝܪܐܩ	Categoria:Províncias do Iraque
ܩܠܒܐ:Cat main	Predefinição:Cat principal
ܣܕܪܐ:User ar	Categoria:Usuários ar
ܣܕܪܐ:User da	Categoria:Usuários da
ܣܕܪܐ:User sk-N	Categoria:Usuário sk
ܣܕܪܐ:User de	Categoria:Usuários de
ܣܕܪܐ:User el	Categoria:Usuários el
ܣܕܪܐ:User en-N	Categoria:Usuário en
ܣܕܪܐ:User es	Categoria:Usuários es
ܣܕܪܐ:User fa	Categoria:Usuários fa
ܣܕܪܐ:User fi	Categoria:Usuários fi
ܣܕܪܐ:User he	Categoria:Usuários he
ܩܠܒܐ:N/a	Predefinição:N/a
ܣܕܪܐ:User hy	Categoria:Usuários hy
ܣܕܪܐ:ܠܫܢܐ ܥܒܪܝܐ	Categoria:Língua hebraica
ܣܕܪܐ:ܡܕܝܢܬܐ ܒܐܝܣܪܐܝܠ	Categoria:Cidades de Israel
ܣܕܪܐ:User it	Categoria:Usuários it
ܣܕܪܐ:User ko	Categoria:Usuários ko
ܣܕܪܐ:ܒܬܫܪܝܢ ܐܚܪܝ	Categoria:Novembro
ܣܕܪܐ:ܝܡܡܐ	Categoria:Mares
ܩܠܒܐ:ܐܠܦܒܝܬ ܝܘܢܝܐ	Predefinição:Letras gregas
ܩܠܒܐ:No2	Predefinição:Não2
ܩܠܒܐ:Languages	Predefinição:Babel línguas
ܩܠܒܐ:Rh	Predefinição:Rh
ܩܠܒܐ:ܡܢܝܢܐ ܕܡܡܪܐ ܦܪܝܫܐ	Predefinição:Número de artigos destacados
ܩܠܒܐ:ܣܡܘܩܐ	Predefinição:Vermelho
ܩܠܒܐ:ܝܗܘܝܬܐ Brazil	Predefinição:Country data Brasil
ܩܠܒܐ:Yes2	Predefinição:Sim2
ܩܠܒܐ:Yes-No	Predefinição:Sim-Não
ܬܪܥܐ:ܬܘܕܝܬܐ	Portal:Religião
ܣܕܪܐ:ܪܝܫܝ ܩܘܛܢܝܘܬܐ ܥܠ ܐܬܪܐ	Categoria:Presidentes por país
ܣܕܪܐ:User ru	Categoria:Usuários ru
ܣܕܪܐ:User ru-3	Categoria:Usuário ru-3
ܣܕܪܐ:User tl	Categoria:Usuários tl
ܣܕܪܐ:User tr	Categoria:Usuários tr
ܣܕܪܐ:ܙܡܪܐ	Categoria:Músicos
ܩܠܒܐ:Lang	Predefinição:Lang
ܣܕܪܐ:ܪܫܘܡܐ	Categoria:Pintores
ܩܠܒܐ:ܫܠܝܚܐ ܕܡܫܝܚܐ	Predefinição:Apóstolos
ܩܠܒܐ:ܟܬܒܐ ܩܕܝܫܐ	Predefinição:Bíblia
ܣܕܪܐ:ܐܡܢܐ ܥܠ ܐܕܫܐ	Categoria:Ocupações por tipo
ܩܠܒܐ:ܚܡܫܐ ܐܘܩܝܢܘ	Predefinição:Oceanos
ܩܠܒܐ:CHI	Predefinição:CHL
ܣܕܪܐ:ܡܕܝܢܬܐ ܒܐܢܓܠܢܕ	Categoria:Cidades da Inglaterra
ܣܕܪܐ:ܢܝܓܪ	Categoria:Níger
ܣܕܪܐ:ܦܛܪܝܪܟܘ ܕܥܕܬܐ ܕܡܕܢܚܐ	Categoria:Patriarcas da Igreja do Oriente
ܩܠܒܐ:Infobox language/family-color	Predefinição:Info/Língua/corfamília
ܣܕܪܐ:ܣܥܪܐ	Categoria:Penteados
ܣܕܪܐ:ܢܗܪܘܬܐ	Categoria:Rios
ܩܠܒܐ:User he-3	Predefinição:User he-3
ܩܠܒܐ:User ko	Predefinição:User ko
ܩܠܒܐ:User pt	Predefinição:User pt
ܣܕܪܐ:User nl	Categoria:Usuários nl
ܣܕܪܐ:User no	Categoria:Usuários no
ܣܕܪܐ:ܣܘܪܝܐ	Categoria:Síria
ܣܕܪܐ:ܕܪܐ ܩܕܡܝܐ	Categoria:Século I
ܣܕܪܐ:ܓܙܪܬܐ ܝܒܫܢܝܬܐ	Categoria:Penínsulas
ܣܕܪܐ:ܗܘܦܪܟܝܣ ܕܗܘܠܢܕܐ	Categoria:Províncias dos Países Baixos
ܣܕܪܐ:ܡܢܝܢܐ	Categoria:Inteiros
ܣܕܪܐ:ܡܕܝܢܬܐ ܕܥܝܪܐܩ	Categoria:Cidades do Iraque
ܣܕܪܐ:ܥܝܢܐ (ܨܪܘܝܘܬܐ)	Categoria:Olho
ܣܕܪܐ:ܓܘܪܓܝܐ	Categoria:Geórgia
ܣܕܪܐ:ܟܘܘܝܬ	Categoria:Kuwait
ܣܕܪܐ:ܠܒܢܢ	Categoria:Líbano
ܣܕܪܐ:ܪܝܫܝ ܩܘܛܢܝܘܬܐ ܕܐܬܪܘܬܐ ܡܚܝܕܐ ܕܐܡܪܝܩܐ	Categoria:Presidentes dos Estados Unidos
ܣܕܪܐ:ܝܘܪܕܢܢ	Categoria:Jordânia
ܣܕܪܐ:ܦܐܪܐ	Categoria:Frutos
ܣܕܪܐ:ܝܘܠܦܢ ܟܘܪܗܢܐ	Categoria:Patologia
ܣܕܪܐ:ܓܒܐ	Categoria:Partidos políticos
ܣܕܪܐ:ܕܝܬܝܩܝ ܚܕܬܐ	Categoria:Novo Testamento
ܣܕܪܐ:ܕܝܬܝܩܝ ܥܬܝܩܬܐ	Categoria:Antigo Testamento
ܣܕܪܐ:ܐܘܩܝܢܘ	Categoria:Oceanos
ܣܕܪܐ:ܓܪܡܐ	Categoria:Sistema esquelético
ܣܕܪܐ:ܗܘܦܪܟܝܣ ܘܐܘܚܕܢܐ ܕܩܢܕܐ	Categoria:Territórios do Canadá
ܣܕܪܐ:ܚܝܘܬܐ	Categoria:Animais
ܣܕܪܐ:ܛܘܪܐ	Categoria:Cordilheiras
ܣܕܪܐ:ܣܘܥܪܢܐ	Categoria:Eventos
ܣܕܪܐ:ܟܘܪܗܢܐ	Categoria:Doenças
ܣܕܪܐ:User pl	Categoria:Usuários pl
ܣܕܪܐ:ܩܣܪ	Categoria:Imperadores
ܣܕܪܐ:ܡܕܒܪܐ	Categoria:Desertos
ܣܕܪܐ:ܝܡܡܬܐ	Categoria:Lagos
ܩܠܒܐ:ܨܢܕܘܩ ܡܚܡܝܬܐ ܡܨܥܝܐ	Predefinição:Info/Mídia
ܩܠܒܐ:ܨܢܕܘܩ ܪܡܙܐ ܕܠܫܢܐ	Predefinição:Info/Língua
ܣܕܪܐ:ܩܛܠܥܡܐ	Categoria:Massacres
ܨܝܢ	China (desambiguação)
ܛܪܘܝܐܢܝ	Trojany
ܩܠܒܐ:Sister	Predefinição:Irmão
ܣܕܪܐ:ܦܛܪܝܪܟܘ ܕܥܕܬܐ ܕܡܕܢܚܐ ܕܐܬܘܪܝܐ	Categoria:Patriarcas da Igreja Assíria do Oriente
ܣܕܪܐ:ܦܛܪܝܪܟܘ ܕܥܕܬܐ ܟܠܕܝܬܐ ܩܬܘܠܝܩܝܬܐ	Categoria:Patriarcas da Igreja Católica Caldeia
ܩܠܒܐ:ܝܗܘܝܬܐ Falkland Islands	Predefinição:Country data Ilhas Malvinas
ܣܕܪܐ:ܦܛܪܝܪܟܘ	Categoria:Patriarcas
ܣܕܪܐ:ܒܝܬ ܟܬܒܐ	Categoria:Bibliotecas
ܣܕܪܐ:ܫܢܬܐ ܥܕܬܢܝܬܐ	Categoria:Ano litúrgico
ܣܕܪܐ:ܐܪܙܐ	Categoria:Sacramentos
ܣܕܪܐ:ܒܝܬ ܢܗܪܝܢ	Categoria:Mesopotâmia
ܣܕܪܐ:ܓܘܢܐ	Categoria:Cor
