ܐܦܪܝܩܐ	África
ܓܘܪܓܝܐ	Geórgia (desambiguação)
ܡܫܝܚܝܘܬܐ	Cristianismo
ܩܠܒܐ:ܐܘܝܐ	Predefinição:Concordo
ܪܘܙܐ	Arroz
ܝܒܫܬܐ	Continente
ܛܝܪܐ	Aves
ܐܪܫܟܝܬܐ	Capital
ܠܫܢܐ ܦܘܪܛܘܓܠܝܐ	Língua portuguesa
ܝܪܚܐ	Mês
ܡܘܨܛܦܐ ܟܡܐܠ ܐܛܐܛܘܪܩ	Mustafa Kemal Atatürk
ܐܠܡܐܙܢ	Almazán
ܠܫܢܐ ܝܦܢܝܐ	Língua japonesa
ܦܐܬܐ ܪܝܫܝܬܐ	Wikipédia:Página principal
ܦܪܢܣܝܣܩܘ ܓܘܝܐ	Francisco de Goya
ܝܡܐ ܐܚܪܝܐ	Mar Cáspio
ܝܡܬܐ ܕܐܝܪܝ	Lago Erie
ܣܠܒܐܕܘܪ ܕܐܠܝ	Salvador Dalí
ܒܢܣܢܬ ܦܢ ܟܘܟ	Vincent van Gogh
ܦܪܝܕܐ ܩܐܠܘ	Frida Kahlo
ܗܢܪܝ ܡܐܛܝܣ	Henri Matisse
ܡܝܟܠܐܢܓܠܘ	Michelangelo
ܦܒܠܘ ܦܝܩܐܣܘ	Pablo Picasso
ܪܡܒܪܢܛ	Rembrandt
ܐܢܕܝ ܘܘܪܗܘܠ	Andy Warhol
ܢܝܢܘܐ (ܡܕܝܢܬܐ)	Nínive
ܒܒܠ	Babilônia (cidade)
ܐܝܪܝܚܘ	Jericó
ܩܛܠܘܢܝܐ	Catalunha
ܡܕܪܝܕ (ܗܘܦܪܟܝܐ)	Comunidade autónoma de Madrid
ܒܝܬ ܠܚܡ	Belém (Palestina)
ܣܕܪܐ:Candidates for speedy deletion	Categoria:!Páginas para eliminação rápida
ܪܫܡܠܘܬܐ	Capitalismo
ܐܘܡܬܐ	Nação
ܩܪܬܐܓܘ	Cartago
ܣܕܪܐ:ܐܣܛܪܘܢܘܡܝܐ	Categoria:Astronomia
ܨܚܪܐܐ	Deserto do Saara
ܫܐܕܐ	Diabo
ܒܝܬ ܟܬܒܐ	Biblioteca
ܫܘܠܛܢܘܬܐ (ܫܘܬܐܣܐ)	Governo
ܬܫܝܢ ܫܝ ܗܘܐܢܓ	Qin Shihuang
ܡܕܢܚܐ ܡܨܥܝܬܐ	Médio Oriente
ܡܠܟܘܬܐ	Monarquia
ܩܘܛܢܝܘܬܐ	República
ܐܬܪܐ	Estado
ܓܒܐ	Partido político
ܝܗܘܕܝܐ	Judeu
ܝܡܡܬܐ ܪܘܪܒܬܐ	Grandes Lagos da América do Norte
ܐܘܩܝܢܘܣ ܬܝܡܢܝܐ	Oceano Antártico
ܐܕܢܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Orelha
ܢܚܝܪܐ	Nariz
ܥܝܢܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Olho
ܥܘܩܒܪܬܐ	Músculo
ܙܡܝܪܬܐ	Canção
ܓܡܠܐ	Camelo
ܫܘܫܡܢܐ	Formiga
ܕܒܫܬܐ	Anthophila
ܠܫܢܐ ܗܘܠܢܕܝܐ	Língua neerlandesa
ܐܡܐ (ܒܝܬܝܘܬܐ)	Mãe
ܐܒܐ (ܒܝܬܝܘܬܐ)	Pai
1847	1847
ܨܦܪܐ (ܙܒܢܐ)	Manhã
ܩܛܝܢܬܐ	Minuto
ܠܫܢܐ ܪܘܣܝܐ	Língua russa
ܩܢܘܢܐ	Direito
ܠܫܢܐ ܨܝܢܝܐ	Língua chinesa
ܕܡܐ	Sangue
ܬܓܪܘܡܬܐ	Esqueleto
ܪܐܬܐ	Pulmão humano
ܠܫܢܐ ܪܘܡܢܝܐ	Língua romena
ܡܛܪܐ	Chuva
ܢܠܣܘܢ ܡܐܢܕܝܠܐ	Nelson Mandela
ܐܒܢܐ	Rocha
ܥܢܢܐ	Nuvem
ܩܢܘܢܐ ܕܠܥܙܐ	Gramática
ܠܫܢܐ ܓܘܪܓܝܐ	Língua georgiana
ܝܘܠܦܢ ܡܡܫܚܘܬܐ	Economia
ܙܘܙܐ	Moeda
ܡܕܐܬܐ	Imposto
ܐܠܦܒܝܬ ܥܪܒܝܐ	Alfabeto árabe
ܐܠܦܒܝܬ ܝܘܢܝܐ	Alfabeto grego
ܐܠܦܒܝܬ ܠܐܛܝܢܝܐ	Alfabeto latino
ܣܕܪܐ:ܦܪܢܣܐ	Categoria:França
ܟܢܫܐ	Sociedade
ܓܒܪܐ	Homem
ܙܘܘܓܐ	Casamento
ܙܕܩܐ ܕܒܪܢܫܐ	Direitos humanos
ܩܪܒܐ ܓܘܝܐ	Guerra civil
ܓܪܡܐ ܕܣܢܘܢܝܬܐ	Esterno
ܬܪܝܢܐ	Suco
ܚܠܒܐ (ܕܝܘܒܐ)	Leite
ܛܘܪܐ	Montanha
ܡܕܒܪܐ	Deserto
ܠܫܢܐ ܐܠܒܢܝܐ	Língua albanesa
ܠܫܢܐ ܐܪܡܢܝܐ	Língua arménia
ܝܘܗܐܢ ܓܘܛܢܒܪܓ	Johannes Gutenberg
ܠܫܢܐ ܣܘܝܕܝܐ	Língua sueca
ܢܝܩܘܠܐ ܛܣܠܐ	Nikola Tesla
ܡܘܫܐ	Moisés
ܬܕܐ	Mama
ܢܘܗܪܐ (ܚܙܝܬܐ)	Luz
