አፍሪቃ	África
1654 እ.ኤ.አ.	1654
1733 እ.ኤ.አ.	1733
1820 እ.ኤ.አ.	1820
1655 እ.ኤ.አ.	1655
1821 እ.ኤ.አ.	1821
1734 እ.ኤ.አ.	1734
1656 እ.ኤ.አ.	1656
1822 እ.ኤ.አ.	1822
1735 እ.ኤ.አ.	1735
1657 እ.ኤ.አ.	1657
1823 እ.ኤ.አ.	1823
1736 እ.ኤ.አ.	1736
1658 እ.ኤ.አ.	1658
1737 እ.ኤ.አ.	1737
1824 እ.ኤ.አ.	1824
1659 እ.ኤ.አ.	1659
1738 እ.ኤ.አ.	1738
1825 እ.ኤ.አ.	1825
1660 እ.ኤ.አ.	1660
1739 እ.ኤ.አ.	1739
1826 እ.ኤ.አ.	1826
1661 እ.ኤ.አ.	1661
1740 እ.ኤ.አ.	1740
1827 እ.ኤ.አ.	1827
18ኛው ምዕተ ዓመት	Século XVIII
17ኛው ምዕተ ዓመት	Século XVII
16ኛው ምዕተ ዓመት	Século XVI
15ኛው ምዕተ ዓመት	Século XV
ካታላንኛ	Língua catalã
ስትራውቢንግ	Straubing
14ኛው ምዕተ ዓመት	Século XIV
13ኛው ምዕተ ዓመት	Século XIII
12ኛው ምዕተ ዓመት	Século XII
11ኛው ምዕተ ዓመት	Século XI
ቤተ መጻሕፍት	Biblioteca
ባርሴሎና እግር ኳስ ክለብ	Futbol Club Barcelona
ፖለቲካ	Política
ወግ አጥባቂነት	Conservadorismo
ዴሞክራሲ	Democracia
ናጊብ ማህፉዝ	Naguib Mahfouz
ማሪ ኩሪ	Marie Curie
መንግሥት	Governo
ጪን ሽኋንግ	Qin Shihuang
ኦቪድ	Ovídio
አሌክሳንደር ፑሽኪን	Alexandre Pushkin
ራቢንድራናት ታጎር	Rabindranath Tagore
ሊዮ ቶልስቶይ	Liev Tolstói
ማርክ ትዌይን	Mark Twain
ኪሊማንጃሮ	Kilimanjaro
ክሪስቶፎር ኮሎምበስ	Cristóvão Colombo
ዩሪ ጋጋሪን	Iuri Gagarin
ቫስኮ ደጋማ	Vasco da Gama
ደቡባዊ ውቅያኖስ	Oceano Antártico
ቢጫው ወንዝ	Rio Amarelo
ጆሮ	Orelha
አፍንጫ	Nariz
አይን (ሥነ አካል)	Olho
ጡንቻ	Músculo
ትንኝ	Culicidae
በግ	Ovis aries
ግመል	Camelo
ጡት አጥቢ	Mamíferos
ጉንዳን	Formiga
ንብ	Anthophila
ሆላንድኛ	Língua neerlandesa
ማርጋሬት ታቸር	Margaret Thatcher
ዲ ኤን ኤ	Ácido desoxirribonucleico
አበባ ጎመን	Couve-flor
1828 እ.ኤ.አ.	1828
1829 እ.ኤ.አ.	1829
1741 እ.ኤ.አ.	1741
1662 እ.ኤ.አ.	1662
1742 እ.ኤ.አ.	1742
1830 እ.ኤ.አ.	1830
1663 እ.ኤ.አ.	1663
1831 እ.ኤ.አ.	1831
1743 እ.ኤ.አ.	1743
1664 እ.ኤ.አ.	1664
1665 እ.ኤ.አ.	1665
1744 እ.ኤ.አ.	1744
1832 እ.ኤ.አ.	1832
1666 እ.ኤ.አ.	1666
1745 እ.ኤ.አ.	1745
1833 እ.ኤ.አ.	1833
1667 እ.ኤ.አ.	1667
1746 እ.ኤ.አ.	1746
ማጓጓዝ	Transporte
1834 እ.ኤ.አ.	1834
1668 እ.ኤ.አ.	1668
1747 እ.ኤ.አ.	1747
1835 እ.ኤ.አ.	1835
1748 እ.ኤ.አ.	1748
1836 እ.ኤ.አ.	1836
1669 እ.ኤ.አ.	1669
ሌዮናርድ ኦይለር	Leonhard Euler
1670 እ.ኤ.አ.	1670
1749 እ.ኤ.አ.	1749
1837 እ.ኤ.አ.	1837
1671 እ.ኤ.አ.	1671
1750 እ.ኤ.አ.	1750
1838 እ.ኤ.አ.	1838
1672 እ.ኤ.አ.	1672
1751 እ.ኤ.አ.	1751
1839 እ.ኤ.አ.	1839
1673 እ.ኤ.አ.	1673
1752 እ.ኤ.አ.	1752
1840 እ.ኤ.አ.	1840
1674 እ.ኤ.አ.	1674
1753 እ.ኤ.አ.	1753
1841 እ.ኤ.አ.	1841
1754 እ.ኤ.አ.	1754
1675 እ.ኤ.አ.	1675
1842 እ.ኤ.አ.	1842
1755 እ.ኤ.አ.	1755
1676 እ.ኤ.አ.	1676
1843 እ.ኤ.አ.	1843
1677 እ.ኤ.አ.	1677
1756 እ.ኤ.አ.	1756
1844 እ.ኤ.አ.	1844
1678 እ.ኤ.አ.	1678
1757 እ.ኤ.አ.	1757
1845 እ.ኤ.አ.	1845
1679 እ.ኤ.አ.	1679
1758 እ.ኤ.አ.	1758
1846 እ.ኤ.አ.	1846
1680 እ.ኤ.አ.	1680
1759 እ.ኤ.አ.	1759
1847 እ.ኤ.አ.	1847
1681 እ.ኤ.አ.	1681
1760 እ.ኤ.አ.	1760
1848 እ.ኤ.አ.	1848
1682 እ.ኤ.አ.	1682
1761 እ.ኤ.አ.	1761
1849 እ.ኤ.አ.	1849
1683 እ.ኤ.አ.	1683
1762 እ.ኤ.አ.	1762
1850 እ.ኤ.አ.	1850
1684 እ.ኤ.አ.	1684
1763 እ.ኤ.አ.	1763
1851 እ.ኤ.አ.	1851
1764 እ.ኤ.አ.	1764
1685 እ.ኤ.አ.	1685
1852 እ.ኤ.አ.	1852
1686 እ.ኤ.አ.	1686
1765 እ.ኤ.አ.	1765
1853 እ.ኤ.አ.	1853
1687 እ.ኤ.አ.	1687
1766 እ.ኤ.አ.	1766
1854 እ.ኤ.አ.	1854
1688 እ.ኤ.አ.	1688
1767 እ.ኤ.አ.	1767
1855 እ.ኤ.አ.	1855
1689 እ.ኤ.አ.	1689
1768 እ.ኤ.አ.	1768
1856 እ.ኤ.አ.	1856
1690 እ.ኤ.አ.	1690
1769 እ.ኤ.አ.	1769
1857 እ.ኤ.አ.	1857
1691 እ.ኤ.አ.	1691
1770 እ.ኤ.አ.	1770
1858 እ.ኤ.አ.	1858
1692 እ.ኤ.አ.	1692
1771 እ.ኤ.አ.	1771
1859 እ.ኤ.አ.	1859
1693 እ.ኤ.አ.	1693
1772 እ.ኤ.አ.	1772
1860 እ.ኤ.አ.	1860
1773 እ.ኤ.አ.	1773
1861 እ.ኤ.አ.	1861
1694 እ.ኤ.አ.	1694
1695 እ.ኤ.አ.	1695
1774 እ.ኤ.አ.	1774
1862 እ.ኤ.አ.	1862
1696 እ.ኤ.አ.	1696
1775 እ.ኤ.አ.	1775
1863 እ.ኤ.አ.	1863
1697 እ.ኤ.አ.	1697
1776 እ.ኤ.አ.	1776
1864 እ.ኤ.አ.	1864
1698 እ.ኤ.አ.	1698
1865 እ.ኤ.አ.	1865
1777 እ.ኤ.አ.	1777
1699 እ.ኤ.አ.	1699
1866 እ.ኤ.አ.	1866
1778 እ.ኤ.አ.	1778
1779 እ.ኤ.አ.	1779
1867 እ.ኤ.አ.	1867
1780 እ.ኤ.አ.	1780
1868 እ.ኤ.አ.	1868
1781 እ.ኤ.አ.	1781
1869 እ.ኤ.አ.	1869
ናፖሌኦን 3ኛ	Napoleão III de França
መስኮብኛ	Língua russa
1782 እ.ኤ.አ.	1782
1870 እ.ኤ.አ.	1870
1783 እ.ኤ.አ.	1783
1871 እ.ኤ.አ.	1871
ቭላዲሚር ፑቲን	Vladimir Putin
ሕግ	Direito
1784 እ.ኤ.አ.	1784
1872 እ.ኤ.አ.	1872
ሕገ መንግሥት	Constituição
1785 እ.ኤ.አ.	1785
1873 እ.ኤ.አ.	1873
1786 እ.ኤ.አ.	1786
1874 እ.ኤ.አ.	1874
1787 እ.ኤ.አ.	1787
1875 እ.ኤ.አ.	1875
1788 እ.ኤ.አ.	1788
1876 እ.ኤ.አ.	1876
1789 እ.ኤ.አ.	1789
1877 እ.ኤ.አ.	1877
1790 እ.ኤ.አ.	1790
1878 እ.ኤ.አ.	1878
1879 እ.ኤ.አ.	1879
1791 እ.ኤ.አ.	1791
1792 እ.ኤ.አ.	1792
1880 እ.ኤ.አ.	1880
1793 እ.ኤ.አ.	1793
1881 እ.ኤ.አ.	1881
1794 እ.ኤ.አ.	1794
1882 እ.ኤ.አ.	1882
«የሰብዓዊ መብት አቀፋዊ መግለጽ»	Declaração Universal dos Direitos Humanos
1795 እ.ኤ.አ.	1795
1883 እ.ኤ.አ.	1883
1796 እ.ኤ.አ.	1796
1884 እ.ኤ.አ.	1884
1797 እ.ኤ.አ.	1797
1885 እ.ኤ.አ.	1885
1886 እ.ኤ.አ.	1886
1798 እ.ኤ.አ.	1798
1887 እ.ኤ.አ.	1887
1799 እ.ኤ.አ.	1799
1888 እ.ኤ.አ.	1888
1889 እ.ኤ.አ.	1889
1890 እ.ኤ.አ.	1890
1891 እ.ኤ.አ.	1891
ስዋሂሊ	Língua suaíli
1892 እ.ኤ.አ.	1892
1893 እ.ኤ.አ.	1893
1894 እ.ኤ.አ.	1894
1895 እ.ኤ.አ.	1895
1896 እ.ኤ.አ.	1896
1897 እ.ኤ.አ.	1897
1898 እ.ኤ.አ.	1898
ቻይንኛ	Língua chinesa
1899 እ.ኤ.አ.	1899
ህዋስ	Célula
ደም	Sangue
ቱሉዝ	Toulouse
ሳምባ	Pulmão humano
ሩማንኛ	Língua romena
ቡልጋርኛ	Língua búlgara
ዝናብ	Chuva
መለጋሲ	Língua malgaxe
የዓለም መሞቅ	Aquecimento global
የመሬት መንቀጥቀጥ	Sismo
ፍራንክሊን ሮዘቨልት	Franklin Delano Roosevelt
ኦግስቲን	Agostinho de Hipona
ኔልሰን ማንዴላ	Nelson Mandela
ዶ/ር ማርቲን ሉጠር ኪንግ	Martin Luther King Jr.
10ኛው ምዕተ ዓመት	Século X
ጎርፍ	Inundação
እሳተ ገሞራ	Vulcão
ስነ አምክንዮ	Lógica
9ኛው ምዕተ ዓመት	Século IX
ትሪጎኖሜትሪ	Trigonometria
8ኛው ምዕተ ዓመት	Século VIII
ጂዎሜትሪ	Geometria
7ኛው ምዕተ ዓመት	Século VII
6ኛው ምዕተ ዓመት	Século VI
ሰዋስው	Gramática
ነፋስ	Vento
5ኛው ምዕተ ዓመት	Século V
4ኛው ምዕተ ዓመት	Século IV
3ኛው ምዕተ ዓመት	Século III
2ኛው ምዕተ ዓመት	Século II
1ኛው ምዕተ ዓመት	Século I
ሥነ ንዋይ	Economia
ሙአለ ንዋይ	Capital (economia)
የቋንቋ ጥናት	Linguística
ቃል (የቋንቋ አካል)	Palavra
የዓለም ጽሕፈቶች	Sistema de escrita
ዳውጋቫ ወንዝ	Rio Duína Ocidental
ሥነ ጽሑፍ	Literatura
መደብ:ፈረንሣይ	Categoria:França
መደብ:ሙዚቃ	Categoria:Música
መደብ:ሥነ ጽሁፍ	Categoria:Literatura
ሃሪ ፖተር (መፅሐፍ)	Harry Potter
ትራምፔት	Trompete
ክላርኔት	Clarinete
አልጎሪዝም	Algoritmo
መድኃኒት	Droga
ታላቁ እስክንድር	Alexandre, o Grande
ኅብረተሰብ	Sociedade
ትምህርት	Educação
ሁጎ ቻቬዝ	Hugo Chávez
ቢስማርክ	Otto von Bismarck
ጋብቻ	Casamento
ሬጂና ካልቾ	Reggina Calcio
ቡና	Café
ወተት	Leite
ተራራ	Montanha
አንድሪው ጆንሰን	Andrew Johnson
ክዋሜ ንክሩማህ	Kwame Nkrumah
ዪዲሽኛ	Língua iídiche
ሆንግ ኮንግ	Hong Kong
ማያሚ	Miami
ከራቺ	Carachi
የኮርያ ጦርነት	Guerra da Coreia
ሌጎስ	Lagos (Nigéria)
ሪዮ ዴ ጃኔይሮ	Rio de Janeiro (cidade)
ሶል	Seul
ሻንግሃይ	Xangai
አትሌቲኮ ማድሪድ	Club Atlético de Madrid
ዎልት ዲዝኒ	Walt Disney
ሰቪያ	Sevilha
ሜዶን	Medos
አርኪሜዴስ	Arquimedes
የቬትናም ጦርነት	Guerra do Vietnã
ቶማስ ኤዲሶን	Thomas Edison
ዩክሊድ	Euclides
ዴፖርቲቮ ዴ ላ ኮሩኛ	Real Club Deportivo de La Coruña
አር.ሲ.ዲ. ኤስፓንዮል	Reial Club Deportiu Espanyol de Barcelona
አርሜንኛ	Língua arménia
ዩክሬንኛ	Língua ucraniana
ግራናዳ	Granada (Espanha)
ሌቫንቴ ዩ.ዲ.	Levante Unión Deportiva
ማላጋ የእግር ኳስ ክለብ	Málaga Club de Fútbol
ስዊድንኛ	Língua sueca
ዳንኛ	Língua dinamarquesa
ሌብኒትዝ	Gottfried Wilhelm Leibniz
ቼክኛ	Língua tcheca
ካርል ማርክስ	Karl Marx
ስሎቬንኛ	Língua eslovena
ሀንጋርኛ	Língua húngara
ቮልቴር	Voltaire
ኤስቶንኛ	Língua estónia
ሙሴ	Moisés
ሊትዌንኛ	Língua lituana
የሕንዱ ሃይማኖት	Hinduísmo
ቤላሩስኛ	Língua bielorrussa
ጡት	Mama
ዲሜትሪ ሜንደሊቭ	Dmitri Mendeleiev
ቀነኒሳ በቀለ	Kenenisa Bekele
አቶም	Átomo
ብርሃን	Luz
ግሪክ (ቋንቋ)	Língua grega
አፈ፡ታሪክ	Mitologia
የሲስተም አሰሪ	Sistema operativo
ታጅ ማሃል	Taj Mahal
አየርላንድኛ	Língua irlandesa
የፕሮግራም ቋንቋ	Linguagem de programação
ነፍስ	Alma
ማልትኛ	Língua maltesa
ፋርስኛ	Língua persa
ሃይማኖት	Religião
ኮሪይኛ	Língua coreana
አብርሃም	Abraão
ረኔ ዴካርት	René Descartes
ጳውሎስ	Paulo de Tarso
ፍሮይድ	Sigmund Freud
ፍሬዴሪክ ሄግል	Georg Wilhelm Friedrich Hegel
ሞንጎልኛ	Língua mongol
ባኩ	Baku
ታጂክኛ	Língua tajique
ዑዝበክኛ	Língua uzbeque
ቱርክመንኛ	Língua turcomena
አይሁድና	Judaísmo
ጢምጱ	Thimbu
ባንዳር ሰሪ ቤጋዋን	Bandar Seri Begawan
ዕብራይስጥ	Língua hebraica
አዘርኛ	Língua azeri
ዌልስኛ	Língua galesa
አማኑኤል ካንት	Immanuel Kant
የስኮትላንድ ጋይሊክኛ	Língua gaélica escocesa
ቭየንትዬን	Vienciana
ኤክሲሌስ	Exilles
ጆን ሎክ	John Locke
ኒሺ	Friedrich Nietzsche
ቢሽኬክ	Bisqueque
ዥን-ፖል ሳትራ	Jean-Paul Sartre
ዱሻንቤ	Duchambe
ጉበት	Fígado
ኩላሊት	Rim
ቆለጥ	Testículo
ሉድቪግ ቪትገንስታይን	Ludwig Wittgenstein
የሥነ፡ልቡና ትምህርት	Psicologia
ውቅያኖስ	Oceano
ቶማስ አኳይናስ	Tomás de Aquino
ጎታማ ቡዳ	Sidarta Gautama
ዳያሌክቲክ	Dialética
መሐመድ	Maomé
ዕድል ጥናት	Probabilidade
ሞንቴው ዳ ፖ	Monteu da Po
የእግር ኳስ ማህበር	The Football Association
ውኑ	Realidade
ቢ.ቢ.ሲ.	British Broadcasting Corporation
ሻህሩኽ ኻን	Shahrukh Khan
ማርቲን ሉጠር	Martinho Lutero
ዓሚር ኻን	Aamir Khan
አሚታብ ባቻን	Amitabh Bachchan
ጄራልድ ፎርድ	Gerald Ford
ሪቻርድ ኒክሰን	Richard Nixon
በንጋልኛ	Língua bengali
ምላስ	Língua
ቼልሲ	Chelsea Football Club
አርሰናል የእግር ኳስ ክለብ	Arsenal Football Club
ሥርዓተ አፅም	Esqueleto humano
አፍ	Boca
ሊንደን ጆንሰን	Lyndon B. Johnson
የመገጣጠሚያ አጥንት	Articulação
ፋልክላንድ ደሴቶች	Ilhas Malvinas
ሥርዓተ ምግብ	Aparelho digestivo
A	A
ንግሥት ኤልሣቤጥ (ዳግማዊት)	Isabel II do Reino Unido
ጆን ኤፍ ኬኔዲ	John F. Kennedy
B	B
G	G
F	F
ሬጌ	Reggae
ሳክሶፎን	Saxofone
C	C
D	D
E	E
H	H
ድዋይት አይዘንሃወር	Dwight D. Eisenhower
ሮናልድ ሬገን	Ronald Reagan
ዛዛኪኛ	Zazaki
ፓይታጎረስ	Pitágoras
ራዮ ቫዬካኖ	Rayo Vallecano de Madrid
ሪያል ሶሲየዳድ	Real Sociedad de Fútbol
ሰቪያ እግር ኳስ ክለብ	Sevilla Fútbol Club
ቫለንሲያ እግር ኳስ ክለብ	Valencia Club de Fútbol
1100 እ.ኤ.አ.	1100
የንጥረ ነገሮች ሠንጠረዥ	Tabela periódica
ጆርጅታውን	Georgetown (Guiana)
ርግብ	Columbidae
ባክቴሪያ	Bactéria
ኤብሮ ወንዝ	Ebro
ወይን	Uva
ማር	Mel
ስጋ	Carne
ድንች	Batata
ሻማ	Soja
ሮቦት	Robô
ቴክኖዎሎጂ	Tecnologia
ማሽን	Máquina
ብሎን	Parafuso
መሀንዲስነት	Engenharia
መገናኛ	Comunicação
ስልክ	Telefone
አር ኤን ኤ	Ácido ribonucleico
ሳንስክሪት	Sânscrito
ሉጎ	Lugo (Galiza)
የዓለም የህዝብ ብዛት	População mundial
ሕክምና	Medicina
ሳራዬቮ	Sarajevo
ሎጋሪዝም	Logaritmo
ሥነ ቁጥር	Aritmética
ዓለም ንግድ ሕንጻ	World Trade Center
መደብ:ብራዚል	Categoria:Brasil
ንጥረ ነገር	Elemento (química)
አስረካቢ	Função (matemática)
ፍጥንጥነት	Aceleração
አቅም	Energia
ኤሌክትሮመግነጢስ ጨረራ	Radiação eletromagnética
ጉልበት	Força
መግነጢስ መስክ	Campo magnético
ጨዋታዎች	Jogo
ግስበት	Gravidade
ጎ	Go
መግነጢስ	Íman
ግዝፈት	Massa
ፊልም	Filme
ብስክሌት	Bicicleta
የርሻ ተግባር	Agricultura
አጠቃላይ አንጻራዊነት	Relatividade geral
ልዩ አንጻራዊነት	Relatividade restrita
ጥጥ	Algodão
ድምጽ	Som
ማረሻ	Arado
ፍጥነት	Velocidade
ጊዜ	Tempo
ወረቀት	Papel
ኦና	Vácuo
ቁጥር	Número
የአቅጣጫ ቁጥር	Número complexo
ሜትር	Metro
ሴኮንድ	Segundo
በቆሎ	Milho
ገብስ	Cevada
ሃሪ ትሩማን	Harry S. Truman
ስዕል	Pintura
ቴያትር	Teatro
ዳዮድ	Diodo semicondutor
ዴቪድ ፓተርሶን	David Paterson
የአሜሪካ ፕሬዚዳንት	Presidente dos Estados Unidos
ዉሃን	Wuhan
የአለም አገራት ዝርዝር	Lista de Estados soberanos
መስጴጦምያ	Mesopotâmia
ጥንታዊ ግብፅ	Antigo Egito
ድብ	Ursidae
ጆን አዳምስ	John Adams
ቶማስ ጄፈርሰን	Thomas Jefferson
ጄምስ ማዲሰን	James Madison
ጄምስ ሞንሮ	James Monroe
ጆን ክዊንሲ አዳምስ	John Quincy Adams
አንድሪው ጃክሰን	Andrew Jackson
ማርቲን ቫንቡረን	Martin van Buren
ዊሊያም ሄንሪ ሀሪሰን	William Henry Harrison
ጆን ታይለር	John Tyler
ጄምስ ፖልክ	James K. Polk
ዛከሪ ቴለር	Zachary Taylor
ሄርኩለስ እግር ኳስ ክለብ	Hércules Club de Fútbol
ሚራንዳ ዴ ኤብሮ	Miranda de Ebro
ጉግል ዜና	Google News
1101 እ.ኤ.አ.	1101
1102 እ.ኤ.አ.	1102
ካንሰር	Cancro
ንጉሥ	Rei
ኣጃ	Aveia-comum
ስንዴ	Trigo
ብረቶንኛ	Língua bretã
እህል	Cereal
ድንቁርና	Surdez
ጎርጎርያን ካሌንዳር	Calendário gregoriano
ሰዓት ክልል	Fuso horário
ትምህርተ፡ጤና	Saúde
ኒሞንያ	Pneumonia
ኤድስ	Síndrome da imunodeficiência adquirida
መለጠፊያ:Location map ጀርመን	Predefinição:Mapa de localização/Alemanha
ስኳር በሽታ	Diabetes mellitus
ራሲንግ ዴ ሳንታንደር	Real Racing Club de Santander
መለጠፊያ:Location map ስዊድን	Predefinição:Mapa de localização/Suécia
መለጠፊያ:Location map ፊንላንድ	Predefinição:Mapa de localização/Finlândia
ረክሬቲቮ ዴ ሁዌልቫ	Real Club Recreativo de Huelva
መለጠፊያ:Location map ሆላንድ	Predefinição:Mapa de localização/Países Baixos
መለጠፊያ:Location map ፈረንሳይ	Predefinição:Mapa de localização/França
መለጠፊያ:Location map እስፓንያ	Predefinição:Mapa de localização/Espanha
መለጠፊያ:Location map ፖርቱጋል	Predefinição:Mapa de localização/Portugal Continental
መለጠፊያ:Location map ጣልያን	Predefinição:Mapa de localização/Itália
መለጠፊያ:Location map ስዊዘርላንድ	Predefinição:Mapa de localização/Suíça
መለጠፊያ:Location map ኦስትሪያ	Predefinição:Mapa de localização/Áustria
ድልድይ	Ponte
መለጠፊያ:Location map ሀንጋሪ	Predefinição:Mapa de localização/Hungria
መለጠፊያ:Location map ክሮኤሽያ	Predefinição:Mapa de localização/Croácia
ቪላሪያል የእግር ኳስ ክለብ	Villarreal Club de Fútbol
መለጠፊያ:Location map ግሪክ	Predefinição:Mapa de localização/Grécia
መለጠፊያ:Location map ቡልጋሪያ	Predefinição:Mapa de localização/Bulgária
ሚላርድ ፊልሞር	Millard Fillmore
ፍራንክሊን ፒርስ	Franklin Pierce
ግድብ	Barragem
ጄምስ ቡካነን	James Buchanan
መለጠፊያ:Location map ሶርያ	Predefinição:Mapa de localização/Síria
መለጠፊያ:Location map ዮርዳኖስ	Predefinição:Mapa de localização/Jordânia
መለጠፊያ:Location map ፓኪስታን	Predefinição:Mapa de localização/Paquistão
መለጠፊያ:Location map ቬት ናም	Predefinição:Mapa de localização/Vietnã
መለጠፊያ:Location map Australia	Predefinição:Mapa de localização/Austrália
መለጠፊያ:Location map ቬኔዝዌላ	Predefinição:Mapa de localização/Venezuela
ሞና ሊዛ	Mona Lisa
ፒሬኔ ተራሮች	Pireneus
ዲትሮይት	Detroit
ሥነ ስብስብ	Teoria dos conjuntos
የዝርዝር ሂሳብ (እስታቲስቲክስ)	Estatística
1103 እ.ኤ.አ.	1103
1104 እ.ኤ.አ.	1104
ሉል	Esfera
አባሲዶች	Califado Abássida
ቢዛንታይን መንግሥት	Império Bizantino
የኦቶማን መንግሥት	Império Otomano
ቫይኪንግ	Vikings
ፖል ዱሜ	Paul Doumer
ማክሲም ጎርኪ	Máximo Gorki
ዮሐን ማርቲን ሽላየር	Johann Martin Schleyer
ኮረንቲ	Eletricidade
ሠይፍ	Espada
ጠመንጃ	Arma de fogo
ፓውሎ ኮሄሎ	Paulo Coelho
ፔሌ	Pelé
ማጁሮ	Majuro
የቤልጅግ ሰንደቅ ዓላማ	Bandeira da Bélgica
ሩማን	Romã
ብርቱካን (ፍሬ)	Citrus × sinensis
ሮማንሽ	Língua romanche
ኡድሙርትኛ	Língua udmurte
ላይኛ ሶርብኛ	Alto sorábio
ኡይጉርኛ	Língua uigur
ሶማልኛ	Língua somali
ናዋትል	Língua náuatle
ናውሩኛ	Língua nauruana
ራቬና	Ravena
ዴቢት ካርድ	Cartão de débito
መለጠፊያ:Location map ሜክሲኮ	Predefinição:Mapa de localização/México
መለጠፊያ:Location map Earth	Predefinição:Mapa de localização/Terra
ቲቤር ወንዝ	Rio Tibre
1105 እ.ኤ.አ.	1105
ዓረብኛ	Língua árabe
ቺምቦራዞ	Chimborazo
ኦክሲታንኛ	Língua occitana
አፍሪካንስ	Língua africâner
ጠቅላይ ሚኒስትር	Primeiro-ministro
ታገስ ወንዝ	Rio Tejo
ጓዳልኪቪር ወንዝ	Rio Guadalquivir
ዘ ደይ አፍተር ቱሞሮ (ፊልም)	O Dia depois de Amanhã
ሜሪዳ፣ እስፓንያ	Mérida (Espanha)
ሳቫ ወንዝ	Rio Sava
ስኮትኛ	Scots
ብሄራዊ አርማ	Brasão
ሰንደቅ ዓላማ	Bandeira
ማካው	Macau
መለጠፊያ:Location map ሞሮኮ	Predefinição:Mapa de localização/Marrocos
መለጠፊያ:Location map ምዕራባዊ ሣህራ	Predefinição:Mapa de localização/Saara Ocidental
መለጠፊያ:Location map አልጄሪያ	Predefinição:Mapa de localização/Argélia
መለጠፊያ:Location map ቱኒዚያ	Predefinição:Mapa de localização/Tunísia
መለጠፊያ:Location map ሊቢያ	Predefinição:Mapa de localização/Líbia
መለጠፊያ:Location map ግብፅ	Predefinição:Mapa de localização/Egito
መለጠፊያ:Location map ሞሪታኒያ	Predefinição:Mapa de localização/Mauritânia
መለጠፊያ:Location map ማሊ	Predefinição:Mapa de localização/Mali
መለጠፊያ:Location map ኒጄር	Predefinição:Mapa de localização/Níger
መለጠፊያ:Location map ቻድ	Predefinição:Mapa de localização/Chade
መለጠፊያ:Location map ሱዳን	Predefinição:Mapa de localização/Sudão
መለጠፊያ:Location map ኤርትራ	Predefinição:Mapa de localização/Eritreia
መለጠፊያ:Location map ኢትዮጵያ	Predefinição:Mapa de localização/Etiópia
መለጠፊያ:Location map ጅቡቲ	Predefinição:Mapa de localização/Djibouti
መለጠፊያ:Location map ሶማሊያ	Predefinição:Mapa de localização/Somália
መለጠፊያ:Location map ኬፕ ቨርድ	Predefinição:Mapa de localização/Cabo Verde
መለጠፊያ:Location map ሴኔጋል	Predefinição:Mapa de localização/Senegal
መለጠፊያ:Location map ጋምቢያ	Predefinição:Mapa de localização/Gâmbia
መለጠፊያ:Location map ጊኔ-ቢሳው	Predefinição:Mapa de localização/Guiné-Bissau
መለጠፊያ:Location map ጊኔ	Predefinição:Mapa de localização/Guiné
መለጠፊያ:Location map ሴየራ ሌዎን	Predefinição:Mapa de localização/Serra Leoa
መለጠፊያ:Location map ላይቤሪያ	Predefinição:Mapa de localização/Libéria
መለጠፊያ:Location map ኮት ዲቯር	Predefinição:Mapa de localização/Costa do Marfim
መለጠፊያ:Location map ቡርኪና ፋሶ	Predefinição:Mapa de localização/Burkina Faso
መለጠፊያ:Location map ጋና	Predefinição:Mapa de localização/Gana
መለጠፊያ:Location map ቶጎ	Predefinição:Mapa de localização/Togo
መለጠፊያ:Location map ቤኒን	Predefinição:Mapa de localização/Benim
መለጠፊያ:Location map ናይጄሪያ	Predefinição:Mapa de localização/Nigéria
መለጠፊያ:Location map ካሜሩን	Predefinição:Mapa de localização/Camarões
መለጠፊያ:Location map የመካከለኛው አፍሪካ ሪፑብሊክ	Predefinição:Mapa de localização/República Centro-Africana
መለጠፊያ:Location map ሳን ቶሜ እና ፕሪንሲፔ	Predefinição:Mapa de localização/Sao Tome e Principe
መለጠፊያ:Location map ኢኳቶሪያል ጊኔ	Predefinição:Mapa de localização/Guiné Equatorial
መለጠፊያ:Location map ጋቦን	Predefinição:Mapa de localização/Gabão
መለጠፊያ:Location map ኮንጎ ሪፑብሊክ	Predefinição:Mapa de localização/República do Congo
ሜሚንገን	Memmingen
መለጠፊያ:Location map ኮንጎ ዲሞክራቲክ ሪፑብሊክ	Predefinição:Mapa de localização/República Democrática do Congo
መለጠፊያ:Location map ዩጋንዳ	Predefinição:Mapa de localização/Uganda
መለጠፊያ:Location map ኬንያ	Predefinição:Mapa de localização/Quénia
መለጠፊያ:Location map ሩዋንዳ	Predefinição:Mapa de localização/Ruanda
መለጠፊያ:Location map ቡሩንዲ	Predefinição:Mapa de localização/Burundi
መለጠፊያ:Location map ታንዛኒያ	Predefinição:Mapa de localização/Tanzânia
መለጠፊያ:Location map ሞዛምቢክ	Predefinição:Mapa de localização/Moçambique
መለጠፊያ:Location map ማላዊ	Predefinição:Mapa de localização/Malawi
መለጠፊያ:Location map ዛምቢያ	Predefinição:Mapa de localização/Zâmbia
መለጠፊያ:Location map አንጎላ	Predefinição:Mapa de localização/Angola
መለጠፊያ:Location map ናሚቢያ	Predefinição:Mapa de localização/Namíbia
መለጠፊያ:Location map ቦትስዋና	Predefinição:Mapa de localização/Botswana
መለጠፊያ:Location map ዚምባብዌ	Predefinição:Mapa de localização/Zimbabwe
መለጠፊያ:Location map ደቡብ አፍሪካ	Predefinição:Mapa de localização/África do Sul
